"hour","age1","age2","age3","age4"
"4am",0.0961,0.1066,0.0649,0.0707
"5am",0.0953,0.1121,0.0637,0.0715
"6am",0.0937,0.1141,0.0638,0.0706
"7am",0.2414,0.1276,0.0633,0.0795
"8am",0.2657,0.1515,0.0724,0.1071
"9am",0.2743,0.1549,0.0718,0.1085
"10am",0.2874,0.1403,0.0856,0.1022
"11am",0.2618,0.1374,0.066,0.1019
"12am",0.2577,0.1288,0.0792,0.0968
"1pm",0.3067,0.1282,0.0875,0.1047
"2pm",0.291,0.154,0.077,0.1028
"3pm",0.2842,0.1488,0.0635,0.0924
"4pm",0.2152,0.1452,0.07,0.0771
"5pm",0.1566,0.1132,0.0695,0.0706
"6pm",0.1119,0.0972,0.0669,0.0737
"7pm",0.1071,0.0973,0.0683,0.0766
"8pm",0.0978,0.0967,0.0686,0.0728
"9pm",0.0949,0.0966,0.0658,0.0724
"10pm",0.0974,0.0944,0.0673,0.0727
"11pm",0.0974,0.1034,0.0679,0.0733
"12pm",0.098,0.1097,0.0692,0.0715
"1am",0.0948,0.1078,0.0677,0.0705
"2am",0.095,0.1042,0.0686,0.0708
"3am",0.0947,0.1036,0.068,0.0716
