"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"5754.32";"5754.32";"5754.32";"5754.32";"5754.32";"5754.32";"5754.32";"5754.32";"5754.32";"5754.32";"5754.32";"5754.32";"5754.32";"5754.32";"5754.32";"5754.32";"5754.32";"5754.32";"5754.32";"5754.32";"5754.32";"5754.32";"5754.32";"5754.32";"5754.32";"5754.32";"5754.32";"5754.32";"5754.32"
"4am";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"734.38"
"5am";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"724.32"
"6am";"  0.00";"  0.00";"  0.00";"  0.00";"120.72";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"120.72";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"764.56"
"7am";" 533.18";"   0.00";"   0.00";" 372.22";"1217.26";"   0.00";" 291.74";" 362.16";"   0.00";" 724.32";" 321.92";" 150.90";" 301.80";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"1016.06"
"8am";"1378.22";"   0.00";"   0.00";" 935.58";"3078.36";" 201.20";" 382.28";" 754.50";" 301.80";"2987.82";" 663.96";" 160.96";" 613.66";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";" 120.72";"   0.00";"   0.00";"   0.00";"   0.00";" 120.72";" 382.28";"   0.00";"1267.56"
"9am";"1498.94";"   0.00";"   0.00";" 995.94";"3380.16";" 241.44";" 392.34";" 834.98";" 321.92";"3581.36";" 734.38";" 211.26";" 674.02";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";" 120.72";" 130.78";"   0.00";"   0.00";"   0.00";" 120.72";" 362.16";"   0.00";"1287.68"
"10am";"1539.18";" 120.72";"   0.00";" 995.94";"3531.06";" 231.38";" 412.46";" 875.22";" 311.86";"3782.56";" 794.74";" 211.26";" 714.26";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";" 130.78";" 130.78";"   0.00";"   0.00";"   0.00";" 120.72";" 372.22";"   0.00";"1267.56"
"11am";"1519.06";" 160.96";" 140.84";" 985.88";"3521.00";" 241.44";" 412.46";" 834.98";" 301.80";"3621.60";" 885.28";" 201.20";" 694.14";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";" 130.78";" 130.78";"   0.00";"   0.00";"   0.00";" 130.78";" 372.22";"   0.00";"1287.68"
"12am";"1478.82";" 171.02";" 140.84";" 915.46";"3430.46";" 221.32";" 452.70";" 814.86";" 301.80";"3712.14";" 985.88";" 251.50";" 714.26";"   0.00";"   0.00";" 120.72";"   0.00";"   0.00";"   0.00";"   0.00";" 130.78";" 130.78";"   0.00";"   0.00";"   0.00";" 130.78";" 382.28";"   0.00";"1317.86"
