"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030"
"5pm";"2945.414";"2305.708";"3749.743";"3025.882";"2382.937";"1971.583";"3070.333";"2642.493";"1991.063";"1362.149";"2187.633";"2386.550";"1780.002";"1505.092";"1329.596";"1634.112";"2231.520";"1058.663";"1550.992";"3655.516";"2730.657";"1613.477";"1498.160";"1440.239";"3220.020";"2202.159";"1672.501";"2824.622";"1712.405";"2109.825"
"6pm";"3072.059";"2512.234";"3688.481";"3070.939";"2476.906";"2013.771";"3165.230";"2782.685";"1908.724";"1336.510";"2348.099";"2388.009";"1811.194";"1558.756";"1208.290";"1451.009";"2242.311";"1035.849";"1687.462";"3837.069";"2787.994";"1676.977";"1516.562";"1449.107";"3191.408";"2214.331";"1787.350";"2807.435";"1832.502";"2077.077"
"7pm";"3072.0595";"2498.2164";"3853.4725";"3091.8422";"2382.4915";"2081.4528";"3131.5902";"2832.4678";"1841.0427";"1408.5237";"2375.4283";"2332.6485";"1778.2218";"1478.7224";"1224.8606";"1450.6190";"2323.7478";" 973.7738";"1687.4618";"3951.2331";"2774.1971";"1785.2847";"1564.5157";"1411.7883";"3146.3013";"2197.9187";"1728.5240";"2855.4831";"1799.3475";"2104.3778"
"8pm";"3072.0595";"2524.9155";"3853.4725";"3124.6833";"2352.6250";"2081.4528";"3131.5902";"2832.4678";"1841.0427";"1434.1626";"2310.6305";"2270.1454";"1843.5175";"1548.1845";"1189.2995";"1450.6190";"2365.9357";" 989.4742";"1694.6754";"3958.0597";"2748.5582";"1818.1956";"1569.2749";"1449.1070";"3179.3441";"2231.5586";"1728.5240";"2925.3844";"1799.3475";"2104.3778"
"9pm";"3072.0595";"2524.9155";"3853.4725";"3095.0097";"2352.6250";"2111.1265";"3131.5902";"2832.4678";"1841.0427";"1478.0112";"2286.5935";"2270.1454";"1799.6688";"1567.0962";"1194.4248";"1450.6190";"2365.9357";" 989.4742";"1694.6754";"3958.0597";"2827.6996";"1739.0542";"1569.2749";"1449.1070";"3179.3441";"2251.9462";"1728.5240";"2925.3844";"1799.3475";"2104.3778"
"10pm";"3072.059";"2448.069";"3853.472";"3135.877";"2352.625";"2068.939";"3131.590";"2832.468";"1841.043";"1478.011";"2170.545";"2288.346";"1831.618";"1568.756";"1232.327";"1486.598";"2342.870";"1005.175";"1740.165";"3912.570";"2749.550";"1739.054";"1611.353";"1449.107";"3257.493";"2251.946";"1728.524";"2977.285";"1799.347";"2052.477"
"11pm";"3072.059";"2514.823";"3727.916";"3135.877";"2411.427";"2068.939";"3131.590";"2832.468";"1841.043";"1478.011";"2170.545";"2288.346";"1831.618";"1568.756";"1260.929";"1486.598";"2342.870";"1005.175";"1740.165";"3942.263";"2749.550";"1739.054";"1611.353";"1449.107";"3257.493";"2251.946";"1728.524";"2977.285";"1799.347";"2052.477"
"12pm";"3072.059";"2514.823";"3727.916";"3135.877";"2411.427";"2068.939";"3131.590";"2832.468";"1841.043";"1478.011";"2170.545";"2288.346";"1831.618";"1568.756";"1260.929";"1486.598";"2342.870";"1005.175";"1740.165";"3942.263";"2749.550";"1739.054";"1611.353";"1449.107";"3257.493";"2251.946";"1728.524";"2977.285";"1799.347";"2052.477"
"1am";"3072.059";"2514.823";"3727.916";"3135.877";"2411.427";"2068.939";"3131.590";"2832.468";"1841.043";"1478.011";"2170.545";"2288.346";"1831.618";"1568.756";"1260.929";"1486.598";"2342.870";"1005.175";"1740.165";"3942.263";"2749.550";"1739.054";"1611.353";"1449.107";"3257.493";"2218.792";"1728.524";"2977.285";"1832.502";"2052.477"
"2am";"3072.059";"2514.823";"3727.916";"3135.877";"2411.427";"2068.939";"3131.590";"2832.468";"1841.043";"1478.011";"2170.545";"2288.346";"1831.618";"1568.756";"1298.832";"1486.598";"2342.870";"1005.175";"1740.165";"3942.263";"2749.550";"1739.054";"1611.353";"1449.107";"3257.493";"2218.792";"1728.524";"2977.285";"1832.502";"2052.477"
"3am";"3072.059";"2514.823";"3727.916";"3135.877";"2411.427";"2068.939";"3131.590";"2832.468";"1841.043";"1478.011";"2170.545";"2288.346";"1831.618";"1568.756";"1298.832";"1486.598";"2342.870";"1005.175";"1740.165";"3942.263";"2749.550";"1739.054";"1611.353";"1449.107";"3257.493";"2218.792";"1728.524";"2977.285";"1832.502";"2052.477"
