"district","hour","sex1","sex2"
"021","8am",2989.277,2366.9768
"022","8am",0,0
"023","8am",8658.932,5390.9133
"024","8am",8102.094,5999.3153
"025","8am",6189.687,3966.9901
"026","8am",1340.744,0
"027","8am",2639.059,2197.1701
"028","8am",8550.622,8926.1822
"029","8am",12151.337,5398.6756
"030","8am",13709.782,6140.1364
"031","8am",1155.256,0
"032","8am",3181.022,2288.585
"033","8am",1918.072,1222.3138
"034","8am",1629.08,1767.532
"035","8am",2478.892,1425.8895
"036","8am",1232.684,0
"037","8am",3590.735,2906.9372
"038","8am",5956.083,3395.6584
"039","8am",0,0
"040","8am",0,0
"041","8am",1765.39,1994.3125
"042","8am",1714.383,0
"043","8am",0,955.9404
"044","8am",1058.334,967.9602
"045","8am",0,893.7096
"046","8am",4344.786,3296.5477
"047","8am",1384.346,2206.2366
"048","8am",0,0
"049","8am",3041.939,1309.0027
"050","8am",1454.454,0
"051","8am",0,0
"052","8am",0,0
"053","8am",0,0
"054","8am",2801.899,3070.9268
"055","8am",0,0
"056","8am",0,1136.6751
"057","8am",0,0
"058","8am",0,0
"059","8am",0,0
"060","8am",0,0
"061","8am",0,0
"062","8am",1154.976,792.0817
"063","8am",0,0
"064","8am",0,0
"065","8am",0,0
"066","8am",1946.533,1498.2681
"001","9am",2937.2845,4157.8376
"002","9am",9522.0687,16642.3238
"003","9am",4805.6039,6867.374
"004","9am",4098.788,7391.7295
"005","9am",1907.7488,3244.0463
"006","9am",5046.9395,2927.9603
"007","9am",2533.5657,2345.9748
"008","9am",2564.9962,2309.7771
"009","9am",1571.4215,2882.2498
"010","9am",0,2135.211
"011","9am",1595.5166,0
"012","9am",0,0
"013","9am",3842.8893,4461.0809
"014","9am",1318.4346,939.1364
"015","9am",1286.7824,695.7758
"016","9am",2308.7806,3647.9703
"017","9am",2422.4193,4218.1689
"018","9am",3072.4373,1952.9874
"019","9am",1671.2358,0
"020","9am",2406.1176,2280.1921
"021","9am",3801.8304,3216.085
"022","9am",978.8468,0
"023","9am",10348.032,7524.6273
"024","9am",9862.6334,7094.1814
"025","9am",6796.7022,4634.5032
"026","9am",1618.8892,0
"027","9am",2833.8255,2508.8613
"028","9am",10449.5094,11434.0616
"029","9am",14270.0836,6300.5258
"030","9am",16017.2916,9058.1382
"031","9am",1637.0219,825.1647
"032","9am",3630.1291,2700.5991
"033","9am",2740.8582,1875.5086
"034","9am",1926.2486,1871.7542
"035","9am",3126.7222,1626.5764
"036","9am",1402.7388,1200.7844
"037","9am",4085.6225,2972.3393
"038","9am",6193.7602,3639.8109
"039","9am",1049.0951,0
"040","9am",0,0
"041","9am",2383.0663,3243.3232
"042","9am",1538.8571,0
"043","9am",0,1284.1561
"044","9am",1221.0438,923.8542
"045","9am",0,1003.3843
"046","9am",5281.0218,4219.3036
"047","9am",1551.1416,2452.0592
"048","9am",0,0
"049","9am",3817.1368,1893.5258
"050","9am",1328.4637,1420.6218
"051","9am",0,0
"052","9am",0,0
"053","9am",0,0
"054","9am",3092.2252,3306.4721
"055","9am",0,0
"056","9am",1341.4679,1851.2094
"057","9am",0,0
"058","9am",0,0
"059","9am",0,0
"060","9am",0,0
"061","9am",0,0
"062","9am",1197.8178,1078.3343
"063","9am",0,0
"064","9am",0,0
"065","9am",0,0
"066","9am",1802.1637,1498.2681
"001","10am",2995.5206,4465.0631
"002","10am",10852.406,19098.7033
"003","10am",5038.8541,6703.5639
"004","10am",4865.0746,7857.5871
"005","10am",2191.8523,3411.6096
"006","10am",4906.022,2843.0091
"007","10am",1977.6809,2185.6173
"008","10am",3156.3394,2633.1179
"009","10am",1682.8364,2802.3933
"010","10am",0,2073.438
"011","10am",1904.3418,1024.2871
"012","10am",0,0
"013","10am",3784.1438,5166.5796
"014","10am",1108.8802,912.8787
"015","10am",1344.5035,890.4516
"016","10am",2549.095,3910.6705
"017","10am",3055.8038,4973.1893
"018","10am",3614.6389,2034.4498
"019","10am",1766.6933,0
"020","10am",2493.8137,2509.4402
"021","10am",4356.4893,4092.8247
"022","10am",1115.7475,983.2271
"023","10am",10546.399,8136.5076
"024","10am",10598.9264,7368.294
"025","10am",7224.3773,4867.7291
"026","10am",1706.9028,0
"027","10am",2863.3778,2762.8093
"028","10am",11536.4502,12786.868
"029","10am",15009.0485,6541.9097
"030","10am",15984.6808,9980.1991
"031","10am",1705.9322,1112.3916
"032","10am",3748.9622,3140.6881
"033","10am",2413.1028,2047.1364
"034","10am",2243.8162,1763.3187
"035","10am",3292.3018,1483.5287
"036","10am",1218.0332,1201.6127
"037","10am",4428.584,3023.5861
"038","10am",6570.4362,3850.8355
"039","10am",1066.4576,0
"040","10am",842.11,0
"041","10am",2468.6446,3336.242
"042","10am",1962.6395,0
"043","10am",0,955.1842
"044","10am",1350.4918,1356.9782
"045","10am",0,884.7274
"046","10am",5801.4002,5131.3271
"047","10am",2060.4756,2601.602
"048","10am",0,0
"049","10am",4067.0803,3578.7371
"050","10am",1173.6548,1261.184
"051","10am",0,0
"052","10am",1189.6369,0
"053","10am",0,0
"054","10am",2962.6153,3115.1047
"055","10am",0,0
"056","10am",1272.9177,2152.2727
"057","10am",0,0
"058","10am",0,0
"059","10am",0,768.6097
"060","10am",0,0
"061","10am",0,0
"062","10am",1299.1043,1248.2222
"063","10am",0,0
"064","10am",0,0
"065","10am",811.8733,0
"066","10am",1595.0391,1654.4889
"001","11am",2333.206,3922.3306
"002","11am",9905.9031,19322.9445
"003","11am",4566.3508,6808.5072
"004","11am",4360.7898,7107.4657
"005","11am",2123.3691,2818.0163
"006","11am",5123.7434,2561.699
"007","11am",1664.2011,2448.1202
"008","11am",2955.0948,2152.8372
"009","11am",1644.3428,2726.849
"010","11am",0,2131.5395
"011","11am",1601.2812,1160.4231
"012","11am",0,0
"013","11am",3771.1691,4619.9137
"014","11am",1146.411,1074.2059
"015","11am",1213.332,937.6023
"016","11am",2258.148,3394.8813
"017","11am",2584.4095,4727.6831
"018","11am",3606.2026,1971.1521
"019","11am",1892.3787,0
"020","11am",2241.5905,1872.4359
"021","11am",4297.3284,3671.5211
"022","11am",1110.5677,839.2281
"023","11am",9892.966,7865.7967
"024","11am",10624.2426,7197.5446
"025","11am",6636.5748,4335.9146
"026","11am",1701.7689,0
"027","11am",2344.3235,2002.0583
"028","11am",10778.5827,12344.1623
"029","11am",13719.681,5989.8618
"030","11am",15771.1197,10110.4425
"031","11am",1587.9255,941.9918
"032","11am",3351.27,2950.0362
"033","11am",2229.7101,1896.6175
"034","11am",2082.7456,1989.5715
"035","11am",2784.9134,1389.949
"036","11am",1172.273,1172.0922
"037","11am",4407.933,3366.2478
"038","11am",6701.5674,3652.9794
"039","11am",975.7259,0
"040","11am",0,0
"041","11am",1938.8103,2488.6192
"042","11am",1322.7701,0
"043","11am",0,0
"044","11am",1102.7466,1383.9005
"045","11am",0,1011.2417
"046","11am",5974.0947,4677.8725
"047","11am",1561.315,2464.8524
"048","11am",0,0
"049","11am",3823.7952,3423.3866
"050","11am",1480.6465,1215.954
"051","11am",794.8937,0
"052","11am",0,0
"053","11am",0,0
"054","11am",2840.1669,3361.0405
"055","11am",0,0
"056","11am",1371.7676,1473.3862
"057","11am",0,0
"058","11am",0,0
"059","11am",0,0
"060","11am",0,0
"061","11am",0,0
"062","11am",1283.8809,989.2134
"063","11am",0,0
"064","11am",0,0
"065","11am",1024.9469,0
"066","11am",1551.1634,1580.5712
"001","12am",2668.87,3481.8305
"002","12am",10416.635,18231.9331
"003","12am",4139.357,6382.9205
"004","12am",3798.049,6226.7459
"005","12am",1560.508,2465.1499
"006","12am",3673.978,2372.2352
"007","12am",1667.078,2102.6567
"008","12am",2774.883,1459.498
"009","12am",1391.728,2420.289
"010","12am",0,1658.3216
"011","12am",1550.35,1131.1489
"012","12am",0,0
"013","12am",3059.663,4908.6909
"014","12am",993.94,0
"015","12am",1325.056,782.0511
"016","12am",1993.439,3171.8889
"017","12am",2830.896,3969.4768
"018","12am",2876.71,1682.4346
"019","12am",1611.931,1152.8995
"020","12am",1730.018,1688.3939
"021","12am",4104.108,3033.0341
"022","12am",1301.111,841.3703
"023","12am",8444.653,6641.6604
"024","12am",9038.585,5646.2911
"025","12am",5676.333,3806.9633
"026","12am",1337.41,0
"027","12am",2337.867,1785.4865
"028","12am",9669.506,10551.4884
"029","12am",11005.994,4923.6675
"030","12am",14775.422,9727.8223
"031","12am",1004.092,922.0419
"032","12am",3266.858,2608.9168
"033","12am",2457.924,2030.2089
"034","12am",1603.248,2037.5402
"035","12am",2065.545,1325.1232
"036","12am",1482.947,1251.667
"037","12am",3558.186,2681.2378
"038","12am",6247.265,3209.5852
"039","12am",0,0
"040","12am",0,1109.8142
"041","12am",1996.491,2100.5146
"042","12am",0,0
"043","12am",0,0
"044","12am",0,0
"045","12am",0,0
"046","12am",5596.909,4613.2991
"047","12am",1227.649,2025.0781
"048","12am",0,0
"049","12am",3395.59,3120.7373
"050","12am",0,1161.6762
"051","12am",0,0
"052","12am",0,0
"053","12am",0,0
"054","12am",2442.609,2551.943
"055","12am",0,0
"056","12am",1171.017,1682.0875
"057","12am",0,0
"058","12am",0,0
"059","12am",0,0
"060","12am",0,0
"061","12am",0,0
"062","12am",0,973.4854
"063","12am",0,0
"064","12am",0,0
"065","12am",0,0
"066","12am",1426.523,0
"001","1pm",2825.549,3676.8571
"002","1pm",10850.6,18617.3559
"003","1pm",4500.722,6862.1044
"004","1pm",3679.854,6854.6876
"005","1pm",1646.068,3008.0335
"006","1pm",4557.015,2310.3191
"007","1pm",1880.94,2769.8417
"008","1pm",2754.012,1907.7812
"009","1pm",1890.276,2484.6968
"010","1pm",0,1452.7748
"011","1pm",1625.678,1341.7274
"012","1pm",0,0
"013","1pm",2956.158,5520.2046
"014","1pm",1074.502,1010.0811
"015","1pm",1279.082,822.0955
"016","1pm",2692.574,3595.5765
"017","1pm",2407.704,4264.8739
"018","1pm",2805.003,1624.1287
"019","1pm",1471.451,1185.5196
"020","1pm",2341.299,1550.1016
"021","1pm",3809.076,2967.2424
"022","1pm",1285.599,1007.7899
"023","1pm",9824.957,7494.9583
"024","1pm",9854.42,7195.0651
"025","1pm",5840.15,3800.462
"026","1pm",1322.665,0
"027","1pm",2478.679,2007.6323
"028","1pm",9853.268,11854.8044
"029","1pm",13306.185,4866.7819
"030","1pm",14664.026,10501.438
"031","1pm",1204.882,1166.8175
"032","1pm",3720.544,3277.2271
"033","1pm",2167.393,2159.2587
"034","1pm",2078.495,1913.74
"035","1pm",1508.032,1271.5497
"036","1pm",1239.972,985.2237
"037","1pm",3991.459,2874.2058
"038","1pm",6515.057,2970.6423
"039","1pm",0,0
"040","1pm",0,0
"041","1pm",1505.726,1874.0951
"042","1pm",1436.845,0
"043","1pm",0,0
"044","1pm",1049.184,1226.4404
"045","1pm",864.268,1072.5069
"046","1pm",5703.051,4722.3617
"047","1pm",1321.031,2525.0676
"048","1pm",0,0
"049","1pm",3643.983,2501.0032
"050","1pm",1233.207,0
"051","1pm",0,0
"052","1pm",0,0
"053","1pm",1076.994,0
"054","1pm",3204.05,3024.7377
"055","1pm",0,0
"056","1pm",1472.405,1586.514
"057","1pm",0,0
"058","1pm",0,0
"059","1pm",0,794.2352
"060","1pm",0,0
"061","1pm",0,0
"062","1pm",1051.785,1095.6746
"063","1pm",0,0
"064","1pm",0,0
"065","1pm",0,0
"066","1pm",1699.911,0
"001","2pm",3253.8941,4359.4627
"002","2pm",11179.7134,18926.0923
"003","2pm",5048.0809,6833.4634
"004","2pm",3781.9178,7703.926
"005","2pm",1862.8258,3126.4608
"006","2pm",4877.0486,2470.4295
"007","2pm",2105.8867,2747.2451
"008","2pm",3538.33,2617.8287
"009","2pm",1607.8837,2538.056
"010","2pm",0,1482.4785
"011","2pm",1677.4445,1093.2693
"012","2pm",918.8331,0
"013","2pm",3260.558,5719.6889
"014","2pm",1073.2019,1474.4534
"015","2pm",1278.8915,763.8261
"016","2pm",2652.7336,4390.3363
"017","2pm",2524.351,4040.237
"018","2pm",3454.3011,1490.4419
"019","2pm",1380.2937,1438.3235
"020","2pm",2647.8695,1846.7608
"021","2pm",4237.4079,3498.4998
"022","2pm",896.7697,0
"023","2pm",10328.3116,7355.8621
"024","2pm",10474.705,7272.0284
"025","2pm",5983.3387,4017.5587
"026","2pm",1341.458,0
"027","2pm",2932.5923,2119.145
"028","2pm",9782.8287,12163.6975
"029","2pm",14016.0771,5230.6601
"030","2pm",14231.0924,10027.2931
"031","2pm",1572.7019,915.4518
"032","2pm",3901.8092,3403.8092
"033","2pm",2510.2943,2744.7958
"034","2pm",1966.1979,1672.9497
"035","2pm",1840.0599,1515.9153
"036","2pm",1376.6853,1270.2829
"037","2pm",4392.2386,3418.948
"038","2pm",7137.7661,3366.7187
"039","2pm",1142.4206,0
"040","2pm",0,0
"041","2pm",2130.5614,2315.6535
"042","2pm",0,0
"043","2pm",0,942.3935
"044","2pm",1212.091,1569.5283
"045","2pm",0,1132.4256
"046","2pm",5646.5825,4911.6836
"047","2pm",1534.8371,2393.5956
"048","2pm",0,0
"049","2pm",4603.5036,4968.6877
"050","2pm",1292.4439,0
"051","2pm",0,1340.0427
"052","2pm",0,0
"053","2pm",1189.8087,0
"054","2pm",2823.6463,2613.9284
"055","2pm",0,0
"056","2pm",1274.1437,1756.4036
"057","2pm",0,0
"058","2pm",0,0
"059","2pm",777.5335,735.8948
"060","2pm",0,0
"061","2pm",0,0
"062","2pm",1207.5494,1182.3245
"063","2pm",0,0
"064","2pm",0,0
"065","2pm",0,0
"066","2pm",1654.2309,0
"001","3pm",3338.3622,4834.0757
"002","3pm",10529.4975,18748.3527
"003","3pm",5100.7687,6677.2252
"004","3pm",4278.3593,7551.9541
"005","3pm",2157.2025,3247.7402
"006","3pm",5119.7886,2453.2304
"007","3pm",1907.0404,2587.5025
"008","3pm",2937.2542,2494.1693
"009","3pm",1594.2512,2814.1494
"010","3pm",945.0447,1728.4819
"011","3pm",1599.721,1143.5452
"012","3pm",0,0
"013","3pm",3217.3244,5219.39
"014","3pm",1197.8143,1307.131
"015","3pm",1165.6486,1345.4855
"016","3pm",2331.1302,3308.6706
"017","3pm",2383.7763,3899.296
"018","3pm",2957.5685,1103.2705
"019","3pm",1497.5833,1660.7758
"020","3pm",2486.7683,1577.7204
"021","3pm",4682.6189,4184.0309
"022","3pm",1111.6159,972.3728
"023","3pm",10321.7761,7674.5351
"024","3pm",9719.9072,7262.9705
"025","3pm",6028.0134,4414.4723
"026","3pm",1509.6061,0
"027","3pm",2703.3791,2204.611
"028","3pm",9039.4534,11453.0413
"029","3pm",13850.7074,4969.0006
"030","3pm",14676.4046,10130.1051
"031","3pm",1683.6634,1058.7923
"032","3pm",4635.227,3254.3057
"033","3pm",2861.3715,2793.2802
"034","3pm",2177.9036,1863.2674
"035","3pm",1836.6156,1485.5218
"036","3pm",1380.3242,1277.2582
"037","3pm",3878.5416,3150.807
"038","3pm",7067.0851,2662.7238
"039","3pm",1388.3195,0
"040","3pm",874.7299,0
"041","3pm",1741.0613,2210.4728
"042","3pm",0,0
"043","3pm",1079.1593,980.3793
"044","3pm",0,1593.4975
"045","3pm",0,784.4969
"046","3pm",5512.5037,5048.8766
"047","3pm",1518.1385,2062.0287
"048","3pm",0,0
"049","3pm",4812.4368,5402.3368
"050","3pm",1666.8016,0
"051","3pm",0,1075.1772
"052","3pm",0,0
"053","3pm",1080.8051,1153.2827
"054","3pm",2757.7885,2838.5528
"055","3pm",0,0
"056","3pm",1398.1897,2566.1431
"057","3pm",0,0
"058","3pm",0,0
"059","3pm",0,857.0208
"060","3pm",0,0
"061","3pm",0,0
"062","3pm",1370.427,931.5621
"063","3pm",0,0
"064","3pm",0,0
"065","3pm",0,0
"066","3pm",1562.5189,1400.5407
"001","4pm",2444.3825,3672.844
"002","4pm",8942.3942,16672.4412
"003","4pm",4787.8341,5024.8523
"004","4pm",4181.0658,5511.8501
"005","4pm",2022.7292,3406.6436
"006","4pm",4167.0302,2012.774
"007","4pm",1574.6626,2094.236
"008","4pm",2517.8373,2394.4003
"009","4pm",1375.7011,2731.9169
"010","4pm",0,1314.8459
"011","4pm",1995.2965,1425.7441
"012","4pm",0,0
"013","4pm",3200.7506,3618.3296
"014","4pm",1213.5276,1223.7721
"015","4pm",888.4867,951.7192
"016","4pm",2060.3806,2364.3109
"017","4pm",2043.6962,3247.2648
"018","4pm",2351.5745,0
"019","4pm",870.8564,1342.8697
"020","4pm",2732.0867,1913.7167
"021","4pm",3297.8938,4186.1564
"022","4pm",0,0
"023","4pm",9018.5726,7639.3537
"024","4pm",8484.857,6255.4317
"025","4pm",4583.8412,3338.4578
"026","4pm",1342.3974,0
"027","4pm",2069.0596,1624.8876
"028","4pm",7976.0718,9163.0971
"029","4pm",10930.8371,3613.112
"030","4pm",13195.7172,8731.0972
"031","4pm",1507.9609,749.8582
"032","4pm",3097.6357,2990.0048
"033","4pm",1905.8917,2650.1894
"034","4pm",1719.6679,1355.2793
"035","4pm",2219.5016,1371.8153
"036","4pm",1128.1766,1259.6939
"037","4pm",3120.1902,2031.4221
"038","4pm",5088.4619,2872.1354
"039","4pm",932.7663,0
"040","4pm",1160.5325,0
"041","4pm",2116.3492,2122.2457
"042","4pm",0,0
"043","4pm",0,788.6473
"044","4pm",0,1325.3551
"045","4pm",0,773.2102
"046","4pm",4307.5821,4269.4809
"047","4pm",1150.3167,1953.792
"048","4pm",0,0
"049","4pm",4128.5566,4355.803
"050","4pm",1648.2285,0
"051","4pm",0,0
"052","4pm",0,0
"053","4pm",0,0
"054","4pm",2731.8848,3935.2587
"055","4pm",0,0
"056","4pm",1099.152,2059.1607
"057","4pm",0,0
"058","4pm",0,0
"059","4pm",0,708.7456
"060","4pm",0,0
"061","4pm",0,0
"062","4pm",1097.9133,0
"063","4pm",0,0
"064","4pm",0,0
"065","4pm",0,0
"066","4pm",1521.8287,0
"001","5pm",2413.2811,2293.2105
"002","5pm",6830.5709,13125.8697
"003","5pm",3100.8988,2589.7155
"004","5pm",4012.0989,3638.5045
"005","5pm",1738.1287,1868.7232
"006","5pm",2848.8865,1363.9748
"007","5pm",1487.0469,0
"008","5pm",1828.2018,1315.5027
"009","5pm",931.9351,1321.947
"010","5pm",0,774.2699
"011","5pm",1565.6839,1527.3679
"012","5pm",1035.1562,0
"013","5pm",2305.1765,2765.7884
"014","5pm",825.6363,1046.4128
"015","5pm",713.7156,781.0213
"016","5pm",1579.0957,1589.4605
"017","5pm",1321.695,1741.7567
"018","5pm",1448.8187,0
"019","5pm",0,0
"020","5pm",1915.0302,1302.3595
"021","5pm",2650.0119,4286.1746
"022","5pm",0,0
"023","5pm",6017.4954,4689.1127
"024","5pm",4804.2686,4230.4839
"025","5pm",3056.139,2001.2985
"026","5pm",0,0
"027","5pm",1577.034,734.3247
"028","5pm",4255.9805,5832.0756
"029","5pm",6381.7626,2435.8581
"030","5pm",8271.8595,5858.9472
"031","5pm",1464.8062,863.7794
"032","5pm",1890.1827,1716.9732
"033","5pm",1072.7464,1649.5521
"034","5pm",1398.3853,0
"035","5pm",1776.4175,996.1493
"036","5pm",1036.5191,839.223
"037","5pm",2247.1492,1487.0138
"038","5pm",4589.59,1872.6385
"039","5pm",0,0
"040","5pm",0,0
"041","5pm",1997.3705,1492.5359
"042","5pm",0,0
"043","5pm",0,0
"044","5pm",0,1041.3486
"045","5pm",0,0
"046","5pm",3231.5975,2875.292
"047","5pm",0,957.1814
"048","5pm",0,0
"049","5pm",2752.4763,3625.9239
"050","5pm",0,0
"051","5pm",0,0
"052","5pm",0,0
"053","5pm",0,0
"054","5pm",1226.2793,2403.4739
"055","5pm",0,0
"056","5pm",1281.9632,1711.6903
"057","5pm",0,0
"058","5pm",0,0
"059","5pm",0,0
"060","5pm",0,0
"061","5pm",0,0
"062","5pm",0,0
"063","5pm",0,0
"064","5pm",0,0
"065","5pm",0,0
"066","5pm",0,0
"001","6pm",2018.9784,1269.283
"002","6pm",4247.4163,8244.2916
"003","6pm",1994.9703,2135.6327
"004","6pm",3197.0147,2662.4125
"005","6pm",0,971.3642
"006","6pm",1508.7304,0
"007","6pm",0,0
"008","6pm",1434.2362,1264.4744
"009","6pm",0,1098.1196
"010","6pm",0,0
"011","6pm",1168.3958,0
"012","6pm",0,0
"013","6pm",1554.4664,1769.3168
"014","6pm",0,0
"015","6pm",891.3149,0
"016","6pm",861.0895,982.2692
"017","6pm",0,1607.6374
"018","6pm",991.5304,0
"019","6pm",0,0
"020","6pm",1537.0251,0
"021","6pm",2490.1552,2953.5728
"022","6pm",0,0
"023","6pm",2693.8785,1739.4766
"024","6pm",2758.4137,2370.944
"025","6pm",1668.3801,0
"026","6pm",0,0
"027","6pm",0,960.3912
"028","6pm",1540.7756,1390.4118
"029","6pm",2666.923,830.2969
"030","6pm",4566.5197,2693.2257
"031","6pm",1008.1892,0
"032","6pm",1259.4446,1374.5612
"033","6pm",816.4673,1857.4492
"034","6pm",883.4026,0
"035","6pm",0,0
"036","6pm",1835.2008,0
"037","6pm",0,0
"038","6pm",2323.1461,1276.7234
"039","6pm",0,0
"040","6pm",0,0
"041","6pm",1844.1663,1084.9413
