"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"046";"047";"049";"050";"052";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066";"067";"068";"069";"070";"071";"072";"073";"074";"075";"076";"077";"078";"079";"080";"081";"082";"083"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"12474.692";"12474.692";"12474.692";"12474.692";"12474.692";"12474.692";"12474.692";"12474.692";"12474.692";"12474.692";"12474.692";"12474.692";"12474.692";"12474.692";"12474.692";"12474.692";"12474.692";"12474.692";"12474.692";"12474.692";"12474.692";"12474.692";"12474.692";"12474.692";"12474.692";"12474.692";"12474.692";"12474.692";"12474.692";"12474.692";"12474.692";"12474.692";"12474.692";"12474.692";"12474.692";"12474.692";"12474.692";"12474.692";"12474.692";"12474.692";"12474.692";"12474.692";"12474.692";"12474.692";"12474.692";"12474.692";"12474.692";"12474.692";"12474.692";"12474.692";"12474.692";"12474.692";"12474.692";"12474.692";"12474.692";"12474.692";"12474.692";"12474.692";"12474.692";"12474.692";"12474.692";"12474.692";"12474.692";"12474.692";"12474.692";"12474.692";"12474.692";"12474.692";"12474.692";"12474.692";"12474.692";"12474.692";"12474.692";"12474.692";"12474.692";"12474.692"
"4am";" 0";"0";" 0";" 0";" 0";" 0";" 0";"0";"0";"0";" 0";"0";" 0";" 0";" 0";"0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";"0";"0";"0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";"0";" 0";"0";"0";"0";"0";" 0";"0";"0";" 0";" 0";"0";"0";"0";"0";"0";"0";" 0";"0";"0";" 0";"0";"0";" 0";" 0";" 0";"0";"0";" 0";" 0";" 0";" 0";"0";" 0";"0";"0";" 0"
"5am";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";" 805.568";"   0.000";"   0.000";"   0.000";"0";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"1099.029";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"0";"0";"   0.000";"   0.000";"0";"0";"   0.000";"0";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"0";"   0.000";"   0.000";"   0.000";"0";"0";"   0.000";"   0.000";"   0.000";"   0.000";"0";"0";"0";"   0.000";"   0.000"
"6am";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";" 790.056";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1204.945";"0";"   0.000";"   0.000";"1560.525";"   0.000";"   0.000";"   0.000";"   0.000";" 800.379";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"1433.076";" 879.196";"   0.000";"   0.000";"   0.000";"   0.000";"1318.208";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000"
"7am";"   0.000";" 842.831";"   0.000";" 560.071";"   0.000";"1893.358";" 925.960";"   0.000";"   0.000";"1650.639";"1530.477";" 820.113";" 513.783";"1122.460";"4326.101";"   0.000";"1025.824";"1565.746";"3306.975";"   0.000";" 803.580";" 904.425";"   0.000";"1395.033";"1276.049";"   0.000";"3019.914";"   0.000";" 976.521";"1519.664";"   0.000";"1729.575";"5539.302";"3522.482";"1459.925";"1345.104";"   0.000";"   0.000";"2291.919";"1375.191";"   0.000";"   0.000";"   0.000";" 994.187";"2096.789";" 813.528";"1239.639";"   0.000";"   0.000";" 975.725";" 962.510";"   0.000";" 917.926";"   0.000";"   0.000";" 776.599";"1117.281";"   0.000";"   0.000";"1360.720";"   0.000";"   0.000";"1646.005";"1102.128";" 789.766";"   0.000";" 920.688";"1218.118";"   0.000";"1569.205";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000"
"8am";"  985.446";" 2176.044";" 2079.594";" 1131.783";" 1061.802";" 3724.915";" 1467.287";" 1402.891";" 1766.901";" 4027.064";" 2527.058";" 1652.479";" 1728.006";" 1895.353";" 8767.190";" 1193.188";" 2117.337";" 3037.258";" 6209.165";" 1465.716";" 2061.618";" 1730.344";" 1020.255";" 2946.418";" 1692.934";"  961.635";" 6007.379";"    0.000";" 1830.249";" 2019.730";" 1049.035";" 2340.403";"10271.043";" 8200.866";" 1842.909";" 3111.811";" 1252.389";"    0.000";" 4117.559";" 3010.693";" 1004.124";"    0.000";" 1359.441";" 1784.739";" 3175.284";"  879.745";" 1891.105";"    0.000";" 1005.293";" 2563.461";" 1912.941";"  847.294";" 1633.049";"    0.000";"    0.000";" 1015.516";" 1835.793";"    0.000";" 1357.620";" 2496.649";" 1468.704";"  999.391";" 2125.830";" 2255.178";" 2343.041";"    0.000";" 2333.688";" 2209.615";"    0.000";" 4539.400";"  888.457";"    0.000";"    0.000";"    0.000";"    0.000";" 1216.752"
"9am";" 1131.848";" 2434.889";" 2779.710";" 1563.661";" 1446.868";" 4411.123";" 1670.756";" 2067.346";" 2222.605";" 4980.288";" 2586.696";" 1789.394";" 2445.040";" 1958.934";"10782.880";" 1757.661";" 2902.257";" 3214.965";" 6775.620";" 1482.475";" 2009.175";" 2075.818";" 1074.936";" 3909.597";" 2077.159";" 1151.229";" 7790.655";"    0.000";" 2716.197";" 2777.908";" 1407.348";" 3383.318";"12203.296";"10511.563";" 2168.731";" 3865.245";" 1962.925";"    0.000";" 4313.135";" 3489.763";" 1238.914";"    0.000";" 1541.522";" 3189.774";" 3387.941";"  949.793";" 2110.072";"  706.246";" 1024.192";" 3030.809";" 2282.182";" 1177.510";" 1909.352";" 1154.600";"  609.528";" 1527.624";" 2220.394";"  733.201";" 1730.609";" 2787.990";" 1842.279";" 2663.476";" 2070.108";" 2205.877";" 2671.287";"  759.926";" 2745.620";" 2757.957";"    0.000";" 6848.815";" 1128.686";"    0.000";"  914.387";"  978.040";"  905.257";" 1442.805"
"10am";" 1288.436";" 2668.769";" 3007.198";" 1818.727";" 1659.935";" 4939.678";" 1670.756";" 2213.243";" 2403.557";" 5001.989";" 2493.685";" 2159.463";" 2454.915";" 1887.720";"11406.770";" 1674.112";" 3078.600";" 3679.783";" 7184.691";" 1236.377";" 2230.405";" 2194.206";" 1530.208";" 5900.611";" 2145.230";" 1595.050";" 8512.194";"    0.000";" 3321.743";" 2196.898";" 1497.524";" 3370.924";"12474.692";"10661.702";" 2729.608";" 4438.403";" 1806.266";"    0.000";" 4290.523";" 3200.150";" 1841.662";"    0.000";" 1986.790";" 3480.826";" 3390.262";"  930.129";" 1956.977";"  757.495";" 1002.446";" 3936.773";" 2093.778";" 1367.549";" 2158.667";" 1051.667";"  709.540";" 1433.948";" 2578.718";"  881.023";" 2016.278";" 3301.910";" 2330.859";" 1768.077";" 2155.637";" 2324.287";" 2913.572";"  841.886";" 2564.316";" 2494.163";"    0.000";" 6868.278";" 1187.888";"    0.000";"  862.071";" 1272.075";"  735.569";" 1472.843"
