"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"6658.849";"6658.849";"6658.849";"6658.849";"6658.849";"6658.849";"6658.849";"6658.849";"6658.849";"6658.849";"6658.849";"6658.849";"6658.849";"6658.849";"6658.849";"6658.849";"6658.849";"6658.849";"6658.849"
"4am";" 0";" 0";" 0";" 0";"0";" 0";"0";"0";" 0";" 0";" 0";" 0";"0";" 0";"0";" 0";"0";"0";" 0"
"5am";" 0";" 0";" 0";" 0";"0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";"0";" 0"
"6am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0"
"7am";"1253.373";"   0.000";"   0.000";"   0.000";"   0.000";"2512.549";"   0.000";"   0.000";"   0.000";" 920.520";"   0.000";"   0.000";"   0.000";"1048.372";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000"
"8am";"2807.580";"   0.000";" 776.680";"1200.141";"1291.218";"5145.424";" 767.014";"   0.000";"   0.000";"1652.131";"   0.000";"   0.000";" 677.002";"1602.576";"   0.000";" 445.080";"   0.000";"   0.000";" 768.189"
"9am";"3346.328";"   0.000";" 857.290";"1552.457";"1383.708";"6481.216";" 885.534";" 745.219";" 402.247";"1663.354";"   0.000";"   0.000";" 721.259";"1622.169";"   0.000";" 586.089";"   0.000";"   0.000";" 924.377"
"10am";"3405.379";"   0.000";" 889.164";"1744.121";"1401.507";"6658.849";" 942.579";" 847.621";" 421.520";"2061.115";"   0.000";"   0.000";" 860.866";"1751.732";"   0.000";" 883.960";"   0.000";"   0.000";"1165.327"
"11am";"3312.116";"   0.000";" 867.143";"1251.948";"1114.972";"6345.756";" 798.370";" 652.499";"   0.000";"2257.075";"   0.000";"   0.000";" 780.936";"1615.418";"   0.000";" 711.361";"   0.000";"   0.000";"1000.311"
"12am";"2563.826";"   0.000";"   0.000";" 855.329";"1085.896";"4286.316";" 534.973";"   0.000";"   0.000";"1635.630";"   0.000";"   0.000";"   0.000";"1158.801";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000"
"1pm";"2808.279";"   0.000";" 727.211";" 709.598";"1357.998";"5307.556";"1593.290";" 514.959";"   0.000";"1724.673";"   0.000";"   0.000";" 529.001";"1529.597";"   0.000";" 352.657";"   0.000";"   0.000";"1074.452"
"2pm";"3196.031";"   0.000";" 561.602";"1109.190";"1655.521";"5974.216";" 864.459";" 855.808";"   0.000";"2039.674";"   0.000";"   0.000";" 804.309";"1545.783";"   0.000";"1178.133";"   0.000";"   0.000";"1309.275"
"3pm";"3506.843";"   0.000";" 696.681";" 938.977";"1633.630";"6207.408";"1008.738";" 770.944";" 273.009";"1567.063";"   0.000";" 350.283";" 676.890";" 923.270";"   0.000";" 813.788";"   0.000";"   0.000";"1321.948"
"4pm";"3244.785";"   0.000";" 483.220";"1392.939";"1118.804";"5868.646";"1052.236";" 853.552";" 487.041";"1527.432";"   0.000";"   0.000";" 647.754";"1002.095";"   0.000";" 595.092";"   0.000";"   0.000";" 675.482"
"5pm";"1664.286";"   0.000";"   0.000";"   0.000";" 585.449";"4172.191";" 889.914";" 567.740";"   0.000";"1216.100";"   0.000";"   0.000";" 674.073";" 790.675";"   0.000";"1063.911";"   0.000";"   0.000";" 706.993"
"6pm";" 642.128";"   0.000";"   0.000";"1227.711";" 634.011";"2014.623";" 465.794";" 482.623";"   0.000";" 481.085";"   0.000";"   0.000";" 315.564";"   0.000";"   0.000";" 666.437";"   0.000";"   0.000";"   0.000"
"7pm";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"1439.67";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00"
"8pm";" 371.986";"   0.000";"   0.000";"   0.000";"   0.000";"2065.437";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000"
"9pm";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1920.195";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000"
"10pm";"   0.000";"0";"   0.000";"   0.000";"   0.000";"1258.142";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"0";"   0.000"
"11pm";" 0";"0";" 0";" 0";"0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";"0";" 0"
"12pm";" 0";"0";" 0";" 0";"0";" 0";" 0";"0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";"0";"0";" 0"
"1am";" 0";"0";" 0";" 0";"0";" 0";" 0";"0";" 0";" 0";"0";" 0";"0";" 0";"0";" 0";"0";"0";" 0"
"2am";" 0";"0";"0";" 0";"0";" 0";" 0";"0";"0";" 0";"0";" 0";"0";"0";"0";" 0";"0";"0";" 0"
"3am";" 0";"0";"0";" 0";"0";" 0";" 0";"0";"0";" 0";"0";" 0";"0";"0";"0";" 0";"0";"0";" 0"
