"hour","001","002","003","004","005","006","007","008","009","010","011","012","013","014","015","016","019","020","021","022","023","024","025","026","027","028","029","031","033","034","035","036","037","038","039","040","041","042","043","044","046","047","049","050","052","054","055","056","057","058","059","060","061","062","063","064","065","066","067","068","069","070","071","072","073","074","075","076","077","078","080","081","082","083"
"min",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"max",15295.456,15295.456,15295.456,15295.456,15295.456,15295.456,15295.456,15295.456,15295.456,15295.456,15295.456,15295.456,15295.456,15295.456,15295.456,15295.456,15295.456,15295.456,15295.456,15295.456,15295.456,15295.456,15295.456,15295.456,15295.456,15295.456,15295.456,15295.456,15295.456,15295.456,15295.456,15295.456,15295.456,15295.456,15295.456,15295.456,15295.456,15295.456,15295.456,15295.456,15295.456,15295.456,15295.456,15295.456,15295.456,15295.456,15295.456,15295.456,15295.456,15295.456,15295.456,15295.456,15295.456,15295.456,15295.456,15295.456,15295.456,15295.456,15295.456,15295.456,15295.456,15295.456,15295.456,15295.456,15295.456,15295.456,15295.456,15295.456,15295.456,15295.456,15295.456,15295.456,15295.456,15295.456
"4am",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5am",0,0,0,0,0,852.763,0,0,0,0,0,0,0,0,730.37,0,0,0,0,0,0,0,0,1215.254,0,0,0,0,0,0,0,1024.857,0,0,0,0,0,1099.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6am",0,0,0,0,0,1208.831,0,0,0,808.24,0,0,0,0,1532.224,0,0,0,2615.766,0,0,0,0,1210.065,0,0,0,0,0,0,0,1921.15,1059.982,0,0,0,0,1318.208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,864.998,0,0,0,0,0
"7am",0,2559.581,1378.108,3645.072,1355.691,2794.979,1719.282,1505.749,1502.322,3350.561,2543.237,2980.112,2748.985,1347.083,5148.044,0,1863.947,2085.386,5037.501,981.94,1830.829,1074.622,0,2233.696,1897.17,917.57,5585.855,1071.385,1864.814,802.025,1822.094,6132.738,3883.618,1459.925,2196.539,0,0,2674.447,1457.423,0,0,0,994.187,2147.39,1070.271,1239.639,0,0,2513.038,1285.461,0,968.726,0,0,983.236,1117.281,0,801.512,1360.72,0,0,3175.527,1740.256,934.233,0,1075.943,1550.308,0,2295.8,1318.571,0,0,0,0
"8am",2132.933,5435.159,5151.796,5296.462,2421.096,5671.291,2781.351,3224.988,2964.954,9906.486,4334.197,5090.895,4786.801,2197.612,10075.677,1618.273,3480.293,3961.119,10058.304,2051.324,3791.42,1930.503,1226.827,4159.27,2526.552,1295.48,11350.47,2199.734,2504.557,1206.362,2541.039,10993.482,8925.677,1936.329,4059.969,1370.004,0,4577.185,3142.241,1004.124,0,1359.441,1784.739,3387.918,1240.699,1923.485,755.78,1005.293,4330.513,2603.438,1111.75,1802.639,0,609.366,1222.153,1868.173,0,1570.563,2536.649,1737.563,1062.949,4762.145,3642.919,2571.015,850.314,2608.51,2603.532,0,6088.268,1767.087,0,0,0,1216.752
"9am",2924.451,6347.823,7034.368,7111.936,3612.144,6695.536,3343.141,4468.454,3898.946,12478.335,4587.256,5370.282,5837.772,2421.013,12602.452,2182.746,4345.005,4288.697,12015.695,1997.693,4213.353,2275.977,1549.578,5155.353,2793.18,1485.074,13846.5,3085.682,3262.735,1660.676,3583.954,12843.518,11376.507,2262.151,5329.36,2099.078,0,4960.809,3621.311,1238.914,0,1541.522,3368.668,3622.368,1439.862,2217.547,799.336,1193.561,5016.006,2882.977,1624.781,2017.663,1154.6,717.382,1734.261,2252.774,733.201,1943.552,2827.99,2144.032,2727.034,4942.019,4127.124,3148.564,1135.865,3097.703,3064.61,1110.286,8489.366,1918.128,914.387,978.04,905.257,1442.805
"10am",3342.885,6750.381,7820.835,8788.786,3996.917,7149.555,3611.585,4558.202,4172.163,13178.469,4557.012,5571.374,5984.62,2446.478,13337.681,2099.197,4579.025,4623.556,11784.182,1921.042,4259.01,2534.365,1903.354,7257.029,2860.326,1945.712,15295.456,3737.648,2802.737,1791.886,3571.56,13164.23,11604.707,2823.028,5760.09,1942.419,0,4991.591,3331.698,1876.051,0,2014.477,3685.262,3602.896,1291.083,2064.452,850.585,1112.214,5920.797,2639.92,1778.338,2266.978,1051.667,817.394,1549.084,2611.098,881.023,2229.221,3341.91,2742.912,1828.477,4782.283,4343.426,3372.497,1275.226,2950.934,2876.354,1138.683,8305.058,1977.33,862.071,1272.075,735.569,1472.843
