"hour","cspmen1","cspmen2","cspmen3","cspmen4","cspmen5"
"4am",0.3136,0.1659,0.1789,0.2014,0.3495
"5am",0.312,0.1667,0.1789,0.2013,0.3488
"6am",0.3103,0.1552,0.171,0.1927,0.3475
"7am",0.2836,0.1553,0.1588,0.1736,0.3188
"8am",0.2612,0.1422,0.163,0.1287,0.3129
"9am",0.2544,0.1368,0.164,0.1122,0.2952
"10am",0.2664,0.1275,0.1618,0.1137,0.2824
"11am",0.2637,0.1502,0.1548,0.118,0.3411
"12am",0.2838,0.172,0.1592,0.15,0.3296
"1pm",0.2599,0.1548,0.15,0.1377,0.3097
"2pm",0.2516,0.1414,0.1615,0.1223,0.3098
"3pm",0.2542,0.1409,0.1556,0.136,0.3295
"4pm",0.2593,0.1518,0.1595,0.1547,0.3238
"5pm",0.3103,0.1568,0.1793,0.1757,0.3629
"6pm",0.3061,0.1614,0.1728,0.175,0.3617
"7pm",0.3152,0.1561,0.1731,0.1835,0.38
"8pm",0.3238,0.1579,0.1794,0.1842,0.3621
"9pm",0.326,0.1573,0.1756,0.193,0.3626
"10pm",0.3219,0.1621,0.1751,0.1931,0.3524
"11pm",0.3199,0.1652,0.1717,0.1928,0.3432
"12pm",0.3196,0.1654,0.1767,0.1929,0.3467
"1am",0.3185,0.1636,0.1766,0.1938,0.3441
"2am",0.3184,0.1637,0.1774,0.1933,0.3443
"3am",0.318,0.163,0.1775,0.194,0.3443
