"hour","cleduc1","cleduc2","cleduc3","cleduc4"
"4am",0.2606,0.1182,0.1242,0.2112
"5am",0.2609,0.117,0.1259,0.2136
"6am",0.2586,0.1156,0.1259,0.2105
"7am",0.2707,0.1031,0.1313,0.1825
"8am",0.2761,0.0987,0.1386,0.1838
"9am",0.2652,0.1058,0.1377,0.1587
"10am",0.2609,0.1062,0.1429,0.1555
"11am",0.2676,0.1126,0.1493,0.1782
"12am",0.277,0.1087,0.1459,0.2071
"1pm",0.2983,0.0996,0.1514,0.1959
"2pm",0.284,0.1036,0.1526,0.2086
"3pm",0.2926,0.097,0.1591,0.21
"4pm",0.2843,0.1045,0.1619,0.1981
"5pm",0.2783,0.1049,0.1269,0.1972
"6pm",0.2756,0.1141,0.1333,0.2169
"7pm",0.2583,0.1067,0.1213,0.1981
"8pm",0.2587,0.113,0.1304,0.2036
"9pm",0.2585,0.1152,0.1242,0.2051
"10pm",0.2617,0.1171,0.1252,0.2057
"11pm",0.2604,0.1156,0.12,0.2077
"12pm",0.2605,0.1153,0.122,0.2056
"1am",0.26,0.1161,0.1251,0.2068
"2am",0.2588,0.1185,0.126,0.2086
"3am",0.2592,0.1172,0.1268,0.2091
