"hour","educmen1","educmen2","educmen3","educmen4"
"4am",0.0985924003127953,0.057034300848416,0.1577069830577,0.18999570439804
"5am",0.090609952505839,0.0385923188665332,0.203375305642216,0.191105049425509
"6am",0.0863114038901478,0.0133836979389351,0.19647454692714,0.17181524688441
"7am",0.0858178843415227,0.0551878449339526,0.156079187628877,0.156036241927094
"8am",0.0859700059193651,0.0912030757607646,0.1549957654531,0.14029690594625
"9am",0.125580434183452,0.0775474852070643,0.0766572420790422,0.231099639335285
"10am",0.0911498870936046,-0.0326967557819522,0.0503692672450552,0.211468670003927
"11am",0.0394158190431516,0.0948645417906769,0.0400148833209115,0.250749703984226
"12am",0.0513006123899697,0.0309089548885574,-0.0251014946634475,0.148597329721893
"1pm",0.0553305097952127,-0.107669864189764,0.0047218765953788,0.170909736973453
"2pm",0.0883957427969726,-0.0649108199297829,0.0432936139568264,0.150308634699334
"3pm",0.0985567739694123,-0.0547433461890519,0.0524981096229536,0.172506159635566
"4pm",0.075135781864889,-0.0569407008529954,0.0727125452150624,0.13176256292981
"5pm",0.090028748273512,0.0656199418086249,0.0885057367746521,0.162353279398385
"6pm",0.076838584817836,0.064731017692945,0.084189677371297,0.176470366289759
"7pm",0.088733172487398,0.0928473229238673,0.0899968012398899,0.176666216281349
"8pm",0.0890438863957759,0.109628391012862,0.0555553113037168,0.194534175983134
"9pm",0.0988349190849994,0.132068231872717,0.111459173463092,0.180867564555348
"10pm",0.0967443288731695,0.108548816692254,0.14447130009043,0.183922901781382
"11pm",0.0938806958883946,0.0752362302303281,0.146323225349639,0.161227460831815
"12pm",0.0934944550950797,0.0694175261342606,0.143956166980131,0.160014447893255
"1am",0.0955377911705104,0.0699221114279022,0.137171568985968,0.175492243668155
"2am",0.0968251546274239,0.0622028571304038,0.132538448928,0.182241151460598
"3am",0.0967752614573324,0.0637244556906665,0.135397209859504,0.186227736330969
