"hour","act1","act2","act3","act4","act5"
"4am",0.4495,0.5108,0.7101,0,0
"5am",0.4499,0.4839,0.6556,0,0
"6am",0.3538,0.3538,0.9176,0.609,0
"7am",0.3401,0.3183,0.5747,0.7555,0.4663
"8am",0.3532,0.3201,0.4866,0.4287,0.2941
"9am",0.3715,0.3017,0.4865,0.4316,0.2543
"10am",0.3643,0.2955,0.4858,0.455,0.2292
"11am",0.3699,0.3302,0.4731,0.5909,0.2244
"12am",0.3985,0.3493,0.4711,0.6009,0.309
"1pm",0.3852,0.3428,0.4551,0.5654,0.2804
"2pm",0.3801,0.3222,0.4451,0.516,0.1917
"3pm",0.3644,0.2986,0.4371,0.5682,0.1797
"4pm",0.353,0.3119,0.4596,0.5588,0.2287
"5pm",0.3273,0.3152,0.599,0.5971,0.1806
"6pm",0.317,0.3523,0.7651,0.5993,0.2307
"7pm",0.324,0.396,0.9033,0.8088,0.3059
"8pm",0.3018,0.391,0.9811,0.9186,0.2903
"9pm",0.3285,0.4631,0.9827,0.9127,0.3143
"10pm",0.3051,0.4346,0.9433,0.3199,0
"11pm",0.3039,0.4446,0.3532,0,0
"12pm",0.3659,0.4549,0.5104,0,0
"1am",0.4119,0.4491,0.6289,0,0
"2am",0.404,0.4421,0.634,0,0
"3am",0.4115,0.4758,0.6341,0,0
