"hour","age1","age2","age3","age4"
"4am",0.1125,0.1538,0.1077,0.1009
"5am",0.11,0.1528,0.106,0.1051
"6am",0.117,0.151,0.1016,0.1014
"7am",0.158,0.1324,0.0897,0.1154
"8am",0.1758,0.1402,0.095,0.155
"9am",0.1975,0.1374,0.1018,0.136
"10am",0.2045,0.1507,0.1013,0.1267
"11am",0.2001,0.1394,0.1057,0.1586
"12am",0.1839,0.1558,0.1022,0.1511
"1pm",0.1956,0.1639,0.0873,0.1632
"2pm",0.1968,0.1618,0.0911,0.1438
"3pm",0.1872,0.157,0.0939,0.1265
"4pm",0.1694,0.1372,0.0971,0.1006
"5pm",0.1561,0.1491,0.1031,0.1071
"6pm",0.1314,0.1383,0.1049,0.1048
"7pm",0.1408,0.1339,0.0994,0.1037
"8pm",0.1245,0.1402,0.1049,0.1033
"9pm",0.1321,0.1415,0.1086,0.0987
"10pm",0.1291,0.1511,0.1081,0.0986
"11pm",0.1269,0.1525,0.107,0.0985
"12pm",0.1243,0.1468,0.1075,0.0988
"1am",0.1242,0.1443,0.1077,0.0984
"2am",0.123,0.1438,0.1081,0.0965
"3am",0.123,0.1437,0.108,0.0969
