"hour","sex1","sex2"
"4am",0.0518,0.0518
"5am",0.0561,0.0561
"6am",0.0589,0.0589
"7am",0.0795,0.0795
"8am",0.0808,0.0808
"9am",0.0785,0.0785
"10am",0.0811,0.0811
"11am",0.0873,0.0873
"12am",0.0737,0.0737
"1pm",0.082,0.082
"2pm",0.0797,0.0797
"3pm",0.0712,0.0712
"4pm",0.0722,0.0722
"5pm",0.0784,0.0784
"6pm",0.0687,0.0687
"7pm",0.0619,0.0619
"8pm",0.0572,0.0572
"9pm",0.0543,0.0543
"10pm",0.0543,0.0543
"11pm",0.054,0.054
"12pm",0.0522,0.0522
"1am",0.0509,0.0509
"2am",0.0513,0.0513
"3am",0.0527,0.0527
