"hour","resarea1","resarea2","resarea3"
"4am",0.9876,0.9736,0.9855
"5am",0.9786,0.9564,0.975
"6am",0.9644,0.9438,0.9617
"7am",0.8681,0.8238,0.8719
"8am",0.7698,0.7349,0.7716
"9am",0.7028,0.6791,0.7054
"10am",0.6864,0.6746,0.6968
"11am",0.712,0.7079,0.7195
"12am",0.7424,0.7367,0.7474
"1pm",0.7173,0.758,0.7269
"2pm",0.6893,0.7398,0.6991
"3pm",0.6953,0.7387,0.6964
"4pm",0.7855,0.7823,0.7833
"5pm",0.8702,0.8582,0.8629
"6pm",0.9299,0.9129,0.9247
"7pm",0.9577,0.9426,0.9557
"8pm",0.9648,0.9437,0.9643
"9pm",0.975,0.9654,0.9741
"10pm",0.9807,0.9696,0.9783
"11pm",0.9856,0.9794,0.9828
"12pm",0.9885,0.9802,0.9863
"1am",0.9909,0.9802,0.9882
"2am",0.9916,0.9891,0.9904
"3am",0.9914,0.9891,0.9903
