"hour","educmen1","educmen2","educmen3","educmen4"
"4am",0.3089,0.1297,0.1512,0.2659
"5am",0.3066,0.1245,0.149,0.2662
"6am",0.3064,0.1225,0.1497,0.277
"7am",0.2966,0.1106,0.136,0.2585
"8am",0.2945,0.1071,0.1332,0.2509
"9am",0.2706,0.1014,0.1344,0.2165
"10am",0.2795,0.0909,0.1449,0.2078
"11am",0.29,0.109,0.1382,0.2423
"12am",0.305,0.0985,0.1482,0.2837
"1pm",0.3084,0.1048,0.1416,0.2639
"2pm",0.2883,0.11,0.1476,0.2644
"3pm",0.2914,0.1063,0.1533,0.2574
"4pm",0.2979,0.112,0.1762,0.2562
"5pm",0.3154,0.1225,0.1633,0.238
"6pm",0.3228,0.1244,0.1594,0.2556
"7pm",0.3111,0.1215,0.1451,0.2534
"8pm",0.3094,0.1248,0.1548,0.2621
"9pm",0.3072,0.1275,0.1585,0.2647
"10pm",0.3058,0.1275,0.1581,0.259
"11pm",0.3063,0.1288,0.1549,0.2592
"12pm",0.306,0.1292,0.1547,0.262
"1am",0.3053,0.131,0.1559,0.2598
"2am",0.3044,0.1314,0.1566,0.263
"3am",0.304,0.1321,0.1564,0.263
