"hour","occ1","occ2","occ3","occ4","occ5"
"4am",0.1449,0.1287,0.2274,0.0833,0.2368
"5am",0.1531,0.127,0.2284,0.0862,0.2401
"6am",0.1566,0.1462,0.2265,0.0868,0.2464
"7am",0.1373,0.2517,0.2115,0.1314,0.2342
"8am",0.1625,0.3037,0.2251,0.1851,0.2263
"9am",0.1746,0.3225,0.2068,0.174,0.2386
"10am",0.1682,0.3244,0.1823,0.1631,0.2317
"11am",0.1842,0.3186,0.2026,0.1876,0.2409
"12am",0.1708,0.2927,0.2098,0.1875,0.2458
"1pm",0.1692,0.2978,0.203,0.1975,0.2529
"2pm",0.1763,0.2848,0.2095,0.176,0.2536
"3pm",0.1596,0.2788,0.2064,0.1543,0.2504
"4pm",0.1581,0.2325,0.1952,0.1474,0.2583
"5pm",0.1574,0.1929,0.1941,0.1327,0.248
"6pm",0.1574,0.1564,0.2185,0.1014,0.2415
"7pm",0.1549,0.147,0.2299,0.0914,0.232
"8pm",0.157,0.1458,0.23,0.0972,0.229
"9pm",0.1572,0.1489,0.2281,0.0944,0.2278
"10pm",0.1488,0.1464,0.2255,0.0929,0.2314
"11pm",0.1488,0.1432,0.23,0.0907,0.2305
"12pm",0.1526,0.1429,0.231,0.0907,0.2312
"1am",0.1521,0.1415,0.231,0.0904,0.2315
"2am",0.152,0.1385,0.2312,0.0885,0.2315
"3am",0.152,0.1385,0.2318,0.0894,0.2315
