"hour","cs1","cs2","cs3","cs4","cs5"
"4am",0.188873759434607,0.130384692088953,0.133195357992757,0.289811290475125,0.100179992884721
"5am",0.179051575147308,0.206497395337002,0.130406113267333,0.312582083018373,0.097928250250756
"6am",0.181890167290572,0.208979570153254,0.142087304400589,0.304947382461049,0.0737930224593205
"7am",0.138503536744388,0.150219744657678,0.0611508353418964,0.25520347085437,0.0387742681722651
"8am",0.135478359425825,0.10348034890637,0.0305718741254724,0.291790592584633,0.0878828859818
"9am",0.110309640772256,0.0905710753712907,-0.0205168540292621,0.222447440997955,0.11560240643858
"10am",0.126651148845441,0.120712174346332,-0.0361145368947227,0.200988364148788,0.121580463115191
"11am",0.125299351529741,0.0775578573253669,0.0236327086120242,0.18269751193416,0.151543726606877
"12am",0.153971120041158,0.0547203432579057,0.123470638151717,0.146202215074135,0.172322780871438
"1pm",0.143951246133602,0.040578158958644,-0.00327831325496026,0.157794693745467,0.146523163455918
"2pm",0.16812730574469,0.0484245552224154,0.0451440290566265,0.205179013927273,0.144576966746543
"3pm",0.167568058298383,0.0510326926583329,0.0750344697278873,0.164567381876073,0.146616293229165
"4pm",0.17526072527037,0.0227109853061826,0.12764183834845,0.175478676562918,0.0897451802714022
"5pm",0.202169276403633,0.0817647366074166,0.0244754996051077,0.205817190756543,0.00868463770518267
"6pm",0.168587987377239,0.0703979845251709,0.0852407420788626,0.239237965593999,0.0573872315505329
"7pm",0.159613342095511,0.140427885948968,0.132200642481486,0.303677355868542,0.0640533599532467
"8pm",0.170151354944784,0.148557949932878,0.143544958607359,0.311465864998099,0.09805903297507
"9pm",0.182822609806787,0.15311543885909,0.131791916870228,0.30230260313592,0.0906953174132702
"10pm",0.185780065708751,0.14405543639645,0.134674854710989,0.296483294746068,0.108286028868986
"11pm",0.188177863109933,0.13642813215117,0.141876983038542,0.288301467283285,0.09751185888329
"12pm",0.189135920062931,0.130714643524489,0.141261823634946,0.288107479465787,0.0885096486170797
"1am",0.192290790529701,0.133792687296942,0.135908340062469,0.306917882519024,0.0966468339838067
"2am",0.195264249377828,0.143971436769546,0.140121610902267,0.305054431994694,0.0938611211883121
"3am",0.194721013926178,0.139729610892897,0.144236184765958,0.306225318284159,0.0973129470455643
