"hour","age1","age2","age3","age4"
"4am",0.104625105586457,0.191060581806073,0.524431126559488,0.165443432306829
"5am",0.0960466061809685,0.193363799462905,0.522877042300685,0.156316964283992
"6am",0.114267245811266,0.11420805317292,0.512287078496979,0.128376137437192
"7am",0.349738449537733,0.0468028394805446,0.194335896993553,0.136025162238658
"8am",0.299208581706961,-0.0430706158956524,0.0650443024916392,0.139357227089081
"9am",0.245897281095666,0.112508319943867,0.0179083294999846,0.169441009950273
"10am",0.230719825515347,0.0342645220359343,0.00761176232041219,0.16186649536511
"11am",0.239251582379497,0.0834685047067558,0.0897977553516666,0.20047044364207
"12am",0.350834610921497,-0.0249415909415178,-0.0484861191007671,0.128365738362439
"1pm",0.355814172633507,-0.0459015317582223,0.0942884935741454,0.158659606416577
"2pm",0.390017689708941,-0.0695773300935841,0.292278911972435,0.099853771642238
"3pm",0.395597253975993,-0.033873900477497,0.260664910292226,0.117958379772332
"4pm",0.321564248047342,0.0293997581301846,0.215739917152522,0.128993671776749
"5pm",0.162914092121717,0.0508011927032562,0.286189286961728,0.0555017386704468
"6pm",0.111361114451925,0.146560389192847,0.396490105544914,0.147712507496518
"7pm",0.0716219148022586,0.117786775442028,0.518129150683078,0.178151625983339
"8pm",0.0682971820854903,0.134516049892014,0.570942312958713,0.141030611929962
"9pm",0.0729669736589742,0.112990691399704,0.546631920575884,0.139296498367653
"10pm",0.086993920674556,0.0944126755099352,0.506298278865914,0.142893695166768
"11pm",0.0953256509277866,0.0897257785797892,0.535699747235926,0.156780162288142
"12pm",0.1048168422573,0.0973196696887675,0.536894544243713,0.166751000698557
"1am",0.106604073490041,0.112924632148678,0.537858072006565,0.175989020661736
"2am",0.103439899554998,0.123783980250503,0.52846324447259,0.186577546274692
"3am",0.105169379243852,0.126542696151554,0.528982414592704,0.1849852110895
