"hour","mode1","mode2","mode3"
"4am",0.3207,0.3572,0.3398
"5am",0.3262,0.3571,0.3401
"6am",0.3279,0.3577,0.3462
"7am",0.3606,0.3523,0.3227
"8am",0.37,0.3344,0.3166
"9am",0.3674,0.3299,0.3008
"10am",0.3682,0.3467,0.3183
"11am",0.3507,0.3337,0.3104
"12am",0.3661,0.3451,0.3309
"1pm",0.3499,0.3364,0.318
"2pm",0.3497,0.3604,0.3332
"3pm",0.3431,0.3686,0.3363
"4pm",0.3849,0.3788,0.3372
"5pm",0.3641,0.3861,0.3507
"6pm",0.3369,0.3782,0.3608
"7pm",0.3163,0.3686,0.3466
"8pm",0.3159,0.3606,0.3404
"9pm",0.3023,0.356,0.3363
"10pm",0.3062,0.3545,0.337
"11pm",0.3056,0.3581,0.3414
"12pm",0.3059,0.3586,0.3416
"1am",0.3055,0.3571,0.3396
"2am",0.3064,0.3584,0.3407
"3am",0.3068,0.3577,0.3401
