"district","hour","mode1","mode2","mode3"
"165","5am",2.694627,74.68714,22.618229
"166","5am",2.594743,63.49354,33.911715
"167","5am",6.639776,60.83058,32.529647
"168","5am",3.55249,67.75538,28.692133
"101","6am",15.684665,27.68981,56.625527
"102","6am",8.463696,53.22266,38.313648
"103","6am",27.959089,39.48866,32.552248
"104","6am",17.415816,54.46475,28.119432
"105","6am",22.815304,39.72556,37.459138
"106","6am",13.431705,32.99848,53.569812
"107","6am",10.242203,36.92382,52.833972
"108","6am",12.960396,71.27357,15.766032
"109","6am",25.55543,41.72563,32.718941
"110","6am",6.314842,49.31668,44.368479
"111","6am",8.308752,25.96068,65.730565
"112","6am",7.652273,41.17161,51.176118
"113","6am",18.982653,44.05473,36.962612
"114","6am",9.447518,70.30127,20.251208
"115","6am",21.250805,51.17272,27.576473
"116","6am",14.91327,59.39771,25.689017
"117","6am",14.838047,47.08362,38.078334
"118","6am",22.931838,57.6896,19.37856
"119","6am",7.680192,66.8319,25.487911
"120","6am",10.385306,70.95096,18.66373
"121","6am",14.854631,53.78231,31.363059
"122","6am",14.104493,57.14167,28.753836
"123","6am",15.777897,53.62873,30.593371
"124","6am",10.298474,81.85284,7.848683
"125","6am",16.663625,53.11132,30.22505
"126","6am",14.036919,74.94999,11.013091
"127","6am",9.469838,76.68649,13.843674
"128","6am",9.701576,71.85463,18.443796
"129","6am",12.955273,74.54717,12.49756
"130","6am",8.95671,78.17082,12.872469
"131","6am",8.702511,79.46904,11.828451
"132","6am",5.764188,85.36152,8.874295
"133","6am",4.202082,87.34582,8.452095
"134","6am",11.041367,75.81416,13.144477
"135","6am",1.304473,80.32554,18.369989
"136","6am",10.989727,77.08286,11.927414
"137","6am",7.591341,78.30888,14.099782
"138","6am",8.590193,66.00785,25.401953
"139","6am",3.430967,88.84597,7.723064
"140","6am",7.207795,84.5805,8.211706
"141","6am",5.563681,76.03926,18.397063
"142","6am",7.315592,72.17408,20.510326
"143","6am",9.534298,69.31072,21.154986
"144","6am",6.665797,67.42382,25.910383
"145","6am",3.893116,63.33768,32.769204
"146","6am",4.55123,68.23894,27.209829
"147","6am",3.758041,73.00031,23.241646
"148","6am",5.250408,62.43517,32.314422
"149","6am",7.803839,74.9199,17.27626
"150","6am",10.151153,64.96676,24.882088
"151","6am",5.788994,63.42908,30.781922
"152","6am",6.2894,63.04277,30.667826
"153","6am",3.988696,65.95973,30.051574
"154","6am",1.75355,66.19058,32.055874
"155","6am",7.267494,61.65427,31.078236
"156","6am",8.601238,60.85412,30.544643
"157","6am",9.274392,63.5714,27.154207
"158","6am",3.786171,70.70801,25.505814
"159","6am",10.462198,73.70183,15.835969
"160","6am",3.80248,72.70633,23.491193
"161","6am",1.607111,73.69461,24.698279
"162","6am",5.02267,60.36817,34.609156
"163","6am",5.654132,61.25632,33.089549
"164","6am",6.010051,65.8234,28.166548
"165","6am",2.869411,72.93536,24.195228
