"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019"
"min";"29.232";"29.232";"29.232";"29.232";"29.232";"29.232";"29.232";"29.232";"29.232";"29.232";"29.232";"29.232";"29.232";"29.232";"29.232";"29.232";"29.232";"29.232";"29.232"
"max";"7738.398";"7738.398";"7738.398";"7738.398";"7738.398";"7738.398";"7738.398";"7738.398";"7738.398";"7738.398";"7738.398";"7738.398";"7738.398";"7738.398";"7738.398";"7738.398";"7738.398";"7738.398";"7738.398"
"4am";" 210.820";" 481.558";" 696.293";" 401.301";"  91.222";"1212.173";"  43.199";" 576.534";" 368.776";" 365.489";" 246.912";" 176.124";" 400.693";" 111.604";" 375.812";" 601.441";" 127.344";" 301.977";" 220.524"
"5am";" 253.758";" 481.558";" 674.842";" 401.301";"  91.222";"1212.173";"  43.199";" 533.596";" 329.386";" 365.489";" 246.912";" 176.124";" 400.693";" 133.055";" 415.202";" 601.441";" 127.344";" 301.977";" 220.524"
"6am";"219.248";"481.558";"522.163";"401.301";" 91.222";"973.087";" 87.227";"533.596";"350.463";"344.412";"246.912";"125.881";"423.193";"133.055";"415.202";"557.413";"127.344";"336.487";"220.524"
"7am";" 254.206";" 451.641";" 500.712";" 353.808";"  91.222";"1055.927";"  87.227";" 430.318";" 323.268";" 423.073";" 285.936";" 103.381";" 434.473";" 280.513";" 323.915";" 397.917";"  85.199";" 183.352";" 404.072"
"8am";" 378.579";" 451.641";" 500.712";" 291.053";"  91.222";"1129.359";" 124.837";" 373.089";" 370.123";" 497.636";" 285.936";" 103.381";" 345.145";" 286.789";" 323.915";" 397.917";"  85.199";" 136.497";" 258.106"
"9am";" 335.641";" 451.641";" 426.656";" 291.053";"  91.222";"1215.175";" 124.837";" 416.027";" 370.123";" 605.448";" 285.936";" 103.381";" 288.032";" 296.100";" 323.915";" 425.905";"  85.199";" 164.944";" 165.799"
"10am";" 272.459";" 398.072";" 426.656";" 225.523";"  29.841";"1211.964";" 169.038";" 504.796";" 352.376";" 604.816";" 285.936";" 103.381";" 331.677";" 256.607";" 283.626";" 397.917";"  85.199";" 136.497";" 213.052"
"11am";" 300.061";" 419.352";" 418.994";" 232.156";"  91.222";"1177.216";" 223.282";" 473.256";" 352.376";" 614.929";" 285.936";" 103.381";" 345.145";" 287.879";" 283.626";" 397.917";"  85.199";" 136.497";" 208.867"
"12am";" 276.173";" 451.641";" 497.241";" 304.561";" 150.601";"1087.472";" 141.644";" 533.596";" 356.010";" 532.302";" 285.936";" 103.381";" 458.724";" 244.683";" 323.915";" 365.727";"  85.199";" 136.497";" 220.524"
"1pm";"370.151";"200.433";"525.225";"324.458";" 91.222";"407.907";"874.723";"570.016";"432.761";"452.091";"251.723";"133.100";"429.456";"266.428";"284.525";"379.312";" 85.199";"101.987";"220.524"
"2pm";" 334.571";" 238.776";" 568.881";" 296.856";"  91.222";"1394.486";"  87.227";" 496.849";" 398.292";" 472.137";" 285.936";" 125.881";" 377.175";" 226.935";" 284.525";" 466.062";"  85.199";" 101.987";" 192.077"
"3pm";" 295.899";" 167.461";" 619.326";" 303.028";"  61.381";"1413.145";"  87.227";" 618.369";" 340.778";" 337.308";" 285.936";" 103.381";" 377.175";" 216.124";" 284.525";" 577.538";"  85.199";" 101.987";" 230.456"
"4pm";" 314.491";" 317.287";" 606.855";" 341.473";" 119.669";"1334.263";"  29.232";" 659.724";" 436.671";" 273.388";" 308.436";" 153.624";" 494.383";" 104.496";" 284.525";" 508.818";" 106.599";" 134.251";" 125.009"
"5pm";" 224.789";" 292.302";" 755.053";" 209.432";"  91.222";"1334.263";"  43.199";" 645.757";" 385.962";" 212.965";" 269.412";" 131.124";" 517.293";" 111.604";" 270.716";" 475.325";" 127.344";" 309.779";" 163.630"
"6pm";" 188.737";" 502.635";" 623.825";" 464.483";" 186.196";"1005.095";"  57.166";" 763.802";" 348.601";" 191.514";" 246.912";" 176.124";" 485.004";" 111.604";" 375.812";" 490.186";" 106.599";" 255.122";" 220.524"
"7pm";" 251.919";" 481.558";" 681.530";" 401.301";" 186.196";"1233.624";"  57.166";" 706.097";" 392.024";" 240.579";" 246.912";" 176.124";" 536.339";" 111.604";" 375.812";" 446.763";" 106.599";" 255.122";" 220.524"
"8pm";" 210.820";" 481.558";" 797.955";" 401.301";"  91.222";"1212.173";"  57.166";" 706.097";" 392.024";" 240.579";" 246.912";" 176.124";" 536.339";" 111.604";" 375.812";" 487.862";" 127.344";" 255.122";" 220.524"
"9pm";" 210.820";" 481.558";" 797.955";" 401.301";"  91.222";"1212.173";"  57.166";" 706.097";" 392.024";" 240.579";" 246.912";" 176.124";" 383.736";" 150.628";" 375.812";" 601.441";" 127.344";" 255.122";" 220.524"
"10pm";" 210.820";" 481.558";" 797.955";" 401.301";"  91.222";"1212.173";"  57.166";" 706.097";" 392.024";" 240.579";" 246.912";" 176.124";" 422.760";" 111.604";" 375.812";" 601.441";" 127.344";" 301.977";" 220.524"
"11pm";" 210.820";" 481.558";" 797.955";" 401.301";"  91.222";"1212.173";"  57.166";" 706.097";" 392.024";" 240.579";" 246.912";" 176.124";" 422.760";" 111.604";" 375.812";" 601.441";" 127.344";" 301.977";" 220.524"
"12pm";" 210.820";" 481.558";" 797.955";" 401.301";"  91.222";"1212.173";"  57.166";" 706.097";" 392.024";" 240.579";" 246.912";" 176.124";" 422.760";" 111.604";" 375.812";" 601.441";" 127.344";" 301.977";" 220.524"
"1am";" 210.820";" 481.558";" 797.955";" 401.301";"  91.222";"1212.173";"  57.166";" 706.097";" 392.024";" 240.579";" 246.912";" 176.124";" 422.760";" 111.604";" 375.812";" 601.441";" 127.344";" 301.977";" 220.524"
"2am";" 210.820";" 481.558";" 797.955";" 401.301";"  91.222";"1212.173";"  57.166";" 706.097";" 392.024";" 240.579";" 246.912";" 176.124";" 422.760";" 111.604";" 375.812";" 601.441";" 127.344";" 301.977";" 220.524"
"3am";" 210.820";" 481.558";" 797.955";" 401.301";"  91.222";"1212.173";"  57.166";" 706.097";" 392.024";" 240.579";" 246.912";" 176.124";" 422.760";" 111.604";" 375.812";" 601.441";" 127.344";" 301.977";" 220.524"
