"hour","sex1","sex2"
"4am",0.293602091236235,0.293602091236235
"5am",0.18814250860373,0.188142508603729
"6am",0.0185562380435086,0.0185562380435084
"7am",0.0313018752555492,0.0313018752555494
"8am",0.0634064155845499,0.0634064155845497
"9am",0.0829834431428643,0.0829834431428645
"10am",0.124879205068995,0.124879205068996
"11am",0.156897884062634,0.156897884062634
"12am",0.160033436345186,0.160033436345186
"1pm",0.159446325724417,0.159446325724417
"2pm",0.161545801432175,0.161545801432175
"3pm",0.193219106477246,0.193219106477246
"4pm",0.13006919150078,0.13006919150078
"5pm",0.206680047987378,0.206680047987379
"6pm",0.267638920925975,0.267638920925975
"7pm",0.289907780070389,0.289907780070389
"8pm",0.261000387295096,0.261000387295097
"9pm",0.276327518075635,0.276327518075635
"10pm",0.297595218477546,0.297595218477546
"11pm",0.301342483946845,0.301342483946845
"12pm",0.294233065064278,0.294233065064278
"1am",0.288122082930668,0.288122082930668
"2am",0.291598259570978,0.291598259570978
"3am",0.299675275879784,0.299675275879784
