"hour","rev5","rev1","rev2","rev3","rev4"
"4am",0.0649,0.246,0.1123,0.0927,0.2092
"5am",0.0651,0.2422,0.1088,0.0927,0.2088
"6am",0.0655,0.2269,0.1051,0.0899,0.2078
"7am",0.0621,0.1893,0.1007,0.0787,0.2017
"8am",0.0645,0.1749,0.0933,0.0845,0.1985
"9am",0.0649,0.1712,0.0894,0.0841,0.1972
"10am",0.0643,0.168,0.0913,0.086,0.1937
"11am",0.0627,0.1701,0.0914,0.0841,0.1994
"12am",0.0626,0.1683,0.0942,0.0858,0.2023
"1pm",0.0606,0.1679,0.0946,0.0839,0.1955
"2pm",0.0629,0.1718,0.0928,0.0835,0.197
"3pm",0.0614,0.1722,0.0995,0.079,0.1996
"4pm",0.0599,0.1883,0.1109,0.0819,0.2012
"5pm",0.0613,0.2169,0.1114,0.0896,0.1991
"6pm",0.0619,0.2233,0.1074,0.0905,0.1939
"7pm",0.0623,0.2233,0.1065,0.0943,0.1927
"8pm",0.0678,0.2256,0.1071,0.0911,0.1944
"9pm",0.0681,0.2334,0.1098,0.0933,0.199
"10pm",0.0671,0.2396,0.1101,0.0953,0.2022
"11pm",0.0684,0.2427,0.1111,0.0935,0.2037
"12pm",0.0682,0.2431,0.1121,0.0945,0.2039
"1am",0.0682,0.2432,0.1126,0.0947,0.2036
"2am",0.0682,0.2431,0.1122,0.0949,0.2037
"3am",0.0684,0.2431,0.1118,0.0948,0.2038
