"hour","occ1","occ2","occ3","occ4","occ5"
"4am",0.1273,0.1166,0.2205,0.1622,0.1236
"5am",0.1242,0.1162,0.2209,0.1595,0.1254
"6am",0.1198,0.1234,0.2157,0.1517,0.1422
"7am",0.1548,0.2001,0.2251,0.1591,0.1903
"8am",0.2048,0.2693,0.2418,0.2006,0.2261
"9am",0.2064,0.296,0.2534,0.1971,0.22
"10am",0.203,0.3087,0.2445,0.1891,0.2224
"11am",0.2021,0.3138,0.2472,0.1889,0.2335
"12am",0.2005,0.309,0.2397,0.1848,0.2252
"1pm",0.1959,0.3115,0.2452,0.174,0.2351
"2pm",0.1926,0.2966,0.2344,0.1777,0.2398
"3pm",0.1853,0.2683,0.2204,0.1773,0.2249
"4pm",0.1397,0.1921,0.2147,0.1558,0.1707
"5pm",0.1311,0.1576,0.2095,0.1522,0.1381
"6pm",0.1288,0.1306,0.2125,0.1538,0.1342
"7pm",0.1272,0.1259,0.2177,0.1541,0.1286
"8pm",0.1282,0.1255,0.2158,0.1573,0.1269
"9pm",0.1287,0.122,0.2109,0.1601,0.1229
"10pm",0.1308,0.122,0.2202,0.162,0.1275
"11pm",0.1315,0.1202,0.2222,0.1628,0.1281
"12pm",0.1323,0.1207,0.224,0.1627,0.127
"1am",0.1323,0.1192,0.2238,0.1628,0.1266
"2am",0.1323,0.1192,0.2243,0.1627,0.1266
"3am",0.1324,0.1179,0.2243,0.1628,0.1264
