"hour","age1","age2","age3","age4"
"4am",0.1125,0.1397,0.1078,0.1907
"5am",0.1135,0.1392,0.1051,0.1877
"6am",0.1185,0.1345,0.0988,0.1706
"7am",0.1735,0.1246,0.0989,0.1589
"8am",0.2236,0.126,0.1183,0.1763
"9am",0.2423,0.119,0.1231,0.1754
"10am",0.2529,0.1175,0.1222,0.1751
"11am",0.2551,0.1194,0.1219,0.173
"12am",0.2497,0.1191,0.1233,0.1733
"1pm",0.2539,0.111,0.1219,0.1661
"2pm",0.2415,0.1113,0.1175,0.1641
"3pm",0.2199,0.118,0.1109,0.1679
"4pm",0.1597,0.1232,0.1001,0.1677
"5pm",0.1334,0.1295,0.106,0.1745
"6pm",0.118,0.1303,0.1023,0.1747
"7pm",0.1161,0.1261,0.1021,0.1734
"8pm",0.1168,0.1309,0.1084,0.1807
"9pm",0.1134,0.1382,0.1099,0.1861
"10pm",0.1122,0.1406,0.1109,0.19
"11pm",0.1111,0.1413,0.1122,0.1915
"12pm",0.1096,0.1418,0.1122,0.1916
"1am",0.109,0.1413,0.1119,0.1914
"2am",0.1099,0.1424,0.1116,0.1914
"3am",0.1101,0.1425,0.1117,0.1917
