"hour","mode1","mode2","mode3"
"4am",0.211,0.3203,0.4358
"5am",0.2076,0.3175,0.4318
"6am",0.2175,0.3206,0.4058
"7am",0.2749,0.33,0.3305
"8am",0.3245,0.3447,0.3005
"9am",0.3269,0.3418,0.2965
"10am",0.3335,0.3418,0.2916
"11am",0.3391,0.3455,0.2906
"12am",0.3285,0.339,0.289
"1pm",0.3215,0.3356,0.2902
"2pm",0.3181,0.3364,0.2925
"3pm",0.3043,0.3369,0.3034
"4pm",0.2395,0.3256,0.3679
"5pm",0.2226,0.3259,0.4118
"6pm",0.2166,0.3204,0.4227
"7pm",0.22,0.3214,0.4192
"8pm",0.2246,0.3246,0.4221
"9pm",0.2292,0.3319,0.4318
"10pm",0.2288,0.3354,0.4397
"11pm",0.2279,0.3364,0.4435
"12pm",0.2271,0.3362,0.4439
"1am",0.2277,0.3364,0.4431
"2am",0.227,0.3361,0.4434
"3am",0.2265,0.3357,0.4438
