"hour","sex1","sex2"
"4am",0.0361,0.0361
"5am",0.0365,0.0365
"6am",0.0434,0.0434
"7am",0.0649,0.0649
"8am",0.0731,0.0731
"9am",0.0784,0.0784
"10am",0.0782,0.0782
"11am",0.0791,0.0791
"12am",0.0788,0.0788
"1pm",0.0783,0.0783
"2pm",0.077,0.077
"3pm",0.071,0.071
"4pm",0.0505,0.0505
"5pm",0.0399,0.0399
"6pm",0.0378,0.0378
"7pm",0.0372,0.0372
"8pm",0.0379,0.0379
"9pm",0.0368,0.0368
"10pm",0.0376,0.0376
"11pm",0.037,0.037
"12pm",0.0365,0.0365
"1am",0.0366,0.0366
"2am",0.0365,0.0365
"3am",0.0368,0.0368
