"hour","rev5","rev1","rev2","rev3","rev4"
"4am",0.125756541424476,0.422584148513814,0.352416705109898,0.232531463107358,0.243983763505755
"5am",0.1606225828939,0.413042948069818,0.354119330485037,0.226803667748094,0.249189848429794
"6am",0.129663833688632,0.391342824362836,0.317662417768826,0.168809744927048,0.255513448710069
"7am",0.276393167175005,0.27679278437492,0.336131065255416,0.214512173776375,0.29262938022275
"8am",0.32383726116784,0.227902832723948,0.332266056793706,0.218889490420818,0.321286819050936
"9am",0.262919171766577,0.225539282158432,0.312341644962437,0.231615335912816,0.324424214021314
"10am",0.277995173236372,0.224708849577286,0.310938320528008,0.233647221254208,0.337525034811782
"11am",0.261211478291406,0.230652001312976,0.338162809352692,0.246960115899953,0.358836449668305
"12am",0.227532282623181,0.230156727347891,0.302942025615887,0.242426709677655,0.338378016259787
"1pm",0.190239383777754,0.216753577153312,0.31406411350269,0.234075016446319,0.335675032950111
"2pm",0.259855615178449,0.195206013694742,0.326810522504277,0.244574091254805,0.345675772242521
"3pm",0.223253550494223,0.219413628661259,0.316024328797135,0.232294344322643,0.350383625609328
"4pm",0.134546157016457,0.311413249608939,0.364361921169653,0.171507001264866,0.343716273431014
"5pm",0.17036843862232,0.379673363902067,0.322576977679021,0.190845782076504,0.300062661182732
"6pm",0.150206201392755,0.381816110140728,0.304440340936922,0.213432633611857,0.288135400530746
"7pm",0.155589211988639,0.39279811207561,0.301943529612568,0.196054053193666,0.295226522307377
"8pm",0.146345898933797,0.409179715325399,0.301652558463355,0.194140218432834,0.265011268766982
"9pm",0.141646797354926,0.412784645177785,0.309906959896498,0.225065188010663,0.249635254950405
"10pm",0.130787204942142,0.422974664207187,0.326136299853784,0.224549311257886,0.242241326642291
"11pm",0.138674123710817,0.422586064650005,0.325490294100897,0.227535513740576,0.234573838220396
"12pm",0.142814491215368,0.423836342454689,0.324166377896734,0.235642520293831,0.236220315509843
"1am",0.143388614254859,0.423495288750467,0.323023065745121,0.233963673691404,0.235554114262202
"2am",0.144637727905373,0.422421993899013,0.324426830623741,0.236559602892525,0.236697408381333
"3am",0.147414063968188,0.420219724423595,0.322520275491239,0.234400219703324,0.237228780996626
