"hour","001","002","003","004","005","006","007","008","009","010","011","012","013","014","016","017"
"min",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"max",7511.317,7511.317,7511.317,7511.317,7511.317,7511.317,7511.317,7511.317,7511.317,7511.317,7511.317,7511.317,7511.317,7511.317,7511.317,7511.317
"4am",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5am",0,0,0,0,0,0,0,0,0,0,0,0,0,443.933,0,0
"6am",775.715,0,0,0,0,0,0,0,0,0,0,0,0,595.056,0,0
"7am",4068.249,1132.203,2245.787,1830.903,1158.78,1490.932,0,842.204,1284.154,990.09,0,955.291,1157.149,2012.465,0,586.347
"8am",6563.177,2001.493,4464.545,2952.71,1713.304,2357.748,669.517,1335.579,2508.232,2086.625,611.247,2165.738,1857.56,3728.302,850.289,1044.56
"9am",7213.085,2380.162,5022.496,3102.989,1902.852,2604.159,682.813,1453.707,2517.264,2194.254,834.805,2722.927,2014.072,4073.192,934.863,1271.447
"10am",7511.317,2400.239,5338.83,3036.829,1679.018,2646.298,651.929,1706.371,2620.914,2244.419,1020.975,3150.026,2153.227,4245.397,940.331,1524.789
"11am",7165.128,2154.599,4554.844,3039.59,1608.54,2521.294,555.896,1351.963,2834.334,2318.214,919.249,2706.997,2159.151,4059.501,920.237,1120.417
"12am",5366.562,1969.841,2904.336,2262.175,1258.272,1817.46,498.415,1090.859,2074.686,1633.803,622.896,2000.558,1644.995,3019.528,752.243,1053.521
"1pm",5992.654,2411.495,3950.863,2908.484,1280.039,2531.218,596.346,1124.154,2813.454,2261.367,889.17,2491.405,2045.449,3206.831,1073.811,936.93
"2pm",6586.167,2543.175,4435.26,2989.48,1248.995,2583.919,662.818,1197.922,2910.342,2214.308,1081.783,2642.883,2299.702,3461.236,1127.445,1430.185
"3pm",7100.959,2473.276,4419.836,2908.199,1233.561,2420.85,747.076,1174.45,2524.511,1839.515,977.719,2555.131,2263.254,3432.704,1011.836,1938.628
"4pm",6047.82,2435.625,3668.276,2402.715,803.608,1920.685,623.606,917.836,1892.083,1849.57,782.684,2627.936,1900.007,2945.195,676.922,1516.041
"5pm",4078.678,1198.071,2378.502,1889.976,560.58,1167.733,397.936,497.894,817.375,1257.881,665.555,1939.609,1598.287,2106.441,0,1130.424
"6pm",2867.879,653.294,1703.381,905.892,0,819.367,0,339.494,517.451,756.131,0,1078.07,934.741,1332.516,0,578.402
"7pm",2182.827,0,1468.067,639.602,0,0,0,0,0,551.202,0,378.31,543.184,656.307,0,0
"8pm",1732.734,0,1072.041,0,0,0,0,0,0,0,0,351.375,454.633,0,0,0
"9pm",1778.142,0,874.961,0,0,0,0,0,0,0,0,351.375,0,0,0,0
"10pm",1215.19,0,694.592,0,0,0,0,0,0,0,0,0,0,0,0,0
"11pm",900.901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12pm",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1am",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2am",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3am",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
