"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029"
"6pm";"37.79310";"42.60563";"37.63278";"47.10145";"37.27648";"39.71880";"48.56816";"48.78788";"39.39850";"24.32847";"44.38615";"43.89474";"49.27916";"55.96026";"56.82968";"56.34459";"54.50000";"59.24453";"57.54026";"61.14865";"52.47678";"59.83471";"50.82508";"52.14408";"51.70648";"56.20805";"51.84275";"54.29017";"49.70760"
"7pm";"36.99583";"42.37589";"37.91541";"45.83333";"36.30042";"39.13043";"48.91923";"50.37369";"40.56886";"24.07843";"43.79639";"43.38235";"50.40000";"56.01318";"57.30897";"55.27523";"55.08885";"61.15385";"57.55814";"61.53846";"52.38095";"59.83471";"50.81699";"52.52525";"51.53061";"56.12583";"51.97694";"54.19255";"49.22601"
"8pm";"36.43950";"41.63763";"37.68546";"47.03704";"37.00000";"38.48797";"48.62700";"50.00000";"39.41606";"23.85466";"41.43519";"45.02618";"50.60080";"56.21019";"58.58268";"55.00000";"54.67742";"60.74766";"57.85007";"61.20827";"52.37366";"60.55195";"51.58228";"53.15615";"51.16279";"56.10932";"52.40066";"54.50382";"46.30872"
"9pm";"33.73494";"41.18674";"37.67020";"47.76119";"36.36364";"38.37012";"49.31193";"50.75529";"38.83495";"23.68634";"40.52045";"44.25711";"51.45503";"56.37481";"59.24812";"55.04056";"55.41601";"60.64982";"56.71642";"61.45511";"52.06738";"60.96423";"51.62287";"53.77207";"51.99362";"57.03002";"52.33723";"54.32836";"42.91188"
"10pm";"31.39717";"41.17647";"37.14286";"46.94894";"35.36000";"38.37209";"49.48922";"50.45872";"38.42975";"23.29352";"40.17972";"44.36401";"52.19124";"56.23188";"58.78084";"55.11628";"55.55556";"60.77058";"56.76393";"61.37405";"51.30168";"61.51515";"51.96375";"54.37202";"52.19436";"56.54206";"52.13033";"54.45255";"40.74074"
"11pm";"32.23684";"41.09589";"36.66170";"46.12546";"35.41667";"38.51240";"49.08676";"51.07362";"38.57729";"23.16239";"39.68668";"44.20290";"51.84697";"56.32184";"58.51216";"54.84988";"55.45455";"61.13014";"57.21854";"61.57337";"51.75038";"61.44578";"51.95195";"54.50237";"52.31481";"56.59509";"51.95670";"54.12446";"37.27273"
"12pm";"32.99492";"40.84746";"36.74074";"46.24846";"35.03185";"38.32237";"48.79449";"51.14855";"38.58696";"23.22801";"40.07833";"44.11157";"52.13333";"56.44699";"58.28571";"54.91329";"55.37065";"61.23499";"57.12401";"61.65414";"51.67173";"61.28550";"52.16095";"54.43038";"52.16718";"56.59509";"51.99336";"53.97974";"35.54502"
"1am";"32.93515";"40.87838";"36.63220";"46.04938";"35.03185";"38.36066";"48.96313";"51.14855";"38.61789";"23.26775";"40.26144";"44.19322";"52.13904";"56.36624";"58.00000";"55.26012";"55.43807";"61.23499";"56.84211";"61.65414";"51.67173";"61.34328";"52.22552";"54.43038";"52.24111";"56.72783";"52.11618";"53.97974";"34.63415"
"2am";"33.62676";"41.07744";"36.52430";"46.03960";"35.09615";"38.53659";"48.90427";"50.91743";"38.56563";"23.10960";"40.36697";"44.15984";"52.13904";"56.49073";"58.05991";"55.14451";"55.27108";"61.03448";"56.76741";"61.84012";"51.51976";"61.30952";"52.15453";"54.41640";"52.24111";"56.57492";"52.15589";"54.12446";"34.31373"
"3am";"33.86809";"41.07744";"36.52430";"45.90571";"35.04000";"38.47403";"48.90427";"50.91743";"38.51351";"23.05085";"40.36697";"44.20513";"52.20294";"56.55271";"58.05991";"55.08083";"55.27108";"61.03448";"56.76741";"61.74699";"51.51515";"61.21842";"52.15453";"54.41640";"52.24111";"56.57492";"52.15589";"54.12446";"34.00000"
