"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031"
"5pm";"21.7018994";" 8.6161399";"12.1498739";"21.9130418";"17.2204741";"27.6748564";"13.3144189";" 7.1803955";"13.8183821";" 9.7030917";"15.4147208";" 0.7196214";" 4.8753784";"19.7875169";"18.5636365";"24.3948920";"18.2864033";" 4.9819753";"17.1359052";" 9.8476929";" 5.8393596";" 5.2559032";"13.6588393";" 8.3912704";" 9.8492492";"11.6546065";" 8.8645462";" 7.6207644";" 8.6218832";"14.3480790";" 8.7239379"
"6pm";"22.6424399";" 8.3497811";"14.2586228";"23.9183886";"16.1980041";"28.2974650";"14.7695788";" 1.1785836";"16.9522067";" 7.9991607";"13.9671272";" 0.7173618";" 6.8751761";"20.8190495";"21.6936366";"28.8159190";"20.0311127";" 5.4911037";"10.3684339";"12.6858672";" 5.3930055";" 5.0664449";"18.3552139";"10.1345240";"10.2340148";"11.4776747";"11.3623343";" 6.8673442";" 6.3525957";"16.8536118";" 8.5262133"
"7pm";"24.582286";" 9.955260";"14.351447";"25.506149";"16.169151";"31.817979";"16.465944";" 1.137328";"17.922463";" 7.816029";"14.605984";" 2.078327";" 5.713294";"15.450192";"17.700694";"26.287513";"22.768852";" 3.641449";"11.983725";" 9.608386";" 6.745253";" 7.150552";"18.300791";"12.732413";"10.493794";"10.855292";"10.587541";" 6.347995";" 7.866686";"16.965723";" 8.445710"
"8pm";"26.328799";"10.844919";"12.566904";"23.615105";"16.985719";"33.251767";"15.154143";" 1.135264";"17.185835";" 6.525414";"17.365655";" 2.088427";" 5.820820";"11.197873";"19.464529";"27.616604";"23.895525";" 3.614432";"12.107629";" 8.279530";" 7.640910";" 7.695312";"18.255856";"13.182483";"10.275481";"11.529725";"10.587474";" 7.922001";" 8.538621";"15.547815";" 8.119572"
"9pm";"27.962943";" 9.820738";"12.048305";"21.730062";"18.677190";"33.304636";"15.587352";" 1.125155";"17.164769";" 7.911840";"17.561629";" 2.098869";" 5.765382";"11.474456";"20.110238";"26.205557";"23.110520";" 3.646728";"11.199902";" 7.837910";" 8.475188";" 7.109820";"20.132206";"12.939268";"10.227255";"11.557505";"10.537632";" 7.667614";" 8.697439";"14.352100";" 8.119572"
"10pm";"27.675346";" 9.746047";"11.723368";"21.999349";"19.066778";"33.672735";"15.354668";" 1.125155";"15.192673";" 9.101223";"16.688600";" 2.098869";" 5.730779";"10.838064";"20.083094";"26.078230";"22.216032";" 3.702757";" 8.565102";" 8.770471";" 9.019620";" 7.202145";"20.623530";"12.939268";"10.046634";"11.469977";"11.686968";" 7.380211";" 8.613014";"14.681580";" 8.972929"
"11pm";"26.066845";" 8.954477";"11.572162";"21.999349";"19.975797";"34.091758";"15.205834";" 1.112636";"15.093363";" 9.707730";"16.688600";" 2.098869";" 5.690430";"11.017722";"19.263655";"26.382178";"22.961757";" 3.587270";" 8.423995";" 8.110701";" 9.602499";" 7.264923";"20.693986";"14.186056";"10.136620";"11.325118";"11.686968";" 7.380211";" 8.613014";"14.861943";" 8.972929"
"12pm";"26.864345";" 8.535585";"11.617532";"22.528319";"19.975797";"34.091758";"14.393390";" 1.112636";"15.093363";" 9.707730";"15.265509";" 2.098869";" 5.690430";"11.017722";"19.585965";"26.428286";"22.961757";" 3.587270";" 8.184520";" 8.091874";" 9.602499";" 6.772973";"21.224026";"14.186056";"10.136620";"11.325118";"11.516635";" 7.315817";" 8.688636";"15.642469";" 8.972929"
"1am";"26.062917";" 9.148414";"11.647715";"22.325252";"19.676291";"34.091758";"14.613966";" 1.103547";"15.502811";" 9.707730";"15.265509";" 2.104837";" 5.659057";"10.825322";"19.585965";"26.428286";"23.594524";" 3.587270";" 8.359116";" 8.172341";" 9.602499";" 6.772973";"21.066517";"14.186056";"10.136620";"11.325118";"11.321235";" 7.315817";" 8.538668";"15.642469";" 8.904472"
"2am";"25.542355";" 9.091342";"11.554747";"22.325252";"19.676291";"34.091758";"14.613966";" 1.103547";"15.633317";" 9.707730";"15.265509";" 2.104837";" 5.659057";"10.825322";"19.585965";"26.428286";"24.329597";" 3.587270";" 8.523438";" 8.486296";" 9.602499";" 6.662459";"21.066517";"14.085701";"10.136620";"11.325118";"11.321235";" 7.315817";" 8.538668";"15.642469";" 8.904472"
"3am";"25.542355";" 9.168724";"11.594548";"22.174362";"19.676291";"34.382821";"14.613966";" 1.103547";"15.633317";" 9.574308";"15.265509";" 2.104837";" 5.659057";"10.825322";"19.585965";"26.428286";"24.329597";" 3.587270";" 8.523438";" 8.328482";" 9.602499";" 6.662459";"20.850676";"14.221111";"10.136620";"11.325118";"11.321235";" 7.315817";" 8.538668";"15.642469";" 8.904472"
