"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"2857.04";"2857.04";"2857.04";"2857.04";"2857.04";"2857.04";"2857.04";"2857.04";"2857.04";"2857.04";"2857.04";"2857.04";"2857.04";"2857.04";"2857.04";"2857.04";"2857.04";"2857.04";"2857.04";"2857.04";"2857.04";"2857.04";"2857.04";"2857.04";"2857.04";"2857.04";"2857.04";"2857.04";"2857.04"
"4am";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"573.42"
"5am";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"603.6"
"6am";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"744.44"
"7am";" 352.10";"   0.00";"   0.00";" 291.74";" 150.90";"   0.00";" 331.98";" 191.14";"   0.00";" 342.04";" 281.68";" 201.20";" 412.46";"   0.00";"   0.00";" 140.84";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";" 181.08";"   0.00";"1066.36"
"8am";" 784.68";" 120.72";"   0.00";" 573.42";" 372.22";"   0.00";" 603.60";" 261.56";" 150.90";" 784.68";" 684.08";" 271.62";" 734.38";"   0.00";"   0.00";" 191.14";"   0.00";"   0.00";"   0.00";"   0.00";" 120.72";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";" 372.22";" 150.90";"1317.86"
"9am";" 875.22";" 140.84";"   0.00";" 623.72";" 432.58";"   0.00";" 653.90";" 281.68";" 150.90";" 865.16";" 865.16";" 311.86";" 794.74";"   0.00";"   0.00";" 201.20";"   0.00";"   0.00";"   0.00";"   0.00";" 120.72";"   0.00";" 120.72";"   0.00";"   0.00";"   0.00";" 492.94";" 140.84";"1448.64"
"10am";" 885.28";" 140.84";"   0.00";" 684.08";" 402.40";"   0.00";" 674.02";" 281.68";" 150.90";" 875.22";" 875.22";" 342.04";" 824.92";"   0.00";"   0.00";" 211.26";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";" 462.76";" 140.84";"1488.88"
"11am";" 875.22";" 160.96";" 120.72";" 633.78";" 412.46";"   0.00";" 653.90";" 311.86";" 150.90";" 915.46";" 915.46";" 382.28";" 794.74";"   0.00";"   0.00";" 181.08";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";" 422.52";" 130.78";"1519.06"
"12am";" 724.32";" 150.90";" 120.72";" 553.30";" 452.70";"   0.00";" 563.36";" 271.62";" 120.72";" 875.22";" 905.40";" 291.74";" 824.92";"   0.00";"   0.00";" 181.08";"   0.00";"   0.00";"   0.00";"   0.00";" 120.72";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";" 362.16";" 150.90";"1519.06"
"1pm";" 855.10";" 171.02";" 120.72";" 663.96";" 402.40";"   0.00";" 694.14";" 251.50";" 120.72";" 955.70";" 875.22";" 342.04";" 834.98";"   0.00";"   0.00";" 181.08";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";" 382.28";" 120.72";"1458.70"
"2pm";" 895.34";" 171.02";"   0.00";" 704.20";" 412.46";"   0.00";" 684.08";" 241.44";" 120.72";" 935.58";" 875.22";" 291.74";" 845.04";"   0.00";"   0.00";" 140.84";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";" 352.10";" 120.72";"1348.04"
"3pm";" 794.74";" 160.96";" 120.72";" 633.78";" 412.46";"   0.00";" 623.72";" 241.44";" 120.72";" 845.04";" 794.74";" 291.74";" 724.32";"   0.00";"   0.00";" 150.90";"   0.00";"   0.00";"   0.00";"   0.00";" 130.78";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";" 342.04";"   0.00";"1197.14"
"4pm";"513.06";"  0.00";"  0.00";"442.64";"271.62";"  0.00";"352.10";"201.20";"  0.00";"543.24";"492.94";"231.38";"382.28";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"231.38";"  0.00";"875.22"
"5pm";"321.92";"  0.00";"  0.00";"251.50";"160.96";"  0.00";"221.32";"  0.00";"  0.00";"261.56";"382.28";"120.72";"261.56";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"181.08";"  0.00";"523.12"
"6pm";"352.10";"  0.00";"  0.00";"231.38";"160.96";"  0.00";"  0.00";"  0.00";"  0.00";"221.32";"372.22";"  0.00";"140.84";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"171.02";"  0.00";"452.70"
"7pm";"291.74";"  0.00";"  0.00";"231.38";"120.72";"  0.00";"  0.00";"  0.00";"  0.00";"201.20";"251.50";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"171.02";"  0.00";"372.22"
"8pm";"261.56";"  0.00";"  0.00";"120.72";"120.72";"  0.00";"  0.00";"  0.00";"  0.00";"181.08";"191.14";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"130.78";"  0.00";"281.68"
"9pm";"140.84";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"130.78";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"221.32"
"10pm";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"211.26"
"11pm";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"  0.0";"0";"  0.0";"  0.0";"  0.0";"  0.0";"201.2"
"12pm";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"0";"  0.00";"  0.00";"  0.00";"  0.00";"181.08"
"1am";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"0";"  0.00";"  0.00";"  0.00";"  0.00";"171.02"
"2am";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"0";"  0.00";"  0.00";"  0.00";"  0.00";"171.02"
"3am";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"  0.00";"0";"  0.00";"  0.00";"  0.00";"  0.00";"171.02"
