"hour","001","002","003","004","005","006","007","008","009","010","011","012","021","022","023","024","025","026","028","029","030","031","032","034","035","036","037","038","041","042","043","045","046","047","048","049","050","051","052","053","054","055","057","058","059","060","061","062","063","064","065","066","067","068","069","070","072","073","074","075","081","082"
"min",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"max",26050.10086,26050.10086,26050.10086,26050.10086,26050.10086,26050.10086,26050.10086,26050.10086,26050.10086,26050.10086,26050.10086,26050.10086,26050.10086,26050.10086,26050.10086,26050.10086,26050.10086,26050.10086,26050.10086,26050.10086,26050.10086,26050.10086,26050.10086,26050.10086,26050.10086,26050.10086,26050.10086,26050.10086,26050.10086,26050.10086,26050.10086,26050.10086,26050.10086,26050.10086,26050.10086,26050.10086,26050.10086,26050.10086,26050.10086,26050.10086,26050.10086,26050.10086,26050.10086,26050.10086,26050.10086,26050.10086,26050.10086,26050.10086,26050.10086,26050.10086,26050.10086,26050.10086,26050.10086,26050.10086,26050.10086,26050.10086,26050.10086,26050.10086,26050.10086,26050.10086,26050.10086,26050.10086
"4am",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5am",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1347.85003,0,0,0,0,1062.92345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140.700432,0,0,0,0,0,0,1041.14967,0,0,0,0
"6am",0,3778.57111,0,1189.34667,0,0,0,1335.9699,0,0,0,0,0,0,0,2047.13958,0,0,0,0,2067.66198,0,0,0,0,1202.76676,0,0,0,0,0,0,0,1514.16536,0,1444.17773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1514.409282,0,0,0,0,0,0,1187.41437,0,0,0,0
"7am",3984.65538,8715.4608,1679.06347,3442.77247,5618.93861,2119.23442,0,9680.466694,2523.02419,1899.0556,2918.3156,2216.74684,3366.40099,0,1459.63193,5830.71007,1225.74376,1630.00679,1407.69347,1752.65821,2782.87583,2779.43608,2823.5279,1739.59916,0,3217.6399,1442.93302,0,0,0,0,932.82624,0,3269.04024,0,3431.04849,2312.24727,0,0,0,4204.55508,0,1335.72733,0,0,0,958.97427,0,1443.59098,2457.78357,6927.570312,0,0,0,0,0,0,5248.84234,0,1157.37383,0,3034.34136
"8am",7959.01991,17013.66983,3779.703454,7874.61496,14818.52147,7438.35206,0,20787.403884,5662.06037,6296.23051,6361.75152,3924.52305,7622.94654,1265.04551,2325.56716,15435.87334,3412.99057,2906.58433,1799.98459,1993.8757,3933.9394,7411.07283,4651.71255,3917.53047,1224.61943,3665.33041,2306.69206,0,1343.29557,1260.14784,839.98543,1506.54463,801.01085,8415.36395,1591.90617,5046.58636,3210.05749,0,2435.91413,2869.88379,6688.14153,0,1677.51464,793.83982,2189.3786,2954.11586,2119.35654,2186.12129,1995.38048,4487.41415,10238.570602,0,0,2210.25924,1178.99717,0,0,7492.76102,0,1623.36633,0,3529.30617
"9am",9122.10039,23531.12705,4725.813404,9358.85139,17943.96438,8409.85421,1033.70035,24169.544644,6609.48953,8085.01917,7563.54436,4452.89876,10060.0475,1752.42114,2393.15795,19021.01777,4829.84745,3479.73003,2167.80946,2026.64554,4308.28613,8037.75447,5688.43779,4013.71785,1682.80061,4036.5986,2814.18917,1015.98893,1581.84665,1429.36398,816.09076,1645.7895,940.65426,9127.77215,1830.40672,5398.75958,3250.80051,961.64443,2877.06572,2941.58477,7321.06309,0,1870.5154,1562.33202,2010.834,3133.29518,2125.90631,2708.80376,2346.95281,5423.71646,12729.983952,0,1553.40176,2723.61025,1222.75556,799.17676,1235.24873,8593.97676,0,1771.05618,0,4058.12697
"10am",8850.93552,25332.48809,4853.118344,9708.80278,20423.58091,7961.53586,1040.60422,25336.008694,7286.20851,7945.3959,7945.03241,5095.9127,9856.83908,1995.38394,2431.97123,18596.01427,5472.17161,3205.42053,2338.78747,1618.16854,4082.50592,8848.46962,6075.675,4151.37719,1796.83317,3972.79764,2910.6565,1120.78384,1603.82838,2111.71275,910.9404,1757.15121,969.04108,9791.70759,1720.39149,5401.3441,3165.10676,1120.98985,2907.88265,3104.97335,6877.22389,958.920522,2016.56048,1178.32342,2222.57125,2953.32018,2177.59494,2734.83901,2587.51065,5484.91991,12652.312522,0,1591.6372,3101.584,1251.39307,748.17903,1272.40317,8469.14273,849.13246,2060.3394,1645.55308,4715.30217
