"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028"
"min";"65.79687";"65.79687";"65.79687";"65.79687";"65.79687";"65.79687";"65.79687";"65.79687";"65.79687";"65.79687";"65.79687";"65.79687";"65.79687";"65.79687";"65.79687";"65.79687";"65.79687";"65.79687";"65.79687";"65.79687";"65.79687";"65.79687";"65.79687";"65.79687";"65.79687";"65.79687";"65.79687";"65.79687"
"max";"7518.33827";"7518.33827";"7518.33827";"7518.33827";"7518.33827";"7518.33827";"7518.33827";"7518.33827";"7518.33827";"7518.33827";"7518.33827";"7518.33827";"7518.33827";"7518.33827";"7518.33827";"7518.33827";"7518.33827";"7518.33827";"7518.33827";"7518.33827";"7518.33827";"7518.33827";"7518.33827";"7518.33827";"7518.33827";"7518.33827";"7518.33827";"7518.33827"
"4am";"1105.2562";" 740.2706";"2106.5205";"1221.8059";"1348.6144";" 693.7128";"1386.5511";"1404.2287";"1285.4726";"1844.3855";" 304.0916";" 911.9053";" 679.4172";"1579.6879";" 896.2356";"1020.1880";"1941.0420";"1045.6685";"2037.6421";"1572.2778";" 688.8564";" 586.6628";" 337.4179";" 645.9852";" 535.6652";" 195.7152";" 363.1466";" 391.9500"
"5am";"1105.2562";" 740.2706";"2135.9004";"1221.8059";"1348.6144";" 693.7128";"1386.5511";"1404.2287";"1285.4726";"1844.3855";" 231.7429";" 911.9053";" 679.4172";"1579.6879";" 896.2356";"1020.1880";"1941.0420";"1045.6685";"2037.6421";"1572.2778";" 688.8564";" 586.6628";" 337.4179";" 645.9852";" 535.6652";" 195.7152";" 363.1466";" 391.9500"
"6am";"1105.2562";" 740.2706";"2191.6724";"1290.7367";"1203.6034";" 693.7128";"1330.3236";"1367.1811";"1285.4726";"1788.6135";" 228.1917";"1028.5937";" 679.4172";"1671.8643";" 860.2868";" 939.7250";"1941.0420";" 957.8298";"2037.6421";"1502.1095";" 615.8074";" 586.6628";" 337.4179";" 645.9852";" 569.7561";" 195.7152";" 329.0557";" 391.9500"
"7am";"1045.5996";" 786.3953";"2136.2946";"1194.3101";"1148.2475";" 693.7128";"1234.6503";"1330.1335";"1114.1277";"1903.3269";" 228.1917";"1349.3514";" 759.8802";"1733.0958";"1057.1497";"1061.5919";"1921.5172";" 891.6678";"1966.7022";"1211.4545";" 615.8074";" 560.4475";" 323.6867";" 666.9276";" 535.6652";" 195.7152";" 329.0557";" 391.9500"
"8am";" 982.4394";" 771.1824";"1956.9521";"1100.4570";"1089.5787";" 763.8834";"1190.8381";"1186.6939";" 879.1545";"2086.4337";" 228.1917";"1560.5947";" 721.2411";"1609.6742";"1375.8101";"1011.4427";"1958.9221";" 823.9251";"2023.9544";"1194.1893";" 615.8074";" 543.4318";" 310.3645";" 629.3684";" 502.7197";" 217.8934";" 329.0557";" 347.2104"
"9am";"1105.4021";" 772.0854";"1995.7086";"1016.7830";"1091.2864";" 828.0025";"1372.6309";"1223.5213";" 765.9545";"1996.4970";" 185.2228";"1482.1357";" 648.5081";"1554.3488";"1213.2827";" 796.5788";"2124.2713";" 761.8561";"1934.1760";"1112.4177";" 616.6366";" 543.4318";" 295.9289";" 557.2184";" 486.4257";" 177.6142";" 311.7938";" 339.8255"
"10am";"1098.0366";" 939.4703";"1890.8299";"1236.5347";" 941.5297";" 693.7831";"1309.0809";"1201.8256";" 952.6394";"1936.2164";" 199.9349";"1480.0825";" 822.1018";"1241.4916";"1410.9601";"1075.2322";"1908.7420";" 851.5839";"1809.8734";"1204.6671";" 642.9316";" 518.7692";" 309.2511";" 609.9693";" 440.9958";" 144.8610";" 295.1669";" 324.9986"
"11am";"1252.2770";"1089.8636";"1762.4567";"1128.1559";" 887.9247";" 716.4945";"1219.9011";"1081.7119";"1047.5338";"1854.1009";" 413.4576";"1475.6702";" 721.2411";"1406.3171";"1229.9866";" 962.0321";"1875.9888";" 851.5839";"2038.9261";"1077.2130";" 680.7631";" 480.9377";" 292.4680";" 627.8659";" 449.2289";" 177.6142";" 312.4288";" 388.4840"
