"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052";"053";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066";"067";"068";"069";"070";"071";"072";"073";"074";"075";"076";"077";"078";"079";"080";"081";"082";"083";"084";"085";"086";"087";"088";"089";"090";"091";"092";"093";"094";"095";"096";"097";"098";"099";"100";"101";"102";"103";"104"
"12am";" 1988.611";" 5389.070";" 2003.686";" 1365.431";" 1693.155";" 2141.831";" 2703.975";" 1046.052";" 1924.246";" 1022.793";"    0.000";"    0.000";" 1614.893";" 1223.298";" 3065.644";" 1257.997";" 1022.790";"  706.482";"  763.751";" 1440.993";" 1355.135";" 1567.348";" 1459.048";" 2157.330";" 1183.707";"    0.000";" 2312.075";"    0.000";"    0.000";" 1654.910";" 4710.651";"    0.000";"    0.000";"0";" 8589.395";" 1615.377";" 1366.399";" 4910.992";" 2472.456";"  757.710";" 2167.876";"    0.000";"  898.178";"    0.000";" 1757.806";" 1127.549";"    0.000";" 2264.222";" 1667.975";"    0.000";" 1010.842";"    0.000";"    0.000";"    0.000";" 4875.153";" 1203.813";" 1460.670";" 3688.184";" 1094.120";" 1151.386";" 2798.209";" 5172.464";"    0.000";"    0.000";" 1093.193";" 2262.452";"    0.000";" 3658.992";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";" 2076.309";"11056.229";" 3554.121";" 2938.787";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";" 1701.011";"  924.927";" 1453.655";" 2338.111";" 2497.679";" 1737.738";"  962.715";" 4662.085";"    0.000";" 1478.035";"    0.000";" 3827.462";" 3587.171";" 3323.171";" 1267.855";" 4876.191";"    0.000";"    0.000";"    0.000";" 2184.992"
"1pm";" 1966.622";" 4187.358";" 1937.747";" 1526.315";" 1957.031";" 2060.540";" 3255.669";" 1196.212";" 1831.066";" 1028.224";"    0.000";"    0.000";" 1680.542";" 1106.269";" 3188.371";" 1416.898";" 1149.561";"  805.883";"  897.802";" 2067.264";" 1503.472";" 1591.013";" 1764.628";" 2604.452";" 1229.804";"    0.000";" 2519.631";"    0.000";"    0.000";" 2108.163";" 5246.858";"    0.000";"  744.222";"    0.000";" 8824.759";" 1682.019";" 1892.594";" 4623.928";" 2553.265";"  888.095";" 2168.402";"    0.000";"  894.756";"    0.000";" 1712.680";" 1205.932";"    0.000";" 3046.795";" 1973.392";"    0.000";"  942.125";"  739.124";"  805.085";"    0.000";" 4864.341";" 1378.383";" 1595.657";" 3898.890";" 1675.116";" 1157.582";" 2721.946";" 5461.270";" 1023.122";"    0.000";" 1303.395";" 3016.920";"  737.648";" 3654.969";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";" 2448.150";"11730.072";" 3267.650";" 3067.876";"    0.000";"    0.000";"    0.000";"0";"  824.353";"  883.113";" 1885.267";"  999.893";" 1527.385";" 1972.575";" 2452.128";" 2890.613";" 1122.950";" 5253.404";"    0.000";" 1716.547";"    0.000";" 4796.943";" 4615.766";" 3280.426";" 1266.514";" 4889.601";"    0.000";"    0.000";"    0.000";" 2792.054"
"2pm";" 1881.697";" 4123.924";" 2692.964";" 1878.089";" 2152.411";" 2222.529";" 3408.326";"  924.123";" 1886.715";" 1084.662";" 1145.864";"    0.000";" 2127.200";" 1346.034";" 3886.605";" 1444.428";" 1017.192";"  820.820";"  971.828";" 1983.872";" 1992.559";" 1445.509";" 1985.436";" 3451.277";" 1551.766";"    0.000";" 2614.194";"    0.000";"  970.850";" 2140.166";" 5108.879";"    0.000";"  690.662";"    0.000";" 8903.025";" 2210.306";" 2190.370";" 4909.988";" 2931.827";" 1020.853";" 2542.478";"    0.000";" 1078.037";"    0.000";" 1828.814";" 1292.257";" 1136.858";" 4132.303";" 2024.381";"    0.000";"  983.602";"  925.411";"  951.956";"    0.000";" 4828.656";" 1446.816";" 1599.230";" 4049.081";" 2335.738";" 1083.623";" 2971.794";" 6714.624";" 1123.594";"  809.965";" 1451.131";" 3804.949";"    0.000";" 3855.278";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";" 2476.570";"11955.503";" 3349.980";" 3590.090";"  806.396";"    0.000";"    0.000";"0";" 1046.539";" 1133.689";" 2017.527";" 1042.792";" 1717.810";" 2467.680";" 2446.029";" 3135.637";" 1640.576";" 5529.388";"    0.000";" 2378.818";" 1222.926";" 5749.038";" 3875.490";" 3391.968";" 1931.345";" 5587.474";"    0.000";"    0.000";"    0.000";" 3560.822"
"3pm";" 1840.072";" 4794.618";" 2466.070";" 1876.939";" 1738.550";" 2362.446";" 3738.086";"  994.879";" 1737.944";" 1569.848";" 1075.733";"    0.000";" 2022.218";" 1149.950";" 3474.461";" 1470.272";"  959.903";"  948.033";"  930.810";" 1662.024";" 1918.101";" 1352.304";" 1521.831";" 3738.066";" 1211.555";"  680.353";" 2669.558";"    0.000";"    0.000";" 1734.634";" 4746.111";"    0.000";"    0.000";"    0.000";" 8906.139";" 1966.604";" 2268.309";" 5524.715";" 2964.762";" 1231.962";" 2324.655";"    0.000";" 1055.523";"    0.000";" 1955.476";" 1363.277";" 1070.401";" 3682.238";" 2754.882";"  734.724";" 1110.859";" 1113.661";" 1099.833";"    0.000";" 4427.701";" 1480.157";" 1711.566";" 3929.738";" 2768.465";" 1399.437";" 2828.293";" 6335.658";"  835.990";"    0.000";" 1119.095";" 3423.950";"    0.000";" 4536.017";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";" 2440.057";"11981.446";" 3095.054";" 2783.972";"  908.175";"    0.000";"    0.000";"    0.000";" 1199.115";" 1099.569";" 2445.565";" 1095.744";" 1958.675";" 2239.951";" 2694.488";" 3220.343";" 1695.564";" 5825.699";"    0.000";" 2692.368";"  804.068";" 6811.165";" 2867.895";" 3289.589";" 2273.983";" 6432.247";"    0.000";"    0.000";"    0.000";" 2879.624"
"4pm";" 1327.889";" 4379.328";" 2229.078";" 1386.450";" 1630.175";" 2426.277";" 2818.283";"  926.464";" 1550.189";"  908.628";"    0.000";"    0.000";" 1566.258";" 1139.581";" 2686.508";" 1130.524";" 1072.383";"  639.098";"  690.011";" 1475.590";" 1227.869";" 1799.181";" 1589.211";" 3424.883";" 1013.426";"    0.000";" 1681.374";"    0.000";"    0.000";" 1792.826";" 4449.783";"  593.453";"  756.104";"    0.000";" 6569.692";" 1629.912";" 1669.187";" 5306.417";" 2003.338";"  986.893";" 2195.877";"    0.000";" 1011.373";"    0.000";" 1762.109";" 1329.486";"    0.000";" 3994.035";" 1586.557";"    0.000";"  978.452";" 1146.116";"  743.900";"    0.000";" 3635.482";" 1352.015";" 1305.403";" 3392.361";" 2042.453";"  757.922";" 2714.896";" 5667.712";"    0.000";"    0.000";"  891.697";" 3149.845";"    0.000";" 3936.402";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";" 1925.273";"10472.228";" 2572.774";" 2911.868";"  730.325";"    0.000";"    0.000";"    0.000";" 1224.869";"  913.199";" 1987.327";"  759.436";" 1122.102";" 2497.828";" 1907.665";" 2810.421";" 1478.947";" 5237.679";"    0.000";" 2099.614";"  805.472";" 5370.444";" 2345.279";" 2703.310";" 1366.842";" 5044.308";"    0.000";"    0.000";"    0.000";" 2309.329"
"5pm";" 986.246";"3410.087";"1465.626";" 914.795";"1118.403";"1477.259";"1485.652";" 848.428";"1116.951";"   0.000";"   0.000";"   0.000";"1599.440";"1102.665";"1804.671";" 696.381";" 542.894";"   0.000";"   0.000";"1071.023";"   0.000";"1374.833";"   0.000";"3083.487";" 713.391";"   0.000";"1406.092";"   0.000";"   0.000";"1032.172";"2652.428";"   0.000";" 649.762";"   0.000";"4513.585";"1340.219";"1658.825";"3971.899";"1163.684";"   0.000";"1915.874";"   0.000";" 747.453";"   0.000";"1031.148";" 792.960";"   0.000";"2941.084";"1086.146";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"2716.866";"1261.373";"   0.000";"2409.547";"1830.180";"   0.000";"1908.519";"3893.237";"   0.000";"   0.000";"1003.986";"1680.130";"   0.000";"3504.214";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";" 933.430";"7471.026";"1620.229";"2464.930";"   0.000";"   0.000";"   0.000";"0";" 580.658";" 771.022";"1058.211";"   0.000";"1113.866";" 975.395";" 878.225";"1836.484";" 863.203";"3391.232";"   0.000";"1581.435";"   0.000";"3343.070";" 920.920";"1986.255";"   0.000";"3863.896";"   0.000";"   0.000";"   0.000";"1864.799"
"6pm";"1163.811";"2692.562";"   0.000";" 732.712";" 738.368";"1160.658";"1177.587";" 746.214";"   0.000";"   0.000";"   0.000";"   0.000";"1073.663";" 980.739";"1166.862";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";" 760.319";"   0.000";"1620.880";" 784.715";"   0.000";" 924.140";"   0.000";"   0.000";"   0.000";"1854.050";" 461.776";" 738.618";"   0.000";"2856.911";"   0.000";" 922.774";"2355.695";"1101.565";"   0.000";"1045.207";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1822.728";" 806.128";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1374.838";" 814.215";"   0.000";"1000.908";"   0.000";"   0.000";"1511.670";"2610.323";"   0.000";"   0.000";"   0.000";"1119.601";"   0.000";"1754.718";"0";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"3177.720";" 992.893";"1214.219";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1113.306";"   0.000";" 963.482";"   0.000";"1334.477";"   0.000";"1565.704";"   0.000";"1961.944";"   0.000";"   0.000";"   0.000";"2260.223";"   0.000";"   0.000";"   0.000";"1100.528"
"7pm";"1080.432";"2303.991";"   0.000";"   0.000";" 688.756";" 995.472";" 973.717";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";" 743.320";"   0.000";" 697.149";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1209.881";" 674.048";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";" 922.973";"   0.000";"   0.000";"   0.000";"1516.065";" 685.033";" 717.491";"1515.406";" 872.350";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1085.914";" 570.821";"   0.000";"   0.000";"   0.000";"   0.000";"1163.734";"1603.861";"   0.000";"   0.000";"   0.000";" 765.626";"   0.000";"1144.835";"0";"0";"   0.000";"   0.000";"0";"   0.000";"   0.000";"1703.906";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";" 855.938";"   0.000";" 958.160";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1527.794";"   0.000";"   0.000";"   0.000";"2171.220";"   0.000";"0";"   0.000";"   0.000"
"8pm";"1075.930";"1704.550";"   0.000";"   0.000";" 733.761";"1092.185";" 763.536";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1236.864";"   0.000";"   0.000";"1104.350";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";" 819.567";"   0.000";"   0.000";"0";"   0.000";"1019.013";"   0.000";"1312.040";"0";"0";"   0.000";"   0.000";"0";"0";"   0.000";"1138.155";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1750.558";"   0.000";"0";"   0.000";"   0.000"
"9pm";"1120.711";"1143.935";"   0.000";"   0.000";" 732.849";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";" 955.191";"   0.000";"   0.000";" 900.140";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";" 654.519";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";" 933.466";"0";"0";"   0.000";"   0.000";"0";"0";"   0.000";" 995.384";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1461.050";"   0.000";"0";"   0.000";"   0.000"
