"district","hour","rev1","rev2","rev3","rev4"
"7501","4am",10161.184,17074.624,22633.321,26411.949
"7502","4am",21509.075,24279.212,24464.789,55023.722
"7503","4am",13565.331,12112.637,21888.003,21885.099
"7504","4am",15413.035,24376.616,24173.974,16086.765
"7505","4am",18418.873,34933.504,37196.291,26313.896
"7506","4am",16371.249,34115.045,35299.55,22890.342
"7507","4am",32843.059,41400.063,33921.835,29298.103
"7508","4am",13763.652,25643.083,31380.379,29641.455
"7509","4am",22144.199,58875.861,39017.533,52579.447
"7510","4am",18855.794,18477.487,19536.752,50939.249
"7511","4am",23306.016,27878.082,21194.667,47077.982
"7512","4am",43653.401,45222.394,32612.609,30715.208
"7513","4am",40961.77,39293.771,35468.119,19220.91
"7514","4am",36570.416,46219.846,34836.276,27770.612
"7701","4am",13288.506,44701.335,30591.667,5879.608
"7702","4am",15291.264,52914.119,23883.188,19293.979
"7703","4am",12923.376,28808.638,22290.634,8703.799
"7704","4am",22244.147,27595.012,12156.247,2928.534
"7705","4am",8377.164,20351.222,12967.061,3821.262
"7706","4am",9167.287,23118.464,10384.624,2568.885
"7707","4am",8839.425,28525.128,9411.067,2401.512
"7708","4am",15138.677,24582.467,23718.433,7380.19
"7709","4am",5863.908,20701.844,15113.488,3783.074
"7710","4am",6392.241,32693.171,12662.113,7647.853
"7711","4am",15631.319,29609.288,8278.857,7221.545
"7712","4am",18598.552,19705.958,11810.949,4574.69
"7713","4am",8559.02,7983.532,5283.783,1751.431
"7714","4am",13592.344,19583.618,19118.129,5799.029
"7715","4am",9292.599,15500.908,5229.751,1626.279
"7716","4am",13314.467,28567.714,17035.863,4530.478
"7801","4am",6965.824,25111.44,17543.873,25129.488
"7802","4am",7202.57,10820.639,19871.365,25048.319
"7803","4am",11085.434,18426.601,26870.44,32305.081
"7804","4am",7731.42,14658.715,13677.301,10836.442
"7805","4am",12210.527,28027.282,22575.187,16894.318
"7806","4am",15438.54,30798.892,21193.789,10387.864
"7807","4am",22658.295,11489.478,11754.846,2321.951
"7808","4am",13642.58,18343.082,14847.043,5120.593
