"district","hour","dep1","dep2","dep3","dep4","dep5"
"7501","4am",82997.7607,0,0,380.5481,124.7578
"7502","4am",131019.7719,0,880.56442,1729.9317,552.8945
"7503","4am",79742.4908,0,0,207.3312,1020.7651
"7504","4am",80005.1557,884.5441,0,644.2573,947.7539
"7505","4am",122102.4763,0,0,531.9237,133.686
"7506","4am",116195.8272,600.0881,0,0,839.9617
"7507","4am",142358.4809,928.5385,1399.23361,963.6157,1189.537
"7508","4am",107645.8829,487.6583,763.13827,0,1959.5222
"7509","4am",182973.4902,0,0,1498.6327,1741.837
"7510","4am",130911.3331,0,381.51435,0,414.423
"7511","4am",134324.9472,1311.314,0,365.5835,0
"7512","4am",155478.4051,824.2632,0,0,178.048
"7513","4am",143059.6604,0,241.7889,0,792.6691
"7514","4am",151435.9139,0,0,362.0321,772.3187
"7701","4am",0,535.2007,238.74118,0,101449.5972
"7702","4am",680.4207,45952.8076,37010.57047,0,32557.0008
"7703","4am",475.7266,0,273.55862,729.9336,79513.3358
"7704","4am",0,0,0,0,72009.0252
"7705","4am",0,148.9833,0,0,49113.0476
"7706","4am",0,0,0,0,47141.5665
"7707","4am",0,0,0,0,52480.065
"7708","4am",0,602.4516,0,0,72792.0215
"7709","4am",0,0,187.19154,0,51846.7404
"7710","4am",0,0,0,0,67548.3782
"7711","4am",0,0,0,0,79214.0458
"7712","4am",460.5436,0,0,0,55906.5955
"7713","4am",0,0,0,337.354,29221.6876
"7714","4am",0,0,0,0,67300.8279
"7715","4am",0,0,0,0,34670.1002
"7716","4am",0,0,0,0,76936.1794
"7801","4am",0,560.809,0,0,78560.5037
"7802","4am",0,366.7268,0,0,64802.0508
"7803","4am",602.6179,416.3248,130.25685,153.663,91111.5403
"7804","4am",406.9637,912.6798,0,0,46859.631
"7805","4am",0,0,0,0,82111.26
"7806","4am",0,0,100.30637,0,84062.9803
"7807","4am",0,191.6878,0,617.4784,47854.2078
"7808","4am",0,0,0,0,57344.6513
"7809","4am",1451.6365,0,0,0,62395.1053
"7810","4am",0,0,0,0,23945.2854
"7811","4am",829.003,0,0,0,76636.9047
"7812","4am",0,550.9563,0,0,128853.0279
"7813","4am",0,0,0,0,38474.1734
"7814","4am",0,0,0,0,22918.3007
"7815","4am",0,0,1902.36243,137.8865,34872.9027
"7816","4am",0,0,0,0,106233.1157
"9101","4am",0,0,0,0,59144.5577
"9102","4am",387.5187,0,283.35454,0,46817.7177
"9103","4am",0,0,0,243.2046,62981.4108
"9104","4am",0,0,0,0,50677.2568
"9105","4am",0,0,0,0,77266.9031
"9106","4am",0,0,0,0,83061.9576
"9107","4am",370.9189,0,0,0,85825.4193
"9108","4am",0,0,0,0,56818.3893
"9109","4am",861.347,0,291.60866,259.3856,64922.913
"9110","4am",0,0,0,0,60954.6073
"9111","4am",498.6135,0,96.23167,0,59165.0478
"9112","4am",0,0,0,0,48401.5843
"9113","4am",0,0,0,0,77898.5926
"9114","4am",0,0,0,0,43003.6
"9201","4am",0,2240.1684,380.66289,109565.8742,601.0742
"9202","4am",0,575.9052,0,81037.9564,512.043
"9203","4am",401.8448,307.194,312.95116,139287.1745,500.4799
"9204","4am",0,0,0,85657.5961,517.1335
"9205","4am",413.921,0,0,100896.0444,275.11
"9206","4am",0,0,0,92844.5609,765.859
"9207","4am",0,287.3537,0,83189.4649,453.6229
"9208","4am",0,0,0,88299.6313,393.2936
"9209","4am",0,0,532.96479,127696.2503,1787.2517
"9210","4am",558.7732,0,0,117359.7976,261.606
"9211","4am",1018.6342,0,0,73403.298,0
"9212","4am",0,0,0,75049.9989,483.6872
"9302","4am",0,45100.7474,695.52925,0,745.4463
"9303","4am",392.6082,102747.2553,0,0,0
"9304","4am",0,119067.9032,0,0,0
"9305","4am",0,83255.7045,0,0,0
"9306","4am",0,95579.7298,329.366,0,320.2541
"9307","4am",3630.1177,76651.9106,0,0,335.931
"9308","4am",806.7955,57941.9733,548.97841,0,0
"9309","4am",1187.6512,86253.746,0,0,2472.5286
"9310","4am",677.0055,104079.0831,0,0,419.5995
"9311","4am",0,119278.2819,0,168.419,1145.2757
"9312","4am",322.7102,160801.5424,0,0,2452.9196
