"district","hour","cleduc1","cleduc2","cleduc3","cleduc4"
"9507","4am",21763.685,20842.311,13524.851,7088.702
"9508","4am",16244.741,27230.997,24337.062,16549.853
"9509","4am",8994.644,15947.044,19316.834,15046.177
"9510","4am",9817.871,20171.278,24286.534,16320.893
"9511","4am",8364.718,20625.661,16480.125,28228.29
"9512","4am",9728.113,15837.793,20589.599,19129.86
"9513","4am",9428.298,9883.517,15013.667,14524.882
"7501","5am",6252.484,8074.979,13572.434,48921.682
"7502","5am",6812.4,3992.251,22754.384,81199.875
"7503","5am",5918.145,7170.677,13496.199,47067.003
"7504","5am",4304.856,9717.781,15322.204,44870.078
"7505","5am",9515.496,16382.744,21272.066,64154.423
"7506","5am",11558.21,10307.446,25402.115,59868.644
"7507","5am",11735.911,18014.206,29588.746,65878.041
"7508","5am",3890.012,9819.835,17894.578,65355.669
"7509","5am",9679.978,19386.63,31123.326,101477.181
"7510","5am",6967.351,7182.405,25822.045,79939.902
"7511","5am",13173.592,11610.308,29970.455,68330.247
"7512","5am",19944.136,17936.478,27225.369,77639.447
"7513","5am",28466.52,23738.822,22030.731,54571.939
"7514","5am",23181.613,13896.138,37940.657,60275.606
"7701","5am",11840.104,27453.497,22275.142,26791.777
"7702","5am",15209.637,28843.884,25283.343,34251.485
"7703","5am",10195.12,27396.384,18939.336,16817.733
"7704","5am",20188.803,18256.134,15215.678,10668.71
"7705","5am",7074.354,15715.023,11642.102,7180.402
"7706","5am",9189.616,16158.606,12074.934,5738.264
"7707","5am",12402.769,19010.896,11300.118,6155.705
"7708","5am",7217.787,22868.186,16684.036,16608.751
"7709","5am",10932.59,13950.408,15281.477,8338.251
"7710","5am",6778.444,14325.833,24228.078,16739.148
"7711","5am",14405.078,20837.874,19789.441,16322.632
"7712","5am",8239.662,16895.139,14861.805,10223.45
"7713","5am",8890.414,7886.304,6425.937,3760.163
"7714","5am",9609.402,17071.945,15268.981,17033.103
"7715","5am",8185.776,13707.287,7766.572,2628.594
"7716","5am",10810.095,20875.492,23745.686,11939.971
"7801","5am",7811.489,13977.711,18709.485,30237.978
"7802","5am",3532.59,10232.92,13212.13,30623.516
"7803","5am",7768.308,10425.989,22476.19,40862.824
"7804","5am",8746.773,6873.666,11917.38,16348.697
"7805","5am",6791.133,21424.919,22069.244,24910.363
"7806","5am",12323.47,27293.014,20584.316,14807.134
"7807","5am",9279.54,14948.119,11350.86,5978.457
"7808","5am",10602.616,20057.086,12443.255,7370.045
"7809","5am",4848.77,15675.809,17136.06,19928.342
"7810","5am",2527.699,5555.048,7553.168,6441.875
"7811","5am",6666.271,10967.624,21862.456,34169.261
"7812","5am",5600.643,19803.612,28198.355,60929.658
"7813","5am",4131.606,9034.422,8801.165,12316.875
"7814","5am",1130.899,5284.097,6965.647,7513.143
"7815","5am",4649.619,10282.787,11194.635,7787.848
"7816","5am",8895.118,23811.754,29133.01,30640.409
"9101","5am",6402.216,15218.598,18184.073,13168.252
"9102","5am",6082.009,10987.795,12584.569,13925.287
"9103","5am",12545.078,16020.763,17963.715,12741.568
"9104","5am",6564.552,14086.44,14168.453,11871.656
"9105","5am",8326.508,20464.844,21576.898,18697.167
"9106","5am",14743.118,20518.546,19932.759,18312.712
"9107","5am",15977.606,22130.302,21564.309,18025.177
"9108","5am",5433.032,14715.832,13220.269,16330.54
"9109","5am",9583.715,13360.665,21251.879,15986.34
"9110","5am",9842.916,15939.037,15076.34,10906.558
"9111","5am",10550.959,12296.102,16191.201,15580.313
"9112","5am",6723.082,10002.084,12792.708,15104.373
"9113","5am",5628.179,12202.677,22973.937,29000.177
"9114","5am",1601.574,6422.697,10717.029,19045.159
"9201","5am",19040.113,17864.999,29289.664,35444.96
"9202","5am",10628.525,18159.973,23075.552,21844.624
"9203","5am",12537.165,18536.631,33027.583,64773.365
"9204","5am",11074.078,15809.047,25213.589,25344.083
"9205","5am",5669.275,15330.716,19094.333,51855.669
"9206","5am",6556.704,14781.087,18129.514,48198.128
"9207","5am",2199.913,6657.62,18363.691,48469.152
"9208","5am",5808.332,10410.036,22529.582,42147.447
"9209","5am",14262.924,17992.375,31534.106,54020.69
"9210","5am",10503.977,20429.619,20726.701,53212.172
"9211","5am",11187.09,14194.513,16175.616,25218.884
"9212","5am",6864.183,12585.812,18370.933,30212.369
"9302","5am",7940.198,14357.571,10904.684,7775.829
"9303","5am",17735.506,21375.697,25415.749,28673.853
"9304","5am",27962.689,27300.596,27647.425,25757.684
"9305","5am",18725.36,21483.524,17154.482,12926.142
"9306","5am",19380.52,19664.003,28286.732,19227.638
"9307","5am",15377.837,20859.215,22171.303,12607.622
"9308","5am",11365.991,14167.908,19052.63,8711.731
"9309","5am",25553.435,22829.567,20061.951,12311.918
"9310","5am",17592.052,31180.704,31713.009,12601.371
"9311","5am",28733.972,29390.314,26251.982,14532.096
"9312","5am",41144.649,40754.503,34632.833,27278.988
"9402","5am",16055.973,30593.703,22295.446,22599.748
"9403","5am",19172.259,18852.158,22308.435,35535.114
"9404","5am",12475.248,19950.807,14636.2,14370.185
"9405","5am",7839.21,16080.941,19060.248,17996.236
"9406","5am",12367.723,18137.943,19702.764,14639.464
"9407","5am",15634.499,20112.119,27969.983,36330.877
"9408","5am",8991.549,10765.035,15111.315,33006.701
"9409","5am",12341.212,16150.367,37858.657,65151.46
"9410","5am",7579.879,9249.72,13067.886,10676.256
"9411","5am",12528.838,14695.525,12032.326,6204.855
"9412","5am",7472.689,8300.535,7726.545,8140.763
"9413","5am",10555.412,17684.011,15209.084,7535.118
"9414","5am",2834.157,6525.579,8670.32,8816.316
"9501","5am",8019.117,16169.405,19667.08,16493.801
"9502","5am",12671.882,17151.745,12761.444,11843.606
"9503","5am",7088.635,13309.344,12439.236,13276.632
"9504","5am",9021.005,11816.211,13675.759,11348.205
"9505","5am",12521.598,18561.068,18600.67,4282.224
"9506","5am",13166.888,12755.661,14905.841,5850.62
"9507","5am",21500.766,20351.473,13624.145,7088.702
"9508","5am",14642.418,25457.137,24541.759,16343.569
"9509","5am",9139.962,15472.722,18629.869,14709.57
"9510","5am",9995.425,20531.845,24286.534,16066.335
"9511","5am",8364.718,20808.204,16143.323,28228.29
"9512","5am",9728.113,15022.995,19509.838,19129.86
"9513","5am",9259.427,9696.781,15013.667,14524.882
"7501","6am",6316.751,8307.465,14960.184,49298.861
"7502","6am",8317.703,6985.227,24663.028,78658.048
"7503","6am",9838.896,9678.12,15004.4,47676.718
"7504","6am",4735.493,9091.988,18668.997,44870.078
"7505","6am",7699.708,15920.617,20881.967,63890.637
"7506","6am",14212.642,13340.324,27312.597,60730.05
"7507","6am",12146.649,20382.917,28983.32,67385.437
"7508","6am",3890.012,10023.328,19479.106,65992.327
"7509","6am",10441.483,18371.412,28792.906,102634.309
"7510","6am",8902.892,8123.583,24752.606,78379.989
"7511","6am",13153.715,11409.112,30635.308,67157.555
"7512","6am",20505.745,17629.177,27224.097,76746.29
"7513","6am",25944.954,22507.85,21239.067,50550.728
"7514","6am",21862.903,13535.533,40494.377,58764.734
"7701","6am",12631.963,28951.963,21417.362,24676.121
"7702","6am",15086.308,29663.18,24339.555,33297.738
"7703","6am",9951.925,26180.388,17913.755,14970.2
"7704","6am",18808.873,17405.789,14136.378,9488.294
"7705","6am",7074.354,14879.825,10677.569,6654.896
"7706","6am",8794.579,15061.259,11053.014,5509.397
"7707","6am",12402.769,16970.78,10234.135,5841.076
"7708","6am",6822.19,19048.029,16172.027,15057.476
"7709","6am",9438.189,13887.134,14522.38,6799.124
"7710","6am",6073.474,12333.829,25024.281,15025.613
"7711","6am",14726.862,20338.488,18756.323,15701.797
"7712","6am",7902.239,17045.737,13129.801,9523.856
"7713","6am",8789.931,7019.452,5699.586,3416.594
"7714","6am",9743.463,16599.538,14338.805,15949.065
"7715","6am",8051.715,12951.311,6710.699,2377.108
"7716","6am",10639.619,20195.394,20559.189,11107.202
"7801","6am",7811.489,12893.856,17973.899,29136.136
"7802","6am",3532.59,10484.337,11191.928,29140.756
"7803","6am",7768.308,9602.284,22228.519,37994.973
"7804","6am",8324.627,6015.591,10815.271,15865.143
"7805","6am",6791.133,21201.133,21867.452,23077.853
"7806","6am",11256.642,26209.05,19751.637,14804.435
"7807","6am",8162.116,13961.526,10425.303,5700.836
"7808","6am",10128.869,17747.558,11778.033,6700.46
"7809","6am",4848.77,14763.741,15587.317,18117.443
"7810","6am",2156.145,4955.802,7034.968,5830.185
"7811","6am",6212.648,11395.319,21127.978,33061.742
"7812","6am",5600.643,18435.855,28393.776,57927.723
"7813","6am",4400.03,8904.875,8116.839,11737.474
"7814","6am",1130.899,5343.531,6448.336,7071.479
"7815","6am",4197.173,9385.086,11063.766,6902.62
"7816","6am",8285.753,22539.301,29240.286,30634.044
"9101","6am",6237.876,15040.016,17727.866,13342.509
"9102","6am",6082.009,10095.363,13346.743,13075.547
"9103","6am",11793.442,14317.458,16353.608,11974.904
"9104","6am",6300.585,12708.894,13352.138,11871.656
"9105","6am",8326.508,19700.392,20848.509,18672.746
"9106","6am",13964.217,18395.301,18286.213,15871.37
"9107","6am",15473.778,18992.364,20220.32,17586.836
"9108","6am",5668.146,14061.74,12023.906,15407.776
"9109","6am",9282.543,12947.381,20161.717,15780.371
"9110","6am",9897.495,15024.872,13837.988,10044.523
"9111","6am",10615.607,13025.019,15591.102,15411.902
