"district","hour","dep1","dep2","dep3","dep4","dep5"
"7501","4am",99.3948655,0,0,0.4557295,0.149405
"7502","4am",97.6424832,0,0.6562406,1.2892316,0.4120447
"7503","4am",98.4832811,0,0,0.2560574,1.2606615
"7504","4am",96.9974492,1.0724124,0,0.7810911,1.1490473
"7505","4am",99.4578317,0,0,0.4332753,0.1088931
"7506","4am",98.7758414,0.5101234,0,0,0.7140353
"7507","4am",96.9484181,0.6323497,0.9529006,0.6562378,0.8100938
"7508","4am",97.1040693,0.4399017,0.6884038,0,1.7676253
"7509","4am",98.2598138,0,0,0.8047908,0.9353955
"7510","4am",99.395677,0,0.2896684,0,0.3146546
"7511","4am",98.7670039,0.9641884,0,0.2688077,0
"7512","4am",99.3594666,0.5267507,0,0,0.1137827
"7513","4am",99.2820956,0,0.1677993,0,0.5501051
"7514","4am",99.256506,0,0,0.2372887,0.5062053
"7701","4am",0,0.5235592,0.2335481,0,99.2428927
"7702","4am",0.585556,39.5460339,31.85053,0,28.0178802
"7703","4am",0.5873708,0,0.3377577,0.9012355,98.173636
"7704","4am",0,0,0,0,100
"7705","4am",0,0.3024303,0,0,99.6975697
"7706","4am",0,0,0,0,100
"7707","4am",0,0,0,0,100
"7708","4am",0,0.8208406,0,0,99.1791594
"7709","4am",0,0,0.359749,0,99.640251
"7710","4am",0,0,0,0,100
"7711","4am",0,0,0,0,100
"7712","4am",0.8170428,0,0,0,99.1829572
"7713","4am",0,0,0,1.1412887,98.8587113
"7714","4am",0,0,0,0,100
"7715","4am",0,0,0,0,100
"7716","4am",0,0,0,0,100
"7801","4am",0,0.7087964,0,0,99.2912036
"7802","4am",0,0.5627339,0,0,99.4372661
"7803","4am",0.6520822,0.4504977,0.1409486,0.166276,98.5901954
"7804","4am",0.8446862,1.894341,0,0,97.2609728
"7805","4am",0,0,0,0,100
"7806","4am",0,0,0.1191807,0,99.8808193
"7807","4am",0,0.3939057,0,1.2688772,98.3372172
"7808","4am",0,0,0,0,100
"7809","4am",2.2736265,0,0,0,97.7263735
"7810","4am",0,0,0,0,100
"7811","4am",1.070152,0,0,0,98.929848
"7812","4am",0,0.4257645,0,0,99.5742355
"7813","4am",0,0,0,0,100
"7814","4am",0,0,0,0,100
"7815","4am",0,0,5.1536169,0.3735431,94.47284
"7816","4am",0,0,0,0,100
"9101","4am",0,0,0,0,100
"9102","4am",0.8160249,0,0.5966792,0,98.5872959
"9103","4am",0,0,0,0.3846677,99.6153323
"9104","4am",0,0,0,0,100
"9105","4am",0,0,0,0,100
"9106","4am",0,0,0,0,100
"9107","4am",0.4303187,0,0,0,99.5696813
"9108","4am",0,0,0,0,100
"9109","4am",1.2984755,0,0.4395983,0.3910222,97.870904
"9110","4am",0,0,0,0,100
"9111","4am",0.8343615,0,0.1610305,0,99.004608
"9112","4am",0,0,0,0,100
"9113","4am",0,0,0,0,100
"9114","4am",0,0,0,0,100
"9201","4am",0,1.9861801,0.3375037,97.1433913,0.5329249
"9202","4am",0,0.7012467,0,98.6752679,0.6234854
"9203","4am",0.2853816,0.2181626,0.2222512,98.9187745,0.3554301
"9204","4am",0,0,0,99.3999012,0.6000988
"9205","4am",0.4074624,0,0,99.3217202,0.2708174
"9206","4am",0,0,0,99.1818656,0.8181344
"9207","4am",0,0.3423713,0,99.1171538,0.5404749
"9208","4am",0,0,0,99.5565671,0.4434329
"9209","4am",0,0,0.409921,98.2154441,1.3746349
"9210","4am",0.4728146,0,0,99.3058234,0.221362
"9211","4am",1.3687285,0,0,98.6312715,0
"9212","4am",0,0,0,99.3596405,0.6403595
"9302","4am",0,96.903906,1.4944209,0,1.6016731
"9303","4am",0.3806561,99.6193439,0,0,0
"9304","4am",0,100,0,0,0
"9305","4am",0,100,0,0,0
"9306","4am",0,99.3249252,0.3422719,0,0.332803
"9307","4am",4.5028648,95.0804403,0,0,0.416695
"9308","4am",1.3605838,97.7136164,0.9257998,0,0
"9309","4am",1.3208757,95.9292403,0,0,2.749884
"9310","4am",0.6436901,98.9573588,0,0,0.3989511
"9311","4am",0,98.9106284,0,0.1396602,0.9497114
"9312","4am",0.1972832,98.303168,0,0,1.4995488
"9402","4am",0.3431863,0,98.5214379,0,1.1353758
"9403","4am",0,0,99.5719314,0,0.4280686
"9404","4am",0,0.5622336,97.8314836,0.3612716,1.2450112
"9405","4am",2.1643756,0.7326291,91.0467465,0.4736469,5.5826019
"9406","4am",0.6293087,0.1365829,98.3114238,0.9226845,0
"9407","4am",0,0,99.5060846,0.1852297,0.3086857
"9408","4am",0,1.0940629,98.1171659,0,0.7887713
"9409","4am",0,0.3689668,99.6310332,0,0
"9410","4am",0,1.0689051,98.9310949,0,0
"9411","4am",0,0,100,0,0
"9412","4am",1.8310306,0,97.4207929,0,0.7481766
"9413","4am",0,0,100,0,0
"9414","4am",0,1.197535,98.802465,0,0
"9501","4am",0.615625,0,0,0.2698179,99.1145571
"9502","4am",0,0,0,0,100
"9503","4am",0,0,0.7542797,0,99.2457203
"9504","4am",0,0,0,0,100
"9505","4am",0.7759269,0.2371371,0,0,98.986936
"9506","4am",0.4146574,0,0,0,99.5853426
"9507","4am",0,0,0.4116312,0,99.5883688
