"district","hour","rev1","rev2","rev3","rev4"
"7501","4am",13.320713,22.38383,29.670951,34.624509
"7502","4am",17.169241,19.38045,19.528587,43.921718
"7503","4am",19.532213,17.44053,31.515717,31.511536
"7504","4am",19.254166,30.45159,30.198446,20.095799
"7505","4am",15.761141,29.89281,31.82909,22.516959
"7506","4am",15.064247,31.39146,32.481403,21.062887
"7507","4am",23.89228,30.11723,24.677055,21.313437
"7508","4am",13.704917,25.53365,31.246467,29.514963
"7509","4am",12.828513,34.10779,22.603523,30.460172
"7510","4am",17.489954,17.13905,18.121586,47.24941
"7511","4am",19.510004,23.33739,17.742545,39.410065
"7512","4am",28.680923,29.71177,21.426961,20.180341
"7513","4am",30.354515,29.11845,26.283473,14.243559
"7514","4am",25.152086,31.78869,23.959394,19.099833
"7701","4am",14.0677,47.32247,32.38546,6.224369
"7702","4am",13.728599,47.50665,21.442486,17.322263
"7703","4am",17.769844,39.61233,30.64997,11.96786
"7704","4am",34.261857,42.5036,18.723828,4.510715
"7705","4am",18.404592,44.71154,28.488574,8.395294
"7706","4am",20.264008,51.10266,22.954893,5.678441
"7707","4am",17.974665,58.00486,19.13708,4.883392
"7708","4am",21.376344,34.71131,33.491262,10.421087
"7709","4am",12.898393,45.53627,33.243992,8.321341
"7710","4am",10.762186,55.04329,21.318347,12.876176
"7711","4am",25.734375,48.74678,13.629766,11.889076
"7712","4am",34.007133,36.03201,21.596118,8.364742
"7713","4am",36.301235,33.86042,22.410023,7.428317
"7714","4am",23.397511,33.71074,32.909454,9.982299
"7715","4am",29.360931,48.97673,16.523941,5.138398
"7716","4am",20.984677,45.02503,26.849897,7.1404
"7801","4am",9.31875,33.59362,23.469868,33.617763
"7802","4am",11.443023,17.1912,31.570467,39.795309
"7803","4am",12.499425,20.77699,30.297869,36.42572
"7804","4am",16.483541,31.25267,29.160277,23.103511
"7805","4am",15.319205,35.16275,28.322604,21.195442
"7806","4am",19.839015,39.57756,27.234694,13.348736
"7807","4am",46.984962,23.82495,24.375222,4.814871
"7808","4am",26.259315,35.30687,28.577672,9.856146
"7809","4am",16.532498,32.41302,32.881743,18.172741
"7810","4am",9.976043,35.59141,31.733679,22.698868
"7811","4am",9.14722,23.62102,32.876691,34.355066
"7812","4am",9.414582,27.63043,26.279901,36.675083
"7813","4am",10.310274,26.51487,29.995372,33.179487
"7814","4am",9.848022,28.84603,35.61574,25.690203
"7815","4am",12.533606,37.38212,32.122206,17.962071
"7816","4am",14.797085,35.01158,30.943946,19.247389
"9101","4am",38.64523,31.66851,18.428407,11.257852
"9102","4am",13.982116,40.11912,25.597826,20.300938
"9103","4am",25.883042,35.79554,27.33034,10.991082
"9104","4am",17.302969,33.0812,30.580384,19.035445
"9105","4am",11.3825,41.79067,26.818537,20.008297
"9106","4am",25.132512,29.17791,30.351847,15.337729
"9107","4am",21.035957,32.85444,34.331338,11.778267
"9108","4am",18.403837,37.83265,26.391749,17.371766
"9109","4am",21.527861,36.44475,25.241488,16.785904
"9110","4am",37.381573,34.94563,18.000141,9.672657
"9111","4am",13.136697,36.15911,34.442239,16.261952
"9112","4am",12.550802,32.58117,38.950001,15.918026
"9113","4am",15.96831,34.74716,27.727058,21.557468
"9114","4am",9.015125,21.2781,38.356783,31.349993
"9201","4am",26.637807,37.40567,25.501226,10.455293
"9202","4am",26.217026,27.87075,29.176915,16.735313
"9203","4am",19.140413,24.15034,27.906428,28.802819
"9204","4am",22.557625,38.70803,24.554647,14.179701
"9205","4am",19.893432,17.59271,30.904337,31.609521
"9206","4am",16.350095,21.05234,29.158668,33.438902
"9207","4am",7.382992,19.37753,30.082377,43.157101
"9208","4am",10.315807,24.24747,29.333979,36.102745
"9209","4am",13.226456,34.68952,29.480948,22.603077
"9210","4am",11.580457,25.24409,30.520337,32.655115
"9211","4am",26.23825,41.87744,17.666657,14.217653
"9212","4am",17.310427,33.81211,26.10093,22.776529
"9302","4am",22.75442,40.38235,30.117819,6.745409
"9303","4am",41.652686,36.28751,18.404099,3.655708
"9304","4am",36.345222,39.95211,20.44393,3.258743
"9305","4am",43.027503,27.60615,18.384298,10.982054
"9306","4am",17.515984,43.02444,27.039006,12.42057
"9307","4am",35.353266,34.00337,20.251149,10.392215
"9308","4am",32.929166,41.69196,21.55685,3.822025
"9309","4am",42.011285,30.8073,18.590206,8.591209
"9310","4am",36.461824,42.95321,16.547698,4.037271
"9311","4am",48.346992,37.40196,9.979173,4.271875
"9312","4am",45.439259,37.19999,13.439519,3.921233
"9402","4am",31.622608,45.9038,17.598332,4.875258
"9403","4am",25.771821,37.9185,30.525808,5.783866
"9404","4am",29.125705,37.43561,24.829361,8.609328
"9405","4am",16.148664,45.95054,29.066397,8.834397
"9406","4am",30.431241,44.14938,18.388821,7.03056
"9407","4am",23.30977,30.1119,30.371684,16.206645
"9408","4am",6.352913,39.52982,35.891163,18.226101
"9409","4am",14.467921,35.4385,30.325557,19.768024
"9410","4am",15.664818,43.02797,26.54646,14.760754
"9411","4am",42.319413,37.16602,11.338171,9.176401
"9412","4am",25.994299,38.18786,17.73562,18.08222
"9413","4am",38.111548,39.59229,17.863632,4.432535
"9414","4am",10.357734,35.28552,34.747736,19.60901
"9501","4am",25.644922,41.12587,26.662959,6.566252
"9502","4am",29.418355,39.80227,22.508692,8.270683
"9503","4am",19.201099,40.36902,22.573471,17.856406
"9504","4am",16.808832,32.97024,37.216995,13.003936
"9505","4am",19.589947,45.85563,26.549354,8.005074
"9506","4am",32.585062,39.77688,21.440257,6.1978
"9507","4am",38.034416,55.82375,4.184403,1.957428
"9508","4am",29.397814,43.81831,21.008981,5.774891
"9509","4am",17.203854,33.04106,25.742099,24.012987
"9510","4am",20.701549,30.89813,31.980282,16.420036
"9511","4am",10.159601,36.4421,38.399903,14.998394
"9512","4am",18.52933,37.37821,27.546447,16.54601
