"district","hour","act1","act2","act3","act4","act5"
"7501","4am",82320.34,847.8466,0,0,334.87708
"7502","4am",132232.36,695.6039,194.48272,0,1060.7151
"7503","4am",79013.67,459.75266,0,0,1497.16723
"7504","4am",76552.47,2083.59338,0,0,3845.64493
"7505","4am",122223.12,0,0,0,544.96559
"7506","4am",115215.39,985.25154,0,0,1435.2376
"7507","4am",143013.21,1994.03198,0,0,1832.16277
"7508","4am",107285.48,2125.8769,0,0,1444.83993
"7509","4am",183617.11,2142.61925,0,0,454.23289
"7510","4am",131121.89,585.38,0,0,0
"7511","4am",135021.92,979.91992,0,0,0
"7512","4am",154960.89,926.05823,0,0,593.77231
"7513","4am",143127.21,291.86865,0,0,675.03508
"7514","4am",151019.98,0,0,0,1550.28621
"7701","4am",99625.85,2510.47225,87.21615,0,0
"7702","4am",115129.85,0,301.0163,0,769.93501
"7703","4am",76300.48,2757.96277,0,0,797.35414
"7704","4am",70471.71,1007.43339,72.09649,0,457.78986
"7705","4am",48211.14,455.22442,595.66484,0,0
"7706","4am",46742.1,399.46948,0,0,0
"7707","4am",51213.8,1179.36892,0,0,86.89713
"7708","4am",72004.73,615.03211,0,0,774.71047
"7709","4am",50948.16,1085.77661,0,0,0
"7710","4am",65756.59,600.80152,0,0,1190.98254
"7711","4am",77734.59,1217.30388,0,0,262.15094
"7712","4am",55787.35,579.7852,0,0,0
"7713","4am",28915.38,643.65697,0,0,0
"7714","4am",66348.48,766.6171,0,0,185.73248
"7715","4am",34670.1,0,0,0,0
"7716","4am",75198.95,1576.14663,0,0,161.07783
"7801","4am",78454.55,560.80902,0,0,105.95148
"7802","4am",64477.92,324.12623,0,0,366.72681
"7803","4am",91098.23,769.58767,0,0,546.58165
"7804","4am",46259.09,600.54252,912.67976,0,406.96367
"7805","4am",82111.26,0,0,0,0
"7806","4am",83172.24,823.37886,0,0,167.66988
"7807","4am",48471.69,0,0,0,191.68779
"7808","4am",57017.7,169.92957,0,0,157.02489
"7809","4am",63288.99,268.04506,0,0,289.70849
"7810","4am",23945.29,0,0,0,0
"7811","4am",76229.21,0,0,0,1236.70196
"7812","4am",128089.32,145.08831,0,0,1169.57742
"7813","4am",38115.75,358.42377,0,0,0
"7814","4am",22918.3,0,0,0,0
"7815","4am",34617.49,393.29724,0,0,1902.36243
"7816","4am",105998.79,0,0,0,234.32818
"9101","4am",57957.57,1186.98492,0,0,0
"9102","4am",46670.87,387.51872,0,0,283.35454
"9103","4am",62867.31,242.07781,0,0,115.22525
"9104","4am",50347.39,125.54315,0,0,204.32359
"9105","4am",75809.67,1457.23211,0,0,0
"9106","4am",81084.26,913.21628,0,0,1064.4787
"9107","4am",85970.4,225.94276,0,0,0
"9108","4am",56620.09,0,198.29987,0,0
"9109","4am",64078.47,1088.03187,0,0,1168.75629
"9110","4am",60382.18,572.42462,0,0,0
"9111","4am",58623.94,1135.94904,0,0,0
"9112","4am",48209.52,0,0,0,192.06403
"9113","4am",77273.76,624.83739,0,0,0
"9114","4am",42892.88,110.71747,0,0,0
"9201","4am",111455.17,309.71832,0,0,1022.89349
"9202","4am",80976.11,575.90518,0,0,243.28977
"9203","4am",139572.03,499.55038,0,0,738.06394
"9204","4am",85190.55,984.1834,0,0,0
"9205","4am",100041.6,505.19968,0,0,1038.27681
"9206","4am",92483.03,836.98181,0,0,290.40694
"9207","4am",83189.46,287.35374,0,0,453.62295
"9208","4am",87726.63,966.2941,0,0,0
"9209","4am",127713.13,2303.33543,0,0,0
"9210","4am",117359.8,0,686.69316,0,0
"9211","4am",74421.93,0,0,0,0
"9212","4am",73682.5,873.19361,0,0,977.99114
"9302","4am",44451.9,1215.66219,0,0,874.16254
"9303","4am",102612.17,527.69564,0,0,0
"9304","4am",118837.35,230.55792,0,0,0
"9305","4am",83028.41,227.29392,0,0,0
"9306","4am",95835.59,73.51061,0,0,320.25413
"9307","4am",80617.96,0,0,0,0
"9308","4am",57941.97,1355.77396,0,0,0
"9309","4am",85842.89,2854.28391,0,0,594.82702
"9310","4am",103870.38,1066.47594,0,0,238.83629
"9311","4am",118350.72,1580.18367,492.65386,0,168.419
"9312","4am",161368.11,1705.37439,0,0,503.6882
"9402","4am",105608.88,150.18973,0,0,1383.13687
"9403","4am",113069.8,460.35617,0,0,0
"9404","4am",65600.59,2063.33759,0,0,0
"9405","4am",57477.26,6576.04278,0,0,458.27114
