"district","hour","educmen1","educmen2","educmen3","educmen4"
"213","5am",1284.61638,2669.638,1768.182,759.2998
"214","5am",916.79726,1476.803,1624.3521,972.6562
"215","5am",1000.88596,3424.937,1846.3653,425.8121
"216","5am",1715.06318,4362.422,2915.875,905.5965
"217","5am",1087.11688,3062.468,2001.71,887.1258
"218","5am",1117.0766,2141.856,2304.9018,1406.6721
"219","5am",1703.81196,3020.483,1704.4875,1339.5183
"220","5am",1920.55656,3962.219,3766.0614,3998.9649
"221","5am",2819.04266,2585.747,2786.9547,2008.6298
"222","5am",1991.05035,2558.072,1773.99,1477.7284
"223","5am",1437.87606,2578.453,2397.7168,615.577
"224","5am",807.91277,2467.309,959.3257,650.7396
"101","6am",596.86444,1770.369,1808.918,2445.1642
"102","6am",649.36661,3687.851,3754.952,5113.0517
"103","6am",1214.66162,9501.78,2398.2057,4014.2715
"104","6am",61.18693,1951.507,1419.3052,1411.483
"105","6am",2057.24567,9623.952,5434.1444,865.4815
"106","6am",2780.87455,8087.481,4004.786,5238.0504
"107","6am",3197.89013,7529.088,1718.4642,642.828
"108","6am",1216.89937,5944.246,4346.006,2836.6515
"109","6am",532.9116,6295.683,6520.399,5254.0314
"110","6am",1278.83625,4038.738,2086.5887,1553.0633
"111","6am",1937.28749,6068.49,3406.7539,2359.7556
"112","6am",688.29732,2220.657,2772.567,1712.4705
"113","6am",2518.96879,10750.41,5120.2513,1196.2068
"114","6am",1705.76615,5805.553,2419.0772,413.3405
"115","6am",743.43928,4690.925,1426.5983,832.9066
"116","6am",1089.25123,5136.429,1404.9802,390.7472
"117","6am",739.65276,7081.101,2635.6681,1364.965
"118","6am",462.78754,1930.309,1262.52,927.2427
"119","6am",468.6951,2077.467,1003.4171,1014.5303
"120","6am",227.50049,4675.839,2364.5597,566.1939
"121","6am",296.90637,3545.354,1776.6759,879.8738
"122","6am",257.06025,4454.203,940.5674,985.6208
"123","6am",329.54199,3316.821,1399.559,253.7629
"124","6am",287.24779,2300.363,1569.7139,466.7087
"125","6am",1233.09329,4504.867,2257.295,521.6961
"126","6am",289.13592,2286.173,837.9109,140.4086
"127","6am",457.35002,6650.913,1684.2414,985.4701
"128","6am",2266.43322,6464.509,4156.2583,2028.9577
"129","6am",157.21389,3022.032,1617.8423,771.6567
"130","6am",312.95232,2046.762,1392.0336,725.6206
"131","6am",361.78434,2555.628,1729.6527,743.3895
"132","6am",886.344,2915.628,1575.7471,662.0777
"201","6am",1143.05984,3180.396,2317.8382,832.9625
"202","6am",963.54295,2625.277,2034.8512,1063.98
"203","6am",1992.54597,5647.893,3775.3874,1981.34
"204","6am",729.14522,2717.958,2564.5254,1118.3146
"205","6am",1065.83329,2055.207,1670.4425,456.8789
"206","6am",1292.98152,2234.043,931.3006,323.1488
"207","6am",1690.90178,4390.274,2616.5696,2391.5817
"208","6am",1597.14809,3433.259,1884.6554,446.6347
"209","6am",1777.74382,3407.799,3665.6747,2790.6985
"210","6am",3040.24738,5833.904,2658.4156,780.42
"211","6am",479.5888,1456.872,1420.4275,861.4517
"212","6am",987.90863,1262.734,1341.0503,282.1
"213","6am",1238.12988,2590.535,1768.182,838.0847
"214","6am",876.80799,1177.563,1610.6537,958.9578
"215","6am",954.90927,3341.247,1694.0507,425.8121
"216","6am",1715.06318,4176.267,2866.7067,677.5453
"217","6am",1052.67521,3100.244,1583.1611,887.1258
"218","6am",1117.0766,2115.798,2239.9995,1406.6721
"219","6am",1703.81196,2954.307,1817.8338,1339.5183
"220","6am",2026.64446,4042.185,3636.8194,3740.6375
"221","6am",2869.85691,2697.543,3038.8626,1500.8477
"222","6am",1947.93953,2368.36,1671.861,1477.7284
"223","6am",1343.7264,2494.023,2186.7981,615.577
