"district","hour","resarea1","resarea2","resarea3"
"107","7am",4.992652,2.4738381,92.5335095
"108","7am",2.781461,3.3907327,93.8278065
"109","7am",7.653388,89.3818755,2.9647368
"110","7am",3.49912,94.1551784,2.3457017
"111","7am",4.474054,93.0078778,2.5180682
"112","7am",12.878124,69.2364861,17.8853902
"113","7am",12.005893,85.2872421,2.706865
"114","7am",13.636608,83.3206752,3.0427167
"115","7am",92.881315,4.2342033,2.8844813
"116","7am",9.525315,86.6200525,3.8546323
"117","7am",16.210899,78.924401,4.8646996
"118","7am",1.627698,97.2150593,1.1572427
"119","7am",98.05783,1.9421695,0
"120","7am",100,0,0
"121","7am",96.067364,3.9326357,0
"122","7am",97.873559,0,2.1264407
"123","7am",100,0,0
"124","7am",98.088604,1.9113958,0
"125","7am",96.489392,2.5761469,0.9344608
"126","7am",100,0,0
"127","7am",94.668509,3.9229098,1.4085812
"128","7am",92.673125,3.7468927,3.5799827
"129","7am",96.498107,1.5094915,1.9924018
"130","7am",96.852843,3.1471571,0
"131","7am",100,0,0
"132","7am",92.847682,5.6307781,1.5215399
"201","7am",100,0,0
"202","7am",96.67933,1.8349809,1.4856895
"203","7am",96.586233,2.32393,1.0898369
"204","7am",99.040878,0.9591219,0
"205","7am",96.870163,3.1298366,0
"206","7am",100,0,0
"207","7am",100,0,0
"208","7am",100,0,0
"209","7am",98.67551,1.3244902,0
"210","7am",10.691037,87.9912175,1.3177458
"211","7am",100,0,0
"212","7am",91.29631,8.7036896,0
"213","7am",95.286954,4.7130464,0
"214","7am",100,0,0
"215","7am",95.953444,1.1359032,2.9106523
"216","7am",96.004742,3.9952576,0
"217","7am",7.114439,92.885561,0
"218","7am",6.23323,93.7667701,0
"219","7am",3.036241,96.9637591,0
"220","7am",7.151467,90.7345985,2.1139342
"221","7am",10.300008,89.6999918,0
"222","7am",93.447671,6.5523288,0
"223","7am",6.212163,93.2163451,0.5714923
"224","7am",98.581982,1.4180181,0
"101","8am",15.26436,16.647795,68.0878454
"102","8am",12.94148,20.109108,66.949412
"103","8am",12.664585,8.846105,78.4893104
"104","8am",17.92441,19.687977,62.3876131
"105","8am",31.539409,16.654599,51.8059919
"106","8am",19.058326,14.331473,66.6102013
"107","8am",8.708263,7.36342,83.928317
"108","8am",11.500429,4.312134,84.1874375
"109","8am",10.465797,81.004977,8.5292254
"110","8am",4.984381,92.328598,2.6870211
"111","8am",7.466249,89.824258,2.709493
"112","8am",16.675124,55.508913,27.8159637
"113","8am",15.410545,80.260246,4.329209
"114","8am",17.992546,73.970336,8.037118
"115","8am",91.782523,5.126774,3.0907027
"116","8am",16.742718,78.85128,4.4060015
"117","8am",25.305038,68.308569,6.386393
"118","8am",3.60747,95.022954,1.3695754
"119","8am",95.663665,4.336335,0
"120","8am",97.396465,2.603535,0
"121","8am",88.979454,11.020546,0
"122","8am",95.472533,2.039969,2.4874983
"123","8am",98.890394,1.109606,0
"124","8am",94.403536,5.596464,0
"125","8am",90.151734,8.954111,0.8941545
"126","8am",100,0,0
"127","8am",88.403449,8.780003,2.8165483
"128","8am",87.300142,5.965501,6.7343566
"129","8am",85.78099,3.456209,10.7628008
"130","8am",96.617705,3.382295,0
"131","8am",97.445356,2.554644,0
"132","8am",91.832427,6.584956,1.5826166
"201","8am",94.417153,0,5.5828466
"202","8am",96.098901,2.155722,1.745377
"203","8am",91.702916,5.380204,2.9168797
"204","8am",98.904069,1.095931,0
"205","8am",96.739881,3.260119,0
"206","8am",100,0,0
"207","8am",99.050975,0,0.9490255
"208","8am",100,0,0
"209","8am",98.573291,1.426709,0
"210","8am",16.524527,80.022149,3.4533237
"211","8am",97.642347,2.357653,0
"212","8am",90.03592,9.96408,0
"213","8am",94.69342,5.30658,0
"214","8am",98.246374,1.753626,0
"215","8am",95.153274,1.792045,3.0546807
"216","8am",89.887935,6.445815,3.6662505
"217","8am",11.43213,88.56787,0
"218","8am",11.160273,88.839727,0
"219","8am",3.795727,96.204273,0
"220","8am",10.256234,86.142542,3.6012239
"221","8am",13.384491,86.615509,0
"222","8am",85.647844,14.352156,0
"223","8am",8.561914,90.879014,0.5590717
"224","8am",98.459233,1.540767,0
"101","9am",16.031081,19.068212,64.9007069
"102","9am",16.446747,19.618657,63.9345959
"103","9am",14.563909,13.00952,72.4265711
"104","9am",19.364205,23.041954,57.5938404
