"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100"
"4am";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"5am";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"6am";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.5752299";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000"
"7am";"0.3352764";"0.0000000";"0.9361340";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.6215772";"0.0000000";"0.0000000";"1.3886205";"0.5579008";"0.0000000";"0.0000000";"0.3952921";"0.0000000";"0.0000000";"0.0000000"
"8am";"1.186923";"0.000000";"4.580308";"1.093912";"1.201402";"0.000000";"0.000000";"0.000000";"3.253318";"1.941516";"0.000000";"4.359875";"0.000000";"2.714153";"0.000000";"2.005875";"5.858969";"0.000000"
"9am";"3.3941556";"3.5499392";"6.2488603";"1.7057863";"1.1028757";"1.4114484";"0.7208844";"0.6442903";"0.2876926";"1.4482253";"1.9305941";"4.3365883";"1.9214558";"5.7692565";"0.0000000";"0.5043929";"8.9181904";"0.0000000"
"10am";" 4.5210500";" 2.2763126";"11.5647759";" 4.0972473";" 0.0000000";" 3.3277115";" 0.7622708";" 4.4665242";" 2.9053582";" 2.4919649";" 3.5589779";" 9.0393257";" 1.9357041";" 6.1004174";" 0.0000000";" 1.0728206";"12.3898201";" 0.9085321"
"11am";"3.4099306";"0.6381257";"3.6856006";"0.4873092";"0.3477823";"0.3772374";"0.0000000";"1.1864580";"0.0000000";"1.4671109";"1.9526908";"1.4705027";"0.0000000";"4.4955116";"1.2319857";"1.0307735";"4.0357300";"0.0000000"
"12am";"2.6107618";"1.4169740";"2.6396997";"1.4448735";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"1.5716628";"0.3569425";"0.0000000";"4.0980747";"0.9251370";"0.5230067";"3.4246787";"0.5636481"
"1pm";"1.6369274";"1.0278261";"2.0225863";"0.4814634";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.6074392";"1.7647873";"0.5654399";"1.9450597";"0.0000000";"2.3476071";"0.0000000";"0.0000000";"0.4746308";"0.0000000"
"2pm";" 5.7167360";" 1.8076797";" 2.7552178";" 0.5070740";" 0.8379460";" 0.0000000";" 1.3599075";" 0.0000000";" 3.2214481";" 0.4415967";" 2.9114113";" 5.0456568";" 0.8227631";" 3.3277844";" 0.0000000";" 0.0000000";"10.8947477";" 0.0000000"
"3pm";" 6.1289759";" 1.5677991";" 7.7537361";" 0.8675915";" 0.8065574";" 0.0000000";" 1.9399726";" 1.1498101";" 0.5879690";" 2.4335120";" 0.8301523";" 6.3129599";" 0.0000000";" 5.3255474";" 1.3885893";" 0.7451986";"18.3779722";" 0.0000000"
"4pm";" 2.6218736";" 3.4854428";" 4.1426422";" 1.7349905";" 0.5927765";" 3.1098707";" 0.6055479";" 0.6887060";" 1.1469009";" 0.0000000";" 0.0000000";" 7.7873539";" 0.0000000";" 5.4040515";" 1.7229735";" 0.0000000";"11.8581418";" 0.0000000"
"5pm";" 5.1012428";" 5.6609085";" 9.3808886";" 3.2233200";" 0.0000000";" 1.9928847";" 0.7297545";" 0.0000000";" 1.3613883";" 0.9746654";" 0.3295344";" 4.2048700";" 0.0000000";" 6.0047625";" 0.0000000";" 0.0000000";"10.7565679";" 0.0000000"
"6pm";"3.2610622";"1.1448159";"6.0200501";"2.1292064";"0.0000000";"0.9347008";"0.0000000";"1.2691840";"1.5802272";"0.0000000";"0.0000000";"7.7439055";"0.5399294";"7.3935082";"0.0000000";"0.0000000";"6.4298072";"0.0000000"
"7pm";"1.7359004";"0.0000000";"1.0228134";"1.0534019";"0.0000000";"1.8579308";"0.0000000";"0.0000000";"0.7494435";"0.0000000";"0.0000000";"1.0897387";"0.0000000";"0.7518543";"0.0000000";"0.0000000";"2.1608102";"0.0000000"
"8pm";"0.6400056";"0.0000000";"0.0000000";"1.0728971";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.7415923";"0.0000000";"0.0000000";"0.4860174";"0.0000000";"0.8996689";"0.0000000";"0.0000000";"1.3952263";"0.0000000"
