"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052";"053";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066"
"12am";" 9.9839985";"25.9601859";" 8.2523952";" 8.2499046";" 7.0685254";" 3.0730522";"15.7525282";" 1.9137758";"15.6591782";" 0.0000000";" 1.5356176";" 0.0000000";" 7.5310552";" 6.5537693";" 0.0000000";"20.6356709";" 8.1872300";" 1.4975093";" 5.1509268";"11.9261172";"13.2948095";" 0.6533885";" 6.1803847";"36.8056688";" 0.3616513";" 0.9910473";" 2.6193584";"28.1439079";" 4.2011205";" 6.5118667";" 0.1525501";" 5.6514931";"13.9417053";" 0.8430139";"14.7823775";" 1.0755810";"15.6917908";" 3.5374275";" 0.0000000";" 1.5929843";" 0.9007672";" 0.8751293";" 0.0000000";" 0.4497428";" 5.1424759";" 5.7845307";"18.1914742";" 0.0000000";" 1.1603923";" 0.2830430";" 0.6272723";" 0.0000000";" 3.1931219";" 4.6183220";" 1.6502742";" 0.3161204";" 0.0000000";" 1.6449789";" 0.6640760";" 0.0000000";" 0.0000000";" 3.9182437";" 0.0000000";" 1.0717831";" 0.0000000";" 0.0000000"
"1pm";"14.3286622";"32.4725607";" 9.9508368";" 9.7772385";" 9.5551362";" 3.1324369";"16.6900491";" 2.0609071";"18.8278966";" 0.4486309";" 3.5197048";" 1.4650884";" 7.6198929";" 7.3605850";" 0.0000000";"26.5689495";" 7.4374743";" 1.5748666";" 6.2634048";"12.5744558";"11.9929728";" 0.6861437";" 4.9728206";"52.6503400";" 0.3663108";" 1.1082985";" 1.9004755";"29.5102286";" 4.5889012";" 6.9343278";" 2.3158799";" 5.4491180";"13.8721978";" 1.5248144";"10.0373920";" 3.6011874";"12.6113228";" 3.7290931";" 0.0000000";" 1.7954574";" 0.0000000";" 0.3967516";" 0.0000000";" 0.3975587";" 5.5382206";" 8.7556162";"25.9965610";" 0.0000000";" 1.2308547";" 0.2732414";" 0.6170164";" 0.3396245";" 2.9234932";" 5.7295116";" 2.9014214";" 0.3149012";" 0.0000000";" 1.5916835";" 0.6518725";" 0.0000000";" 0.0000000";" 4.0182505";" 0.0000000";" 1.1169614";" 0.0000000";" 0.0000000"
"2pm";"14.3724942";"31.1543476";" 9.7998907";" 9.8045560";"10.9440240";" 2.9593261";"16.0465635";" 2.4262933";"20.1159677";" 0.4691980";" 3.0224180";" 1.5024388";" 8.7553623";" 6.8518550";" 0.0000000";"25.5176131";" 7.8950707";" 1.4930854";" 6.5207659";"11.1023320";" 9.8314212";" 0.8287535";" 5.5971464";"55.4396555";" 0.3683034";" 1.1214839";" 1.6233980";"29.8143940";" 4.3402579";" 6.5896726";" 2.4712556";" 5.5261690";"13.4647952";" 1.6713286";"10.4147644";" 3.7373233";"11.5187474";" 3.5328428";" 0.0000000";" 1.8658811";" 0.8731678";" 0.4202026";" 0.0000000";" 0.3872849";" 4.8323337";" 8.2499227";"25.8239182";" 0.0000000";" 0.5179427";" 1.4259980";" 0.6266046";" 0.3593515";" 2.7950613";" 6.1940095";" 3.3239334";" 0.3288971";" 0.0000000";" 2.7080908";" 0.6229085";" 0.0000000";" 0.0000000";" 2.0502618";" 0.0000000";" 1.1411427";" 0.0000000";" 0.0000000"
"3pm";"13.9682159";"30.7541808";" 9.8688315";" 9.1586208";" 7.8856558";" 3.4052926";"15.4169286";" 1.9477234";"17.2264810";" 0.4637476";" 3.0578828";" 0.0000000";" 8.3466567";" 6.9186034";" 0.0000000";"26.1674163";" 7.4166489";" 1.6430012";" 6.4770840";" 7.9487865";" 9.3204472";" 0.7410110";" 5.2866199";"55.0865718";" 0.6884956";" 1.0302255";" 2.5003871";"27.4317812";" 4.1119931";" 5.6579636";" 2.4814048";" 4.8195265";"11.6669351";" 1.5868682";"10.0046388";" 3.3865548";"12.1129919";" 2.3772876";" 0.0000000";" 1.8379329";" 0.9112977";" 1.2644421";" 0.0000000";" 0.4232479";" 5.0776198";" 8.0629494";"25.4071135";" 0.0000000";" 0.5099534";" 1.4168670";" 0.6475880";" 0.0000000";" 2.7221660";" 6.2075155";" 3.6202528";" 0.2981682";" 0.0000000";" 2.4492939";" 0.6254980";" 0.0000000";" 0.0000000";" 2.0397089";" 0.0000000";" 1.2079558";" 0.0000000";" 0.0000000"
"4pm";"12.2314705";"27.4735563";" 7.8441319";" 7.4843751";" 3.9342548";" 2.6799850";"12.2556550";" 1.9195232";"12.0667033";" 0.4898970";" 1.7983031";" 0.0000000";" 7.1675217";" 5.4899424";" 0.0000000";"22.2736655";" 7.0376966";" 0.6810659";" 0.8450766";" 7.1448694";" 4.5718530";" 0.7625485";" 4.0966653";"49.5724693";" 0.8192122";" 0.9624458";" 2.1766873";"21.0957231";" 2.9358804";" 5.0229391";" 2.4256353";" 3.7992718";"11.5438444";" 1.6245357";"11.6628449";" 3.1071140";" 9.9296605";" 2.6228988";" 0.0000000";" 1.6153401";" 0.8580894";" 1.2857413";" 0.0000000";" 0.4270494";" 3.4384363";" 7.0771200";"18.3784383";" 0.0000000";" 0.5441479";" 1.3455710";" 0.0000000";" 0.0000000";" 2.9921858";" 4.9049592";" 2.8970607";" 0.3103272";" 0.0000000";" 2.2252473";" 0.5904502";" 0.0000000";" 0.0000000";" 1.5933499";" 0.0000000";" 1.0783488";" 0.0000000";" 0.0000000"
"5pm";" 4.3634028";"19.5310913";" 4.0077526";" 3.2323432";" 2.2631013";" 0.0000000";" 4.0941440";" 0.6212127";" 3.0364987";" 0.0000000";" 0.4255628";" 0.0000000";" 3.1758642";" 2.1337755";" 0.0000000";" 7.9028825";" 1.4362487";" 0.0000000";" 0.0000000";" 1.0569992";" 1.0646086";" 0.0000000";" 3.1828489";"33.1333962";" 0.4916759";" 0.0000000";" 0.5738778";"16.9816537";" 1.0791018";" 1.8819108";" 2.0067476";" 0.8387637";" 6.6132733";" 0.0000000";" 6.8564855";" 0.0000000";" 6.6443285";" 1.8568931";" 0.0000000";" 0.0000000";" 0.7995529";" 1.1487336";" 0.0000000";" 0.0000000";" 0.0000000";" 5.1735540";" 3.0792142";" 0.0000000";" 0.0000000";" 0.9675484";" 0.0000000";" 0.0000000";" 2.5353337";" 0.2624547";" 0.0000000";" 0.2864959";" 0.0000000";" 0.8118696";" 0.4948912";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000";" 0.0000000"
"6pm";" 2.06565986";" 8.58357890";" 1.36393138";" 2.66897052";" 1.05213756";" 0.00000000";" 0.71219751";" 0.55229357";" 1.29074398";" 0.00000000";" 0.07856581";" 0.45299184";" 0.81187067";" 0.00000000";" 0.00000000";" 1.09782117";" 0.34762246";" 0.00000000";" 0.00000000";" 1.10323057";" 0.00000000";" 0.00000000";" 0.47351887";"11.62020329";" 0.00000000";" 0.00000000";" 0.57778138";" 5.99715807";" 0.00000000";" 0.00000000";" 0.13202606";" 0.42008603";" 0.80592106";" 0.00000000";" 0.00000000";" 0.00000000";" 0.00000000";" 0.00000000";" 0.00000000";" 0.00000000";" 0.18717173";" 0.00000000";" 0.00000000";" 0.00000000";" 0.00000000";" 1.98024008";" 0.58697973";" 0.00000000";" 0.00000000";" 0.85094127";" 0.00000000";" 0.00000000";" 0.00000000";" 0.00000000";" 0.00000000";" 0.29333313";" 0.00000000";" 0.00000000";" 0.00000000";" 0.00000000";" 0.00000000";" 0.00000000";" 0.00000000";" 0.00000000";" 0.00000000";" 0.00000000"
"7pm";"0.00000000";"5.20009452";"0.92909416";"0.53025742";"1.01062313";"0.00000000";"0.68949032";"0.00000000";"0.00000000";"0.00000000";"0.07392699";"0.00000000";"0.36757012";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.97893246";"0.00000000";"0.00000000";"0.14621233";"4.01412470";"0.00000000";"0.00000000";"0.56454901";"0.73444445";"0.71210301";"0.00000000";"0.13363566";"0.43524565";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.19173045";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.22092417";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000"
"8pm";"0.00000000";"1.07658918";"0.46921068";"0.53321157";"0.00000000";"0.00000000";"0.63162193";"0.00000000";"0.00000000";"0.00000000";"0.06868421";"0.00000000";"0.39178654";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.39509731";"0.00000000";"0.00000000";"0.07577854";"2.79582511";"0.00000000";"0.00000000";"0.52584217";"0.00000000";"0.36814298";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.11285893";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000";"0.00000000"
"9pm";"0.0000000";"0.7635165";"0.2853846";"0.5378948";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.3929141";"0.0000000";"0.0000000";"0.0000000";"2.3210690";"0.0000000";"0.0000000";"0.5284566";"0.0000000";"0.3663849";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.1934225";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000"
"10pm";"0.0000000";"0.3959822";"0.0000000";"0.5498926";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.3897371";"0.0000000";"0.0000000";"0.0000000";"0.3347116";"0.0000000";"0.0000000";"0.5413975";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.1933169";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000"
"11pm";"0.0000000";"0.0000000";"0.0000000";"0.5975568";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.3810042";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.5496915";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000"
"12pm";"0.0000000";"0.0000000";"0.0000000";"0.6023388";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.3780286";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.5626142";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000"
"1am";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.3743082";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.5759003";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000"
"2am";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.3657720";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.5759003";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000"
"3am";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.3657720";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.5759003";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000"
