"hour","educmen1","educmen2","educmen3","educmen4"
"4am",0.2344,0.1838,0.1158,0.2703
"5am",0.2271,0.1804,0.1173,0.2679
"6am",0.2253,0.1829,0.122,0.2719
"7am",0.2311,0.1835,0.1157,0.2436
"8am",0.2523,0.1797,0.1348,0.234
"9am",0.2532,0.1714,0.1217,0.2224
"10am",0.2564,0.1701,0.1344,0.2201
"11am",0.248,0.1738,0.1379,0.2089
"12am",0.2452,0.1807,0.1345,0.2199
"1pm",0.2437,0.1729,0.1457,0.2162
"2pm",0.2477,0.1711,0.1421,0.2183
"3pm",0.2388,0.1671,0.1289,0.2208
"4pm",0.2378,0.1619,0.1356,0.2279
"5pm",0.2408,0.1856,0.1266,0.2325
"6pm",0.2491,0.1772,0.1253,0.2451
"7pm",0.2351,0.1856,0.1164,0.26
"8pm",0.2411,0.1777,0.1155,0.2532
"9pm",0.2354,0.1733,0.1154,0.2486
"10pm",0.2381,0.1797,0.1142,0.2587
"11pm",0.239,0.1825,0.1137,0.2628
"12pm",0.2388,0.1833,0.1151,0.2603
"1am",0.2395,0.1821,0.1144,0.2639
"2am",0.238,0.1819,0.1149,0.2639
"3am",0.2387,0.1827,0.115,0.2627
