"hour","age1","age2","age3","age4"
"4am",0.2195,0.1408,0.1452,0.1283
"5am",0.2278,0.1364,0.1404,0.1308
"6am",0.2305,0.1411,0.1297,0.1369
"7am",0.2965,0.1668,0.1217,0.1618
"8am",0.2911,0.1688,0.1247,0.1902
"9am",0.3139,0.1747,0.1286,0.1983
"10am",0.3154,0.1706,0.136,0.1887
"11am",0.3153,0.1653,0.133,0.2056
"12am",0.2898,0.1847,0.1297,0.1853
"1pm",0.2812,0.1836,0.1107,0.187
"2pm",0.2743,0.1788,0.1148,0.1751
"3pm",0.2905,0.1633,0.1241,0.1706
"4pm",0.2838,0.1696,0.1231,0.1658
"5pm",0.2423,0.1769,0.1128,0.1495
"6pm",0.2172,0.1427,0.131,0.1319
"7pm",0.2253,0.1401,0.1395,0.1275
"8pm",0.2154,0.1352,0.1404,0.13
"9pm",0.2171,0.1369,0.1445,0.1318
"10pm",0.2206,0.1385,0.1428,0.1267
"11pm",0.2214,0.1398,0.1452,0.1258
"12pm",0.2216,0.1405,0.1458,0.1256
"1am",0.2161,0.1409,0.1459,0.1259
"2am",0.2172,0.1407,0.1467,0.126
"3am",0.2145,0.1412,0.1463,0.1265
