"hour","cs1","cs2","cs3","cs4","cs5"
"4am",-0.0939719906734276,0.275045742436738,0.598863933956166,0.465410271449615,0.394712542551765
"5am",-0.10078352777926,0.27867089424146,0.601446219391572,0.454417913508308,0.37880671221986
"6am",-0.110530680413275,0.309603007168974,0.578647745999253,0.446434389193421,0.385499886958364
"7am",-0.130188348009355,0.266202319151554,0.561526619943938,0.404626762474609,0.416636022798638
"8am",-0.140481465670195,0.255583105880436,0.535381222409102,0.457871698443454,0.404231546924491
"9am",-0.11711743757502,0.242482449331284,0.547397047251529,0.403431478813459,0.387404446505222
"10am",-0.102611898663149,0.215208357361617,0.540601715810638,0.377514283414756,0.399926429098724
"11am",-0.0811676034480895,0.26714877379003,0.531392772389277,0.420098894372812,0.420857074727786
"12am",-0.12613616486264,0.282092494235397,0.553056169937017,0.458047499247213,0.455562448640733
"1pm",-0.110692082742539,0.27538476036193,0.575946342792097,0.4076709643566,0.45219101097395
"2pm",-0.0851159366892695,0.277866050024489,0.553464507656643,0.39676076025165,0.424119396779481
"3pm",-0.104929746319307,0.387802906295129,0.569417929214806,0.483081647912873,0.444182035611142
"4pm",-0.0948339072865922,0.390708862235448,0.578036671652534,0.376222199681369,0.467491616933307
"5pm",-0.121523276415819,0.354566565066926,0.584385875303973,0.431215296278124,0.455093563118795
"6pm",-0.0625141539301498,0.314145954570464,0.577799725743313,0.486332901435101,0.387712177659261
"7pm",-0.060403756583761,0.300602300660635,0.58167178120775,0.450471582660176,0.383707882325197
"8pm",-0.0509430645164783,0.286324395291992,0.609717369196927,0.456337941837652,0.388924455151448
"9pm",-0.0665198412149876,0.261180402340258,0.613534972558087,0.459266875162704,0.39555768313055
"10pm",-0.0519953214773677,0.265802448033739,0.602784326695576,0.453956616189185,0.386741798002316
"11pm",-0.0648337302250128,0.265106480275807,0.602444465886768,0.475595801170814,0.38756932443456
"12pm",-0.0681902596739727,0.270272675527628,0.602455282479451,0.483777460558998,0.391156558830966
"1am",-0.0699449848803434,0.273945507344905,0.602605929641863,0.488717449340806,0.393476499774543
"2am",-0.0704025491090005,0.278736498226807,0.603124277911107,0.486473926263941,0.397897591124034
"3am",-0.0701668342846946,0.277873884506298,0.603349720146267,0.488329702336767,0.399169378514108
