"hour","act1","act2","act3","act4","act5"
"4am",0.4198,0.4646,0.9479,0.6698,0
"5am",0.3753,0.3868,0.9209,0.9397,0.6529
"6am",0.3129,0.3174,0.8357,0.8707,0.5791
"7am",0.3126,0.2788,0.5206,0.6802,0.3989
"8am",0.2884,0.2479,0.5247,0.3788,0.2764
"9am",0.282,0.232,0.5386,0.329,0.1922
"10am",0.2871,0.2297,0.5355,0.3194,0.2029
"11am",0.3051,0.2501,0.5309,0.3873,0.2394
"12am",0.3219,0.2603,0.5039,0.5449,0.288
"1pm",0.3001,0.2481,0.5175,0.5571,0.1945
"2pm",0.283,0.2325,0.5371,0.4727,0.1959
"3pm",0.2672,0.2272,0.5494,0.4318,0.1851
"4pm",0.2629,0.2408,0.5802,0.4007,0.1757
"5pm",0.2616,0.2785,0.6771,0.3731,0.1707
"6pm",0.2798,0.2965,0.7601,0.4543,0.236
"7pm",0.2508,0.3335,0.9049,0.6876,0.2648
"8pm",0.2702,0.3903,0.9609,0.9296,0.2821
"9pm",0.3393,0.4395,0.9603,0.9724,0.3488
"10pm",0.3858,0.4789,0.9594,0.981,0.4131
"11pm",0.412,0.4928,0.9582,0.9843,0.4606
"12pm",0.3893,0.5041,0.9573,0.451,0
"1am",0.3704,0.5144,0.9571,0.4492,0
"2am",0.3631,0.5259,0.9572,0.4699,0
"3am",0.3753,0.5402,0.9568,0.4975,0
