"hour","mode1","mode2","mode3"
"4am",0.2873,0.2691,0.2596
"5am",0.2866,0.2643,0.2574
"6am",0.3342,0.2686,0.2493
"7am",0.4263,0.2809,0.2308
"8am",0.4383,0.2695,0.2106
"9am",0.4408,0.2651,0.1916
"10am",0.4375,0.2589,0.1775
"11am",0.4281,0.2616,0.1832
"12am",0.3873,0.2846,0.2154
"1pm",0.379,0.2885,0.2185
"2pm",0.3696,0.2946,0.2247
"3pm",0.3722,0.2934,0.2245
"4pm",0.3519,0.2828,0.2261
"5pm",0.3143,0.262,0.2323
"6pm",0.2841,0.2593,0.2405
"7pm",0.2774,0.2693,0.2558
"8pm",0.2893,0.2737,0.2577
"9pm",0.2876,0.2741,0.2607
"10pm",0.2889,0.2756,0.2604
"11pm",0.2856,0.276,0.2627
"12pm",0.2815,0.2761,0.2651
"1am",0.2802,0.2731,0.2617
"2am",0.2801,0.2736,0.2624
"3am",0.281,0.2723,0.2615
