"hour","cleduc1","cleduc2","cleduc3","cleduc4"
"4am",0.2892,0.1471,0.0971,0.23
"5am",0.2884,0.1451,0.096,0.2317
"6am",0.2897,0.1484,0.0973,0.241
"7am",0.2959,0.1445,0.0991,0.2347
"8am",0.306,0.1546,0.1091,0.2262
"9am",0.3072,0.1474,0.1074,0.2276
"10am",0.3106,0.1596,0.1037,0.2291
"11am",0.3045,0.1636,0.1149,0.2267
"12am",0.3103,0.1554,0.1069,0.234
"1pm",0.3155,0.1517,0.1156,0.2282
"2pm",0.3007,0.1575,0.113,0.2204
"3pm",0.2979,0.1472,0.0975,0.2236
"4pm",0.2996,0.1463,0.1149,0.2252
"5pm",0.3013,0.1578,0.0994,0.2248
"6pm",0.3015,0.154,0.1002,0.2098
"7pm",0.2922,0.1544,0.1039,0.2181
"8pm",0.2938,0.1505,0.0951,0.2172
"9pm",0.2924,0.1445,0.101,0.2123
"10pm",0.2926,0.15,0.0994,0.2195
"11pm",0.2919,0.153,0.0975,0.2228
"12pm",0.2917,0.1503,0.0997,0.224
"1am",0.2919,0.1501,0.1001,0.2258
"2am",0.2922,0.1502,0.101,0.2257
"3am",0.2927,0.1504,0.1006,0.2258
