"hour","resarea1","resarea2","resarea3"
"4am",0.611243772509191,0.356614235103039,0.658854340885699
"5am",0.607755133990674,0.357315608634232,0.659507449500848
"6am",0.609548679492196,0.363667347220181,0.658964723526974
"7am",0.615083153095209,0.376996582507268,0.645329876196329
"8am",0.62738010786555,0.401783020233919,0.645542263868979
"9am",0.640431026190804,0.427251835955232,0.67154674829531
"10am",0.642534230944729,0.428691578089712,0.656351526134535
"11am",0.636151055233218,0.416481614528741,0.647571559912172
"12am",0.612223203617145,0.392382786250654,0.648168423480312
"1pm",0.622939062023039,0.403314872298502,0.670743555021535
"2pm",0.625623055262632,0.414916236054596,0.700954305840317
"3pm",0.633333684838899,0.419201272358579,0.699990862012675
"4pm",0.628755693095787,0.408358407831906,0.691786640265894
"5pm",0.616152843940661,0.378701763421788,0.674152848637167
"6pm",0.612161101060076,0.368739859087959,0.665521147631985
"7pm",0.607756654408173,0.364238832436006,0.67392537234257
"8pm",0.608498362650908,0.359341983860246,0.673307346928563
"9pm",0.610582896594205,0.357417802223377,0.665805898151264
"10pm",0.613228761351221,0.3569302958534,0.666137737934057
"11pm",0.613186455503959,0.356978101780499,0.665527921125385
"12pm",0.613155650680103,0.356876183556302,0.662596460667518
"1am",0.613266606649146,0.355694581277218,0.661733045748234
"2am",0.613475496083303,0.355535092478798,0.661037460753654
"3am",0.613896462572771,0.356295955385621,0.661977363683292
