"hour","resarea1","resarea2","resarea3"
"4am",0.9789,0.9852,0.9852
"5am",0.9676,0.9747,0.9763
"6am",0.9464,0.9534,0.9605
"7am",0.8369,0.8376,0.8639
"8am",0.7414,0.7303,0.7671
"9am",0.709,0.6867,0.7248
"10am",0.7059,0.6753,0.7174
"11am",0.7161,0.6959,0.734
"12am",0.7448,0.7509,0.7597
"1pm",0.7214,0.6994,0.7284
"2pm",0.7133,0.6717,0.7103
"3pm",0.7184,0.678,0.7111
"4pm",0.7671,0.733,0.7465
"5pm",0.8575,0.8286,0.8399
"6pm",0.9225,0.8918,0.8906
"7pm",0.9543,0.9331,0.9294
"8pm",0.9622,0.9388,0.9283
"9pm",0.9739,0.9577,0.9517
"10pm",0.9812,0.9702,0.9619
"11pm",0.9866,0.9795,0.9714
"12pm",0.9875,0.9867,0.9792
"1am",0.9872,0.9895,0.9848
"2am",0.9875,0.9894,0.986
"3am",0.9884,0.9903,0.9866
