"hour","sex1","sex2"
"4am",0.0634,0.0634
"5am",0.0657,0.0657
"6am",0.0729,0.0729
"7am",0.0877,0.0877
"8am",0.1009,0.1009
"9am",0.101,0.101
"10am",0.0969,0.0969
"11am",0.0936,0.0936
"12am",0.0804,0.0804
"1pm",0.0877,0.0877
"2pm",0.0899,0.0899
"3pm",0.086,0.086
"4pm",0.0792,0.0792
"5pm",0.0783,0.0783
"6pm",0.0727,0.0727
"7pm",0.0648,0.0648
"8pm",0.0638,0.0638
"9pm",0.0645,0.0645
"10pm",0.0657,0.0657
"11pm",0.0653,0.0653
"12pm",0.0637,0.0637
"1am",0.0647,0.0647
"2am",0.064,0.064
"3am",0.0656,0.0656
