"hour","sex1","sex2"
"4am",0.210910940565057,0.210910940565058
"5am",0.147086895116037,0.147086895116037
"6am",0.166096009185245,0.166096009185245
"7am",0.159960070680923,0.159960070680923
"8am",0.160143556323647,0.160143556323647
"9am",0.138786876430715,0.138786876430715
"10am",0.150783954973189,0.150783954973189
"11am",0.133149030699975,0.133149030699975
"12am",0.149989039271195,0.149989039271195
"1pm",0.096121592109169,0.0961215921091688
"2pm",0.175774218452099,0.175774218452099
"3pm",0.143743611178516,0.143743611178516
"4pm",0.138649665396845,0.138649665396845
"5pm",0.183710898684585,0.183710898684585
"6pm",0.172659043923239,0.172659043923239
"7pm",0.197764583522521,0.197764583522521
"8pm",0.199780341681002,0.199780341681003
"9pm",0.189654108835756,0.189654108835756
"10pm",0.160737788133633,0.160737788133633
"11pm",0.166087884739866,0.166087884739866
"12pm",0.180810973165591,0.180810973165591
"1am",0.179859900976013,0.179859900976013
"2am",0.174376560547252,0.174376560547252
"3am",0.174449421133646,0.174449421133646
