"hour","cs1","cs2","cs3","cs4","cs5"
"4am",0.2103,0.2157,0.2149,0.1692,0.204
"5am",0.2089,0.2141,0.2132,0.1685,0.2039
"6am",0.2093,0.2034,0.2137,0.1642,0.2079
"7am",0.206,0.2046,0.1894,0.1475,0.2023
"8am",0.2217,0.2055,0.1817,0.1347,0.2016
"9am",0.2122,0.2133,0.1724,0.1419,0.1954
"10am",0.2166,0.2116,0.1702,0.1441,0.188
"11am",0.2148,0.2082,0.1664,0.1308,0.1959
"12am",0.2172,0.219,0.1796,0.1406,0.2042
"1pm",0.2111,0.2093,0.1776,0.1419,0.2009
"2pm",0.2196,0.2186,0.1811,0.149,0.2044
"3pm",0.2329,0.2228,0.1788,0.143,0.2152
"4pm",0.2184,0.2188,0.1785,0.1395,0.2037
"5pm",0.2234,0.2241,0.1973,0.163,0.1952
"6pm",0.2352,0.2122,0.2072,0.1695,0.1866
"7pm",0.2313,0.2153,0.2167,0.1738,0.1966
"8pm",0.2302,0.2101,0.2164,0.1784,0.2012
"9pm",0.2223,0.2077,0.2159,0.1755,0.1938
"10pm",0.2159,0.212,0.2176,0.1755,0.1953
"11pm",0.2174,0.2154,0.2183,0.1727,0.1945
"12pm",0.2186,0.2111,0.2172,0.1731,0.1954
"1am",0.2186,0.2159,0.2178,0.1711,0.1959
"2am",0.2184,0.216,0.2183,0.1706,0.1965
"3am",0.2181,0.2173,0.2191,0.1717,0.1973
