"hour","occ1","occ2","occ3","occ4","occ5"
"4am",0.1162,0.2756,0.2585,0.1229,0.211
"5am",0.1131,0.2837,0.257,0.1267,0.2117
"6am",0.1086,0.2804,0.2462,0.1335,0.2212
"7am",0.1232,0.38,0.2586,0.1701,0.2485
"8am",0.1537,0.3887,0.2455,0.2145,0.2543
"9am",0.1575,0.4171,0.2501,0.2166,0.2642
"10am",0.166,0.42,0.2176,0.2107,0.253
"11am",0.1767,0.415,0.2323,0.2285,0.2558
"12am",0.1469,0.3892,0.2254,0.2037,0.2685
"1pm",0.1529,0.3791,0.2353,0.2085,0.2786
"2pm",0.1614,0.3834,0.2211,0.1982,0.244
"3pm",0.1397,0.3644,0.2184,0.1902,0.2295
"4pm",0.1445,0.3485,0.2136,0.179,0.242
"5pm",0.1171,0.2915,0.2261,0.1478,0.2445
"6pm",0.1077,0.2823,0.2285,0.1318,0.2364
"7pm",0.103,0.2763,0.2323,0.1218,0.2246
"8pm",0.1099,0.2734,0.2275,0.1261,0.2313
"9pm",0.1175,0.2787,0.2292,0.127,0.2289
"10pm",0.1151,0.2778,0.2357,0.1251,0.2309
"11pm",0.1138,0.2722,0.2478,0.1225,0.2268
"12pm",0.1134,0.2715,0.2448,0.1218,0.2228
"1am",0.1143,0.2704,0.2446,0.1198,0.2221
"2am",0.1146,0.2703,0.2448,0.1206,0.222
"3am",0.1142,0.2657,0.2451,0.1204,0.2219
