"hour","cspmen1","cspmen2","cspmen3","cspmen4","cspmen5"
"4am",0.2677,0.2768,0.2206,0.1904,0.2316
"5am",0.2642,0.2776,0.2204,0.1904,0.2302
"6am",0.2626,0.2607,0.2163,0.1862,0.2233
"7am",0.263,0.256,0.1936,0.1744,0.2409
"8am",0.2625,0.2436,0.1758,0.1479,0.2224
"9am",0.2422,0.2323,0.1702,0.1438,0.2184
"10am",0.2321,0.2384,0.1739,0.152,0.2248
"11am",0.2518,0.2346,0.1734,0.1524,0.2149
"12am",0.2441,0.2445,0.1808,0.1551,0.2326
"1pm",0.2413,0.2268,0.1714,0.1551,0.2263
"2pm",0.2485,0.2264,0.1719,0.1605,0.2172
"3pm",0.259,0.244,0.1749,0.1566,0.2152
"4pm",0.2608,0.2458,0.1858,0.1675,0.2307
"5pm",0.2628,0.271,0.2011,0.1757,0.2399
"6pm",0.273,0.2732,0.2088,0.1819,0.2251
"7pm",0.2799,0.2821,0.2169,0.1903,0.2204
"8pm",0.2775,0.2792,0.2221,0.1911,0.2229
"9pm",0.2676,0.276,0.2209,0.1855,0.2198
"10pm",0.2736,0.2822,0.2221,0.1837,0.226
"11pm",0.2752,0.2863,0.2204,0.1861,0.2275
"12pm",0.2759,0.2838,0.2214,0.1847,0.2305
"1am",0.276,0.286,0.222,0.1842,0.2316
"2am",0.2757,0.286,0.2218,0.1846,0.2316
"3am",0.2754,0.2872,0.2223,0.1863,0.2302
