"hour","001","002","003","004","005","006","007","008","009","010","011","012","013","015","016","017","018","020","021","023","025","026","029","031","032","033","036","037","038","039","040","041"
"min",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"max",9638.88285,9638.88285,9638.88285,9638.88285,9638.88285,9638.88285,9638.88285,9638.88285,9638.88285,9638.88285,9638.88285,9638.88285,9638.88285,9638.88285,9638.88285,9638.88285,9638.88285,9638.88285,9638.88285,9638.88285,9638.88285,9638.88285,9638.88285,9638.88285,9638.88285,9638.88285,9638.88285,9638.88285,9638.88285,9638.88285,9638.88285,9638.88285
"4am",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5am",0,0,0,0,0,0,0,0,882.70245,0,0,966.92351,0,0,0,0,1435.42916,0,0,0,0,0,675.11793,0,0,0,0,0,0,0,0,0
"6am",0,0,0,0,841.50025,0,0,0,1089.05098,0,0,1142.18377,628.78394,0,0,0,1579.8568,0,0,0,0,0,819.03091,814.75109,0,0,0,0,0,0,0,0
"7am",2657.11119,3746.73551,1093.57798,2250.43038,2141.640133,946.95547,0,690.83677,1986.17484,1164.08031,1465.05631,2366.71382,1708.16622,0,0,887.77754,1914.65372,0,2385.350453,703.54352,0,0,1264.73324,1896.4525,716.99845,0,641.98173,1298.97488,674.118703,0,0,608.27821
"8am",6050.07965,5015.01478,1693.17737,2820.35417,3174.041653,1679.858193,1027.08467,896.32327,2954.12023,2321.80778,2852.56207,2806.67896,3499.70179,678.62975,637.02839,1486.34431,2344.305,0,3376.670886,1353.80286,0,0,1630.78572,2560.9542,1425.41902,445.49967,816.05615,2239.56186,1133.692263,591.06801,824.74362,995.2833
"9am",7580.921,5775.50738,2049.9749,3092.2317,3424.255633,2180.46968,882.96279,1005.34437,3046.14871,2631.6891,3413.37497,2954.65137,4686.06375,677.51034,885.84971,1453.34081,2419.67585,0,4613.430882,1432.830297,0,0,1754.327,2778.2337,1679.77849,504.33017,1040.33056,2643.70238,1133.692263,918.74704,927.14,1005.95341
"10am",7924.93711,5929.36297,2126.24042,2931.9841,3272.887063,2358.62604,1012.8028,1185.19279,2984.01208,2652.82867,3798.0814,2835.03901,5401.69615,790.99619,807.7136,1542.03961,2467.0987,0,4554.467992,1503.829247,548.07394,0,1813.41452,2500.31549,1583.96922,439.82292,1125.85511,2453.25104,1221.952433,886.58679,1056.76,1115.25467
"11am",6944.85268,5860.36195,1678.78819,2784.19922,2943.499833,2229.21391,995.94353,1099.28384,3166.92121,2694.47555,3344.16785,2902.99298,4447.92365,725.03369,786.99777,1260.67188,2672.4685,0,3820.793396,1302.08947,523.72081,0,1828.27393,2574.79061,1267.86619,540.89094,882.04233,2344.08929,1122.962003,820.32988,901.1082,1089.27803
"12am",6283.61329,4007.35886,1296.81862,2332.82162,3152.568013,1680.45184,730.77199,1017.05791,3042.12404,1896.96737,3134.93337,2875.75604,3631.19929,572.71612,0,1157.55261,2224.66888,0,3212.066953,1258.60195,0,0,1747.858,1979.46934,1468.67772,0,901.89748,1497.55339,1168.176753,546.67045,684.70941,826.41415
"1pm",8025.55057,5093.47468,1666.32925,2913.55987,3190.645713,2126.77623,1083.05174,996.65046,3306.18331,2417.22469,3014.55773,3273.05381,4126.85812,820.80741,844.77063,1142.80911,1633.84002,0,4418.671252,1303.60147,608.26399,0,1425.46124,2759.87273,1925.18344,0,1099.379,1818.15126,1250.901043,560.3093,885.37431,946.34475
"2pm",9638.88285,5417.90831,2150.76373,3136.87064,3167.143173,2097.06761,751.76083,1116.82675,2836.9261,2520.33889,4097.82508,2947.699407,6057.72054,1178.88857,907.61466,1133.81367,1387.94607,0,4990.093643,1406.816107,751.74906,328.55933,1496.88997,2889.87495,1820.77042,0,799.24498,2397.70538,1195.122853,1029.3725,865.63295,1083.90852
"3pm",9604.0098,4802.66763,2324.41976,3042.74781,3218.993823,2100.56845,1015.79973,1156.65163,2844.14744,2747.70753,4040.25004,2557.29164,6483.68377,1115.31496,979.52233,1400.74429,1697.12482,696.68613,5026.525336,1499.931387,805.91005,448.91522,1313.02024,2454.88104,2466.08298,0,770.47537,2170.58643,916.777963,884.85765,680.86357,1014.67638
"4pm",7651.25064,3754.81297,1516.89928,2408.85659,2580.505183,1659.34023,582.48863,1392.6855,2712.84808,1997.0396,3043.70051,1539.86962,5177.74451,865.22406,846.63337,1383.52763,1195.37084,0,3364.330166,1210.13712,784.42214,0,940.19557,2088.86693,2084.10712,515.60869,714.37158,1543.13598,0,822.46102,0,869.95759
"5pm",4304.41762,1405.21782,1306.9532,962.22217,1520.79911,1212.628973,0,623.07162,1832.9992,750.06944,1833.7877,1203.33144,4251.10879,538.59582,0,1153.38579,1134.06029,749.13438,2189.182813,454.11116,0,383.49016,829.88888,1369.7127,1598.80161,458.62424,0,845.37507,0,0,0,0
"6pm",3080.11132,720.12947,1335.7524,609.25672,1373.34134,916.13136,0,591.09477,1652.85883,0,1206.89556,938.92245,2819.03725,664.75385,0,521.0167,793.41185,0,1268.570186,0,0,0,550.04347,1272.61619,999.75916,0,0,0,0,724.99879,0,0
"7pm",2031.89741,0,664.60135,516.9706,907.8412,677.35836,0,0,853.83608,0,920.52763,828.94759,1578.66932,661.17763,0,0,0,0,728.315756,0,0,0,0,544.5157,1047.5521,0,0,0,0,0,0,0
"8pm",1595.87066,0,665.60963,0,0,0,0,0,0,0,0,757.27749,820.90381,0,0,0,0,0,0,0,0,0,0,0,567.75902,0,0,0,0,0,0,0
"9pm",1416.2618,0,0,0,0,0,0,0,0,0,0,550.75817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10pm",922.09592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11pm",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12pm",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1am",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2am",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3am",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
