"district","hour","cleduc1","cleduc2","cleduc3","cleduc4"
"040","5am",2023.125,5064.13,4304.849,2433.179
"041","5am",349.296,1070.066,553.02,287.342
"042","5am",694.386,8792.196,4365.739,1529.373
"043","5am",140.628,2174.369,1841.41,1559.442
"044","5am",370.13,2984.292,2482.243,1387.921
"046","5am",831.405,4455.041,1859.28,654.39
"047","5am",530.848,4341.116,3001.018,1491.851
"049","5am",489.009,3531.682,2539.749,2643.127
"050","5am",308.282,3599.313,2572.822,1863.835
"052","5am",1421.877,4637.646,3791.369,2322.989
"054","5am",1162.67,2541.644,686.714,195.768
"055","5am",631.833,1909.163,606.915,141.975
"056","5am",1070.885,2063.402,383.798,291.32
"057","5am",1723.123,5242.052,2167.29,921.668
"058","5am",2438.397,5954.57,2131.446,997.02
"059","5am",742.162,2918.912,1380.036,800.363
"060","5am",772.255,4142.602,2408.328,2409.493
"061","5am",1318.047,4618.742,1959.888,1180.444
"062","5am",486.071,4986.317,2522.253,2302.756
"063","5am",879.273,4088.79,2075.267,813.13
"064","5am",1314.245,5671.867,2993.38,1372.337
"065","5am",621.446,5529.266,3122.956,1735.278
"066","5am",1612.711,6945.142,2822.484,866.347
"067","5am",1390.634,4946.885,2350.337,924.746
"068","5am",222.792,1993.029,985.831,724.614
"069","5am",175.171,795.107,442.417,604.759
"070","5am",915.161,2655.372,1877.543,2722.24
"071","5am",107.893,936.156,512.882,272.319
"072","5am",1707.205,3867.368,2604.942,2888.271
"073","5am",690.775,2541.947,1297.405,933.242
"074","5am",293.269,1668.317,1020.395,535.28
"075","5am",643.613,1994.242,1698.538,980.332
"076","5am",149.028,2207.494,1885.123,1508.387
"077","5am",217.412,4031.023,2931.736,2861.751
"078","5am",289.674,2285.56,1920.939,1315.925
"079","5am",17.082,863.315,1285.325,1133.936
"080","5am",67.792,1296.116,1179.938,1172.643
"081","5am",76.296,1696.828,1077.57,782.878
"082","5am",342.999,2181.756,1734.394,1375.255
"083","5am",548.525,1935.769,1189.28,841.106
"001","6am",80.774,748.518,867.048,1013.545
"002","6am",16.597,586.281,395.13,1137.18
"003","6am",49.767,674.665,811.243,1632.816
"004","6am",449.864,1289.474,1397.97,1970.533
"005","6am",683.747,1800.333,1320.209,1456.076
"006","6am",535.475,7166.614,3103.68,3153.042
"007","6am",891.442,3925.546,1471.204,1157.698
"008","6am",431.672,2499.657,2032.299,4264.595
"009","6am",0,2994.918,1691.895,4997
"010","6am",123.46,2187.423,1500.528,2082.526
"011","6am",146.434,1952.334,1888.223,2911.895
"012","6am",692.855,2360.069,2162.785,3545.094
"013","6am",463.727,4903.773,1592.555,3061.144
"014","6am",305.154,1605.039,682.219,584.992
"015","6am",720.462,4632.853,744.192,746.314
"016","6am",227.119,1319.185,500.603,168.001
"019","6am",271.74,2586.18,3401.401,2941.337
"020","6am",819.691,2140.174,2152.031,3031.02
"021","6am",520.692,2410.771,2134.015,2024.781
"022","6am",493.694,4422.187,3295.65,3793.06
"023","6am",852.989,5870.128,3035.802,4139.826
"024","6am",682.688,2388.608,1383.095,751.949
"025","6am",1200.25,4426.573,2292.168,2116.413
"026","6am",1221.312,4264.221,1579.169,1338.425
"027","6am",0,7516.427,5260.128,4908.801
"028","6am",1742.142,3562.315,3382.096,1961.528
"029","6am",297.892,2116.453,959.657,1257.302
"030","6am",358.558,1337.171,1687.368,1144.663
"031","6am",1636.244,5677.025,4918.996,2991.128
"033","6am",774.762,3017.585,1764.398,1850.095
"034","6am",870.144,4185.092,2241.117,1740.447
"035","6am",881.307,3536.905,2363.258,897.902
"036","6am",516.135,2315.909,1430.13,582.308
"037","6am",874.537,7258.126,3582.911,4254.395
"038","6am",729.756,2930.875,2085.084,1327.853
"039","6am",1005.638,4806.028,4213.944,5618.404
"040","6am",2023.125,5031.416,3998.901,2472.465
"041","6am",349.296,1014.853,678.945,261.565
"042","6am",694.386,8753.078,4437.916,1421.207
"043","6am",140.628,2423.826,1799.341,1479.206
"044","6am",370.13,2720.404,2287.728,1351.594
"046","6am",831.405,4339.138,1859.28,654.39
"047","6am",530.848,4333.765,2950.634,1491.851
"049","6am",489.009,3420.449,2604.305,2643.127
"050","6am",308.282,3522.34,2526.489,1971.078
"052","6am",1421.877,4214.422,3684.961,2377.391
"054","6am",1132.47,2437.458,629.81,291.138
"055","6am",631.833,1869.161,540.513,141.975
"056","6am",1016.847,1895.64,479.808,266.782
"057","6am",1752.623,4926.486,2033.781,921.668
"058","6am",2513.492,5756.861,2132.832,1306.63
"059","6am",742.162,2687.307,1513.522,760.254
"060","6am",772.255,4081.634,2660.787,2409.493
"061","6am",1318.047,4146.376,1572.022,1245.255
"062","6am",486.071,4650.744,2522.253,2220.759
"063","6am",952.49,3746.74,2012.958,813.13
"064","6am",1314.245,4711.046,3113.928,1565.977
"065","6am",621.446,5055.742,2629.277,1599.463
"066","6am",1612.711,6524.647,2822.484,720.447
"067","6am",1390.634,4884.565,2263.118,931.984
"068","6am",222.792,1943.19,1048.14,758.697
"069","6am",175.171,766.668,421.012,592.935
"070","6am",793.315,2533.526,1877.543,2860.569
"071","6am",107.893,1315.967,526.925,272.319
"072","6am",1626.206,4037.419,2515.754,2888.271
"073","6am",601.111,2452.283,1297.405,933.242
"074","6am",293.269,1543.489,1028.264,535.28
"075","6am",643.613,2023.574,1758.375,1063.054
"076","6am",149.028,2340.061,1885.123,1508.387
"077","6am",217.412,4258.993,2931.736,2724.149
"078","6am",289.674,2137.338,1815.008,1191.614
"079","6am",17.082,820.677,1359.436,1074.216
"080","6am",67.792,1337.283,1044.553,1121.843
"081","6am",76.296,1700.016,1011.293,749.1
"082","6am",342.999,1999.032,1734.394,1473.953
"083","6am",548.525,1846.679,1046.982,773.725
"001","7am",80.774,727.91,843.099,793.309
"002","7am",16.597,1223.78,937.817,1475.991
"003","7am",178.437,1067.828,1370.084,1499.052
"004","7am",493.025,1939.489,1956.489,1860.846
"005","7am",496.077,1570.799,1398.667,1616.34
"006","7am",535.475,6107.275,2374.309,2996.476
"007","7am",1007.767,3671.937,1779.835,1263.692
"008","7am",431.672,2312.087,2179.085,4159.73
"009","7am",18.091,3442.877,1601.436,4825.255
"010","7am",159.459,2976.101,2870.36,2020.615
"011","7am",146.434,2269.973,2183.856,3051.007
"012","7am",692.855,2747.864,1710.328,3606.428
"013","7am",463.727,4845.97,1336.145,3318.647
"014","7am",305.154,1938.553,904.159,418.478
"015","7am",684.463,6340.267,1395.235,1061.226
"016","7am",227.119,1394.417,688.722,238.438
"019","7am",271.74,2522.365,3270.253,2494.532
"020","7am",819.691,2469.703,2297.193,2818.533
"021","7am",520.692,2624.655,2544.483,2596.927
"022","7am",493.694,4378.786,2290.49,2917.807
"023","7am",852.989,5204.126,2377.249,3679.202
"024","7am",682.688,2050.33,1235.519,1114.504
"025","7am",1200.25,3738.825,2051.302,1391.11
"026","7am",1383.565,3907.428,1463.583,1018.499
"027","7am",0,7162.76,5103.308,4629.063
"028","7am",1446.048,3729.688,2905.477,1969.103
"029","7am",297.892,2685.857,1086.56,1554.346
"030","7am",321.774,1197.782,1468.871,848.921
"031","7am",1642.16,5439.237,4027.485,2168.799
"033","7am",774.762,2965.255,1770.05,2128.821
"034","7am",870.144,4332.54,1854.998,1336.86
"035","7am",916.336,4155.268,2407.175,654.904
"036","7am",704.96,3340.706,3147.38,1474.914
"037","7am",594.975,7071.095,3834.628,4110.135
"038","7am",730.025,2891.596,1813.605,1112.144
"039","7am",1058.722,4765.245,2976.718,5095.146
"040","7am",1878.922,3687.522,3250.722,2029.186
"041","7am",318.533,1011.305,467.922,192.8
"042","7am",710.571,6923.102,3647.196,1253.825
"043","7am",140.628,2789.444,1283.628,1387.648
"044","7am",333.803,2402.376,1661.718,1393.22
"046","7am",831.405,3796.832,1468.349,365.105
"047","7am",530.848,3786.384,2224.466,1484.158
"049","7am",489.009,3015.832,2243.575,2225.746
"050","7am",308.282,3572.531,2275.927,1886.748
"052","7am",1502.876,3995.399,3337.388,1878.593
"054","7am",1039.47,2478.787,735.603,410.321
"055","7am",538.629,1775.715,529.842,119.773
"056","7am",962.809,1822.511,466.373,278.642
"057","7am",1701.254,5005.649,1434.103,849.416
"058","7am",2438.397,5577.457,2087.492,975.733
