"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"6354.967";"6354.967";"6354.967";"6354.967";"6354.967";"6354.967";"6354.967";"6354.967";"6354.967";"6354.967";"6354.967";"6354.967";"6354.967";"6354.967";"6354.967";"6354.967";"6354.967";"6354.967"
"4am";"2506.477";"1374.972";"1536.782";" 645.515";" 788.048";" 765.139";" 451.209";" 522.077";" 646.030";" 610.515";" 438.126";"1143.899";" 747.494";" 858.648";" 916.473";" 758.753";" 573.458";" 286.959"
"5am";"2515.241";"1374.972";"1536.782";" 645.515";" 825.155";" 765.139";" 451.209";" 522.077";" 646.030";" 597.835";" 438.126";"1143.899";" 747.494";" 804.698";" 898.166";" 758.753";" 573.458";" 286.959"
"6am";"2646.462";"1219.336";"1510.334";" 597.247";" 778.854";" 765.139";" 463.074";" 522.077";" 622.725";" 597.835";" 438.126";"1143.899";" 747.494";" 777.461";" 911.245";" 655.497";" 524.075";" 286.959"
"7am";"2624.695";"1195.403";"1346.594";" 649.234";" 703.887";" 610.419";" 427.445";" 506.151";" 606.845";" 647.862";" 378.319";"1136.058";" 742.865";" 826.739";" 887.809";" 583.771";" 478.980";" 242.443"
"8am";"2988.478";"1073.064";"1710.191";" 613.846";" 623.024";" 611.554";" 480.091";" 542.959";" 590.894";" 565.615";" 378.319";"1152.825";" 687.816";" 840.219";" 754.667";" 575.416";" 524.075";" 208.953"
"9am";"3112.013";" 977.079";"1981.334";" 523.773";" 577.108";" 625.945";" 450.807";" 496.431";" 629.645";" 534.084";" 272.906";"1227.066";" 625.476";"1008.727";" 890.132";" 575.416";" 496.681";" 272.023"
"10am";"3549.829";"1041.064";"1932.661";" 684.267";" 591.759";" 537.719";" 497.288";" 482.465";" 638.694";" 582.925";" 314.220";"1171.328";" 663.560";"1057.594";" 840.573";" 598.881";" 428.019";" 191.055"
"11am";"3627.909";"1239.295";"2162.957";" 648.851";" 645.299";" 560.273";" 420.432";" 522.058";" 621.421";" 582.925";" 379.024";"1256.261";" 608.083";" 958.370";" 810.236";" 567.651";" 484.204";" 191.055"
"12am";"4213.729";"1519.877";"2161.080";" 729.756";" 564.512";" 537.304";" 420.432";" 552.057";" 591.677";" 893.152";" 405.746";"1166.795";" 647.059";" 952.715";" 810.236";" 513.013";" 428.019";" 191.055"
"1pm";"3961.106";"1380.411";"2232.637";" 823.807";" 633.685";" 486.534";" 406.485";" 519.176";" 597.374";" 896.094";" 305.060";"1066.993";" 608.083";"1025.974";" 770.288";" 643.501";" 428.019";" 191.055"
