"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052"
"12am";"3293.247";"3140.269";"2499.247";" 590.593";"1942.005";"4296.756";"3722.402";" 861.955";"1043.725";"1265.880";"1128.858";"2017.230";"1520.963";"1250.172";"2069.762";"   0.000";"3080.598";"3418.037";"   0.000";" 611.792";"   0.000";"1406.222";"   0.000";" 980.660";" 735.364";"   0.000";"   0.000";"   0.000";"   0.000";" 668.894";"   0.000";" 609.368";"   0.000";"1320.164";"   0.000";"   0.000";"   0.000";" 576.212";"3695.664";"   0.000";" 509.906";" 735.959";"   0.000";"   0.000";"   0.000";"1500.719";" 892.604";"1056.475";"   0.000";"   0.000";"   0.000";"0"
"1pm";"3966.984";"3834.043";"2525.246";" 864.256";"2159.696";"5334.346";"3811.349";"1014.266";"1319.131";"1614.500";"1084.797";"2041.310";"1765.360";"1304.531";"2652.787";" 789.339";"3784.213";"3532.353";"   0.000";" 588.611";"   0.000";"1732.987";" 684.162";"1230.257";" 971.439";"   0.000";"   0.000";"   0.000";"   0.000";" 625.013";"   0.000";" 907.034";"   0.000";"1582.165";"   0.000";"   0.000";"   0.000";" 724.184";"3245.902";"   0.000";" 678.263";" 862.481";"   0.000";"   0.000";" 798.890";"1239.220";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000"
"2pm";"5567.224";"4481.092";"2582.567";" 702.134";"2421.790";"5537.233";"4320.257";"1235.961";"1438.257";"1688.161";"1206.256";"2003.192";"2184.828";"1605.207";"2741.930";"1207.214";"4218.427";"3413.854";"   0.000";" 688.886";" 767.152";"1905.384";" 726.796";"1320.710";"1102.333";"   0.000";" 533.335";"   0.000";"   0.000";" 850.880";"   0.000";"1077.680";"   0.000";"1924.130";" 731.331";"   0.000";"   0.000";" 710.353";"3182.045";"   0.000";"1027.942";"1062.553";"   0.000";"   0.000";" 877.528";"1512.217";" 825.094";"   0.000";" 752.013";"   0.000";"   0.000";"   0.000"
"3pm";"5640.296";"4352.679";"2104.113";" 919.049";"2547.515";"5890.360";"4235.226";"1102.549";"1723.841";"1684.639";"1285.778";"1786.527";"2249.826";"1388.011";"2838.764";"1351.454";"4680.040";"3092.068";"   0.000";" 781.166";" 730.089";"1854.167";" 725.523";"1205.716";"1282.526";"   0.000";"   0.000";"   0.000";"   0.000";" 391.216";"   0.000";"1077.621";"   0.000";"2049.718";" 729.656";"   0.000";"   0.000";" 802.241";"3087.125";"   0.000";"1021.314";"1016.096";"   0.000";"   0.000";"   0.000";"1481.271";"   0.000";"   0.000";" 698.060";"   0.000";"   0.000";"   0.000"
"4pm";"4741.681";"3878.555";"1785.030";"   0.000";"2543.831";"4897.538";"3564.111";" 923.324";"1848.950";"1375.432";"   0.000";"1171.029";"1765.842";" 745.868";"2367.231";"1062.333";"3527.733";"2581.917";"   0.000";"   0.000";" 786.616";"1632.315";" 678.626";" 833.479";" 967.480";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";" 825.730";"   0.000";"1805.002";"   0.000";"   0.000";"   0.000";" 674.253";"1921.443";"   0.000";" 994.711";" 729.404";"   0.000";"   0.000";"   0.000";"1513.439";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000"
"5pm";"3355.117";"2613.513";"1328.630";"   0.000";"1783.222";"3200.030";"2516.910";" 768.327";"1459.788";" 763.294";"   0.000";"1078.438";"1153.769";" 852.944";"1808.121";"1022.147";"2755.839";"2164.763";"   0.000";" 604.854";" 606.543";" 809.619";"   0.000";" 719.347";" 632.238";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";" 567.817";"   0.000";" 970.604";"   0.000";"   0.000";"   0.000";" 686.102";"1653.438";"   0.000";" 768.984";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000"
"6pm";"2118.827";"1382.665";" 936.429";"   0.000";"1190.903";"1706.693";"1131.055";"   0.000";" 998.283";"   0.000";"   0.000";"   0.000";"   0.000";" 679.458";" 546.206";"   0.000";"1774.054";"1199.569";"   0.000";"   0.000";"   0.000";" 633.353";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1180.048";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000"
"7pm";"1623.071";" 946.495";"   0.000";"   0.000";"   0.000";"1074.494";"   0.000";"   0.000";" 722.314";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";" 815.912";" 821.089";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000"
"8pm";"1325.922";" 775.389";"   0.000";"   0.000";"   0.000";"1018.634";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";" 664.635";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000"
"9pm";"1191.767";"   0.000";"   0.000";"   0.000";"   0.000";" 770.230";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"0"
"10pm";"938.682";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"0";"  0.000";"  0.000";"0";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"0";"  0.000";"  0.000";"  0.000";"  0.000";"0";"0";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"0";"0"
"11pm";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";"0";"0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";"0";"0";"0"
"12pm";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";"0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";"0";"0";" 0";" 0";"0";" 0";"0";" 0";" 0";"0";" 0";"0";" 0";" 0";"0";"0";"0"
"1am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";"0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";"0";"0";" 0";" 0";"0";" 0";"0";" 0";" 0";"0";" 0";"0";" 0";" 0";"0";"0";"0"
"2am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";"0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";"0";"0";"0";" 0";" 0";"0";" 0";"0";" 0";" 0";"0";" 0";"0";" 0";" 0";"0";"0";"0"
"3am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";"0";" 0";"0";" 0";" 0";" 0";"0";" 0";" 0";" 0";"0";" 0";"0";" 0";"0";"0";"0";" 0";" 0";"0";" 0";"0";"0";" 0";"0";" 0";"0";" 0";" 0";"0";"0";"0"
