"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"65.805300724041";"65.805300724041";"65.805300724041";"65.805300724041";"65.805300724041";"65.805300724041";"65.805300724041";"65.805300724041";"65.805300724041";"65.805300724041";"65.805300724041";"65.805300724041";"65.805300724041";"65.805300724041";"65.805300724041";"65.805300724041";"65.805300724041";"65.805300724041";"65.805300724041";"65.805300724041";"65.805300724041";"65.805300724041";"65.805300724041";"65.805300724041";"65.805300724041";"65.805300724041";"65.805300724041";"65.805300724041";"65.805300724041";"65.805300724041"
"4am";"35.63162";"23.67318";"32.63852";"23.59693";"29.54642";"35.08342";"30.97990";"38.64050";"46.76123";"42.60917";"41.52737";"38.16487";"52.04744";"41.61586";"45.82010";"49.85367";"29.96177";"39.86847";"46.57624";"51.81077";"47.43393";"36.08131";"26.81346";"26.39839";"27.69279";"34.41215";"29.12484";"27.12419";"37.29848";"38.53583"
"5am";"35.65657";"23.60491";"32.34795";"23.71051";"29.71928";"35.37953";"30.38012";"38.97715";"46.90806";"45.44807";"40.52583";"37.02370";"51.75146";"33.33515";"46.88019";"48.17286";"30.21923";"48.38481";"45.01594";"51.72243";"44.08049";"37.79320";"27.08892";"26.80534";"26.08547";"34.76436";"29.22872";"27.31812";"35.32575";"38.42733"
"6am";"35.52840";"23.19911";"32.00637";"23.87307";"28.52926";"35.51381";"27.55057";"38.33529";"50.14961";"45.59366";"40.14963";"37.56805";"52.48735";"33.71696";"44.93968";"47.67264";"29.94435";"49.81395";"39.48255";"53.20070";"41.44172";"37.21837";"27.49341";"27.43648";"26.57488";"34.76436";"27.30539";"27.09880";"34.13422";"38.00723"
"7am";"32.65208";"21.29218";"29.21514";"25.51711";"27.33227";"35.28249";"29.18481";"35.16227";"48.43605";"42.59301";"39.43187";"40.12284";"49.80301";"34.27728";"40.38984";"48.10938";"32.12113";"56.52123";"36.27250";"43.83067";"41.28680";"33.48497";"25.94316";"24.74019";"26.93972";"32.52592";"26.47272";"25.36377";"31.22962";"34.49450"
"8am";"35.15067";"22.14614";"31.15624";"25.79124";"24.06523";"32.44836";"24.30925";"31.57351";"51.25659";"41.34948";"41.99728";"32.65347";"47.58485";"41.91503";"46.53884";"51.68893";"32.38487";"54.26309";"37.86956";"36.94609";"36.29216";"35.02932";"26.64260";"29.91629";"25.50834";"29.59388";"30.43831";"25.67190";"27.52350";"31.73223"
"9am";"34.45032";"27.68066";"31.74361";"23.26023";"23.19389";"34.55448";"28.52346";"32.98799";"48.61678";"38.84197";"44.68276";"33.37942";"44.86194";"41.69606";"45.71443";"50.11577";"29.80419";"53.84503";"41.31253";"40.36581";"34.63200";"34.81305";"26.70356";"33.17152";"23.33057";"30.60438";"25.56270";"26.08729";"29.26903";"35.79078"
"10am";"36.67773";"26.37314";"31.36973";"21.37672";"23.09387";"30.81876";"23.95170";"33.26160";"48.89407";"36.49498";"41.21999";"35.92951";"49.11383";"40.54550";"49.70637";"52.49961";"29.52146";"54.10384";"41.24063";"41.08621";"36.62027";"31.68651";"25.08624";"37.09960";"19.61019";"27.75231";"29.16372";"25.61409";"32.23473";"32.42655"
"11am";"36.05843";"27.41073";"34.44415";"22.10396";"20.92868";"33.88887";"23.93804";"32.55402";"49.17946";"37.72940";"41.73477";"38.51732";"43.18402";"40.43269";"44.93746";"54.67677";"27.82095";"55.06015";"41.74906";"39.04904";"37.24563";"29.15948";"27.65929";"34.26227";"18.06759";"28.98468";"28.42981";"26.26075";"30.30674";"33.08531"
