"district","hour","mode1","mode2","mode3"
"001","4am",0,130.78,0
"002","4am",0,0,0
"003","4am",0,0,0
"004","4am",0,0,0
"005","4am",0,0,0
"006","4am",0,0,0
"007","4am",0,130.78,0
"008","4am",0,0,0
"009","4am",0,0,0
"010","4am",0,0,0
"011","4am",0,150.9,0
"012","4am",0,0,0
"013","4am",0,160.96,0
"014","4am",0,0,0
"015","4am",0,0,0
"016","4am",0,0,0
"017","4am",0,0,0
"018","4am",0,0,0
"019","4am",0,0,0
"020","4am",0,0,0
"021","4am",0,0,0
"022","4am",0,0,0
"023","4am",0,0,0
"024","4am",0,0,0
"025","4am",0,120.72,0
"026","4am",0,0,0
"027","4am",0,0,0
"028","4am",0,0,0
"029","4am",0,382.28,0
"001","5am",0,181.08,0
"002","5am",0,191.14,0
"003","5am",0,0,0
"004","5am",0,0,0
"005","5am",0,0,0
"006","5am",0,0,0
"007","5am",0,221.32,0
"008","5am",0,0,0
"009","5am",0,0,0
"010","5am",0,181.08,0
"011","5am",0,382.28,0
"012","5am",0,191.14,0
"013","5am",0,291.74,0
"014","5am",0,0,0
"015","5am",0,0,0
"016","5am",0,0,0
"017","5am",0,0,0
"018","5am",0,0,0
"019","5am",0,0,0
"020","5am",0,0,0
"021","5am",0,0,0
"022","5am",0,0,0
"023","5am",0,0,0
"024","5am",0,0,0
"025","5am",0,181.08,0
"026","5am",0,0,0
"027","5am",0,140.84,0
"028","5am",0,0,0
"029","5am",0,653.9,0
"001","6am",0,472.82,0
"002","6am",0,352.1,0
"003","6am",0,231.38,0
"004","6am",0,663.96,0
"005","6am",0,160.96,0
"006","6am",0,0,0
"007","6am",0,865.16,0
"008","6am",0,331.98,0
"009","6am",0,120.72,0
"010","6am",0,603.6,0
"011","6am",0,855.1,0
"012","6am",0,955.7,0
"013","6am",0,774.62,0
"014","6am",0,150.9,0
"015","6am",0,0,0
"016","6am",0,321.92,0
"017","6am",0,181.08,0
"018","6am",0,261.56,0
"019","6am",0,201.2,0
"020","6am",0,160.96,0
"021","6am",0,251.5,0
"022","6am",0,231.38,0
"023","6am",0,0,0
"024","6am",0,0,0
"025","6am",0,492.94,0
"026","6am",0,251.5,0
"027","6am",0,734.38,0
"028","6am",0,241.44,0
"029","6am",0,2172.96,0
"001","7am",342.04,2042.18,0
"002","7am",0,955.7,0
"003","7am",0,623.72,0
"004","7am",261.56,2142.78,0
"005","7am",543.24,1317.86,0
"006","7am",0,291.74,0
"007","7am",120.72,2555.24,0
"008","7am",171.02,1146.84,0
"009","7am",0,331.98,0
"010","7am",553.3,2535.12,0
"011","7am",0,2736.32,0
"012","7am",0,2183.02,0
"013","7am",171.02,2434.52,0
"014","7am",0,452.7,0
"015","7am",0,271.62,0
"016","7am",0,885.28,0
"017","7am",0,492.94,0
"018","7am",0,523.12,0
"019","7am",0,663.96,0
"020","7am",0,402.4,0
"021","7am",0,845.04,0
"022","7am",0,603.6,0
"023","7am",0,402.4,0
"024","7am",0,251.5,0
"025","7am",0,784.68,0
"026","7am",0,462.76,0
"027","7am",0,1881.22,0
"028","7am",0,643.84,0
"029","7am",130.78,4305.68,0
"001","8am",905.4,4225.2,291.74
"002","8am",0,1428.52,0
"003","8am",0,995.94,0
"004","8am",724.32,3782.56,0
"005","8am",1629.72,2867.1,261.56
"006","8am",0,694.14,0
"007","8am",281.68,4195.02,150.9
"008","8am",372.22,1901.34,0
"009","8am",181.08,613.66,0
"010","8am",2635.72,5180.9,221.32
"011","8am",362.16,4728.2,0
"012","8am",0,2686.02,0
"013","8am",402.4,3923.4,0
"014","8am",0,603.6,0
"015","8am",0,442.64,0
"016","8am",0,1358.1,0
"017","8am",0,734.38,0
"018","8am",0,653.9,0
"019","8am",0,855.1,0
"020","8am",0,623.72,0
"021","8am",0,1177.02,0
"022","8am",0,744.44,0
"023","8am",0,593.54,0
"024","8am",0,422.52,0
"025","8am",0,885.28,0
"026","8am",0,523.12,0
"027","8am",251.5,3007.94,0
"028","8am",0,905.4,0
"029","8am",241.44,6046.06,0
"001","9am",955.7,4677.9,321.92
"002","9am",0,1539.18,120.72
"003","9am",0,1076.42,0
"004","9am",774.62,4164.84,0
"005","9am",1810.8,3178.96,311.86
"006","9am",0,885.28,0
"007","9am",352.1,4768.44,191.14
"008","9am",442.64,2102.54,0
"009","9am",201.2,663.96,0
"010","9am",3158.84,5875.04,231.38
"011","9am",482.88,5985.7,0
"012","9am",120.72,3138.72,0
"013","9am",503,4376.1,0
"014","9am",0,663.96,0
"015","9am",0,513.06,0
"016","9am",0,1519.06,0
"017","9am",0,855.1,0
"018","9am",0,663.96,0
"019","9am",0,945.64,0
"020","9am",0,674.02,0
"021","9am",0,1187.08,0
"022","9am",0,794.74,0
"023","9am",0,724.32,0
"024","9am",0,472.82,0
"025","9am",0,915.46,0
"026","9am",0,573.42,0
"027","9am",251.5,3490.82,0
"028","9am",0,1006,0
"029","9am",271.62,6991.7,0
"001","10am",985.88,4808.68,362.16
"002","10am",0,1619.66,150.9
"003","10am",0,1177.02,0
"004","10am",774.62,4285.56,0
"005","10am",1901.34,3370.1,311.86
"006","10am",0,905.4,0
"007","10am",321.92,4818.74,191.14
"008","10am",462.76,2183.02,0
"009","10am",201.2,643.84,0
"010","10am",3360.04,5885.1,231.38
"011","10am",573.42,6790.5,0
"012","10am",150.9,3450.58,0
"013","10am",543.24,4758.38,0
"014","10am",0,744.44,0
"015","10am",0,533.18,0
"016","10am",0,1579.42,0
"017","10am",0,985.88,0
"018","10am",0,663.96,0
"019","10am",0,1006,0
"020","10am",0,714.26,0
"021","10am",0,1187.08,0
"022","10am",0,855.1,0
"023","10am",0,734.38,0
"024","10am",0,472.82,0
"025","10am",0,955.7,0
"026","10am",0,633.78,0
"027","10am",241.44,3581.36,0
"028","10am",0,1026.12,0
"029","10am",291.74,7464.52,0
"001","11am",985.88,4748.32,362.16
"002","11am",0,1639.78,130.78
"003","11am",0,1187.08,0
"004","11am",744.44,4074.3,140.84
"005","11am",1871.16,3229.26,342.04
"006","11am",0,845.04,0
"007","11am",301.8,4567.24,191.14
"008","11am",412.46,2112.6,0
"009","11am",201.2,623.72,0
"010","11am",3158.84,5834.8,211.26
